health..oa_id,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
E00001923,355,194,121,36,3,1
E00001924,332,147,139,34,10,2
E00001925,346,175,114,35,16,6
E00001926,337,162,112,50,13,0
E00001927,359,176,126,44,7,6
E00001928,277,96,117,49,14,1
E00001929,354,168,136,34,12,4
E00001930,363,178,125,49,11,0
E00001931,330,150,114,43,20,3
E00001932,257,129,90,25,7,6
E00001933,274,115,96,42,18,3
E00001934,332,153,114,46,17,2
E00001935,318,161,105,39,12,1
E00001936,347,187,112,37,10,1
E00001937,324,155,116,42,9,2
E00001972,417,253,120,33,9,2
E00001973,267,127,85,34,8,13
E00001974,523,289,165,48,17,4
E00001975,280,141,95,29,12,3
E00001976,326,157,111,43,11,4
E00001977,347,128,136,54,23,6
E00001978,301,107,113,58,20,3
E00001980,348,187,107,44,7,3
E00001981,536,275,158,62,29,12
E00001982,297,120,94,61,20,2
E00001983,219,79,79,43,14,4
E00001984,342,169,104,45,21,3
E00001985,347,171,124,36,13,3
E00001986,358,193,123,30,8,4
E00001987,361,183,126,38,8,6
E00001988,228,121,65,30,10,2
E00001989,341,159,125,39,16,2
E00001990,311,130,102,51,24,4
E00001991,385,237,104,33,6,5
E00001992,353,179,117,44,7,6
E00001993,353,167,143,28,11,4
E00001994,331,167,114,33,15,2
E00001995,352,181,134,26,9,2
E00001996,270,115,104,38,11,2
E00001997,341,164,122,32,19,4
E00001998,358,179,130,34,12,3
E00002000,307,154,116,25,6,6
E00002001,301,134,122,35,7,3
E00002002,361,191,118,38,12,2
E00002003,276,124,83,38,25,6
E00002004,309,101,126,64,14,4
E00002005,316,140,114,41,18,3
E00002006,323,148,128,34,7,6
E00002007,367,152,147,53,11,4
E00002008,347,154,134,45,7,7
E00002009,368,181,133,42,7,5
E00002010,452,212,172,45,20,3
E00002011,358,182,131,38,4,3
E00002012,404,193,145,41,19,6
E00002013,360,182,122,39,11,6
E00002014,301,138,115,33,12,3
E00002015,389,196,155,29,5,4
E00002016,372,180,152,29,9,2
E00002017,367,177,136,34,17,3
E00002018,327,172,124,24,5,2
E00002019,333,145,125,41,19,3
E00002020,316,152,109,46,8,1
E00002021,302,149,114,25,9,5
E00002022,229,122,73,26,7,1
E00002023,335,179,116,35,3,2
E00002024,386,219,119,37,9,2
E00002025,308,170,111,23,4,0
E00002026,319,146,123,40,8,2
E00002027,373,198,119,50,6,0
E00002028,319,137,122,49,6,5
E00002029,358,181,130,36,7,4
E00002030,260,139,89,28,4,0
E00002031,339,150,131,45,11,2
E00002032,296,151,96,42,6,1
E00002033,358,170,130,50,5,3
E00002034,354,172,129,34,16,3
E00002035,293,139,122,28,1,3
E00002036,252,98,78,52,19,5
E00002037,335,152,126,44,10,3
E00002038,345,132,119,66,22,6
E00002039,307,146,99,41,19,2
E00002044,326,166,116,36,7,1
E00002045,313,147,99,44,21,2
E00002046,239,110,82,34,9,4
E00002049,328,176,86,49,14,3
E00002050,267,123,82,44,16,2
E00002051,311,152,112,34,9,4
E00002052,339,149,111,56,20,3
E00002053,359,176,104,58,17,4
E00002054,329,141,119,56,10,3
E00002055,294,156,75,48,11,4
E00002056,354,180,133,31,10,0
E00002057,288,132,120,26,10,0
E00002058,340,154,127,46,11,2
E00002059,312,152,100,44,14,2
E00002060,253,83,104,50,13,3
E00002061,322,156,106,45,9,6
E00002062,254,88,92,59,14,1
E00002063,299,148,108,38,4,1
E00002064,217,48,73,63,19,14
E00002065,322,184,97,36,4,1
E00002066,412,220,149,31,8,4
E00002067,209,50,64,64,24,7
E00002073,251,90,95,47,15,4
E00002074,394,194,132,53,12,3
E00002075,228,101,81,31,10,5
E00002076,422,135,135,91,48,13
E00002077,254,154,73,21,4,2
E00002078,389,181,112,67,23,6
E00002079,182,67,51,45,17,2
E00002080,172,69,63,35,5,0
E00002081,205,95,57,43,6,4
E00002082,324,162,94,39,23,6
E00002083,308,163,99,35,9,2
E00002084,223,74,79,53,12,5
E00002085,498,245,183,57,7,6
E00002086,275,121,88,51,12,3
E00002087,270,145,97,20,5,3
E00002088,358,145,89,76,43,5
E00002089,274,109,112,39,11,3
E00002091,276,145,101,20,7,3
