house..oa_id,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
E00060921,130,16,17,45,29,10,9,4
E00060922,126,15,14,44,24,14,10,5
E00060923,128,16,14,41,28,2,15,12
E00060924,157,31,29,46,35,7,7,2
E00060925,112,8,32,21,17,13,15,6
E00060926,129,8,36,28,12,23,20,2
E00060927,124,8,49,26,14,16,9,2
E00060928,142,23,29,34,30,8,14,4
E00060929,143,15,41,38,23,10,12,4
E00060930,140,13,40,37,17,19,14,0
E00060931,122,13,13,49,25,7,9,6
E00060932,121,24,18,26,27,9,14,3
E00060933,117,10,17,42,25,9,10,4
E00060934,119,34,22,27,15,10,8,3
E00060935,113,25,10,35,13,13,15,2
E00060936,118,10,15,29,30,13,17,4
E00060937,135,17,7,34,26,37,12,2
E00060938,114,11,13,27,29,16,15,3
E00060939,121,19,11,26,17,23,13,12
E00060940,123,10,20,31,25,19,12,6
E00060941,104,8,15,31,22,19,6,3
E00060942,120,13,18,27,21,14,19,8
E00060943,132,7,15,28,19,43,13,7
E00060944,120,13,14,38,12,17,22,4
E00060945,126,12,16,24,23,35,10,6
E00060946,117,6,23,21,18,37,9,3
E00060947,137,21,31,37,24,13,6,5
E00060948,130,12,15,27,16,26,22,12
E00060949,112,7,16,17,24,32,10,6
E00060950,136,8,25,23,29,29,17,5
E00060951,102,28,36,15,7,8,7,1
E00060952,123,20,12,27,29,23,9,3
E00060953,117,19,12,27,22,19,15,3
E00060954,112,14,21,24,19,25,7,2
E00060955,113,6,14,27,31,29,6,0
E00060956,89,7,20,19,22,9,7,5
E00060957,135,10,22,50,34,7,10,2
E00060958,141,11,16,48,38,12,12,4
E00060959,153,17,32,41,32,20,8,3
E00060960,119,32,10,60,9,3,4,1
E00060961,132,15,7,68,28,4,9,1
E00060962,101,16,24,34,19,4,4,0
E00060963,125,15,45,39,14,1,8,3
E00060964,121,37,7,56,11,2,6,2
E00060965,128,18,20,30,19,21,12,8
E00060966,173,10,103,16,10,16,16,2
E00060967,128,11,24,35,28,13,14,3
E00060968,136,14,21,25,31,24,13,8
E00060969,119,9,16,22,27,29,11,5
E00060970,116,9,16,22,26,28,9,6
E00060971,135,8,17,32,25,33,13,7
E00060972,124,9,12,27,24,32,10,10
E00060973,123,23,26,32,12,13,13,4
E00060974,118,11,29,20,15,21,15,7
E00060975,121,17,25,29,15,12,16,7
E00060976,125,8,19,19,28,29,16,6
E00060977,124,23,87,10,0,0,4,0
E00060978,116,14,19,23,25,26,4,5
E00060979,158,13,23,31,38,27,20,6
E00060980,136,12,15,35,27,32,12,3
E00060981,133,16,15,23,33,31,7,8
E00060982,137,41,15,29,21,19,7,5
E00060983,131,11,13,29,35,26,8,9
E00060984,158,21,37,35,20,27,12,6
E00060985,127,5,15,30,32,10,30,5
E00060986,188,48,59,32,7,6,26,10
E00060987,145,8,40,14,27,37,14,5
E00060988,120,12,18,13,37,6,18,16
E00060989,138,1,34,10,46,12,27,8
E00060990,147,3,42,13,24,10,42,13
E00060991,127,12,39,8,23,12,28,5
E00060992,141,8,31,17,30,16,31,8
E00060993,159,10,29,27,26,19,40,8
E00060995,149,10,54,31,21,5,20,8
E00060996,239,10,52,46,36,24,60,11
E00060997,146,11,39,13,22,12,43,6
E00060998,163,6,64,26,26,7,25,9
E00060999,142,25,28,40,23,12,11,3
E00061000,139,20,33,30,26,14,14,2
E00061001,141,16,35,36,33,9,6,6
E00061002,134,11,43,23,30,18,8,1
E00061003,151,15,24,48,37,17,8,2
E00061004,126,36,17,42,22,5,2,2
E00061005,174,9,9,79,62,11,3,1
E00061006,162,13,28,66,32,11,10,2
E00061007,123,6,10,63,30,9,4,1
E00061008,126,14,24,53,21,6,6,2
E00061009,119,21,9,62,20,4,3,0
E00061010,146,14,44,41,23,14,8,2
E00061011,127,7,18,45,41,10,5,1
E00061012,122,18,6,61,17,7,9,4
E00061013,129,19,15,40,29,12,9,5
E00061014,153,10,38,45,26,22,9,3
E00061015,142,20,38,32,26,18,7,1
E00061016,131,18,8,71,24,4,5,1
E00061017,127,13,12,70,15,10,5,2
E00061018,133,10,14,81,18,5,4,1
E00061019,138,9,24,52,39,12,2,0
E00061020,113,16,23,25,25,13,7,4
E00061021,130,14,42,34,16,10,13,1
E00061022,138,17,25,48,21,13,7,7
E00061023,135,13,37,34,17,20,12,2
E00061024,174,47,41,47,13,9,15,2
E00061025,146,15,35,40,27,15,13,1
E00061026,141,3,41,33,24,24,11,5
E00061027,129,12,44,38,18,7,9,1
E00061028,131,42,24,42,17,1,4,1
E00061029,134,22,38,36,18,10,10,0
E00061030,127,12,23,30,18,33,10,1
E00061031,130,7,31,25,25,17,20,5
E00061032,114,7,24,23,17,29,11,3
E00061033,128,7,30,29,22,23,13,4
E00061034,139,15,55,17,21,13,10,8
E00061035,110,12,60,15,6,9,5,3
E00061036,191,18,109,29,15,8,11,1
E00061037,146,5,78,25,9,15,10,4
E00061038,124,15,34,33,12,12,16,2
E00061039,167,32,59,25,16,16,17,2
E00061040,119,12,12,33,38,12,9,3
E00061041,115,13,10,40,25,14,9,4
E00061042,109,15,11,29,34,12,5,3
E00061043,127,12,9,60,26,11,7,2
E00061044,119,36,10,46,16,5,6,0
E00061045,142,55,24,30,8,10,14,1
E00061046,124,16,10,35,35,17,7,4
E00061047,117,17,14,30,25,21,6,4
E00061048,130,17,16,48,26,13,8,2
E00061049,118,12,12,56,21,8,6,3
E00061050,126,37,24,25,17,14,7,2
E00061052,117,17,25,22,15,20,16,2
E00061053,154,11,42,44,25,16,12,4
E00061054,116,18,29,37,21,3,7,1
E00061055,111,11,18,44,21,6,10,1
E00061056,120,12,13,24,21,36,10,4
E00061057,113,16,8,51,18,5,12,3
E00061058,118,17,26,22,25,13,12,3
E00061059,115,20,9,53,24,2,7,0
E00061061,111,22,15,43,19,3,8,1
E00061062,113,60,9,33,9,0,2,0
E00061063,125,23,16,55,15,4,11,1
E00061064,144,45,36,28,10,11,10,4
E00061065,149,9,31,50,40,6,11,2
E00061066,134,31,31,35,18,10,6,3
E00061067,105,12,22,34,15,11,7,4
E00061068,162,24,52,55,9,9,12,1
E00061069,123,28,14,21,16,20,18,6
E00061070,122,18,23,25,17,22,12,5
E00061073,112,7,12,47,26,14,5,1
E00061074,110,5,20,42,26,7,8,2
E00061075,122,14,32,42,19,10,4,1
E00061076,127,9,16,66,20,8,7,1
E00061077,129,23,10,62,18,6,8,2
E00061078,97,8,37,19,15,11,6,1
E00061079,138,68,31,36,1,1,1,0
E00061080,125,8,26,47,19,13,9,3
E00061081,132,17,19,47,27,11,7,4
E00061082,119,23,15,39,18,17,4,3
E00061083,146,25,37,36,16,20,12,0
E00061084,119,53,12,25,16,7,3,3
E00061085,132,17,43,28,18,16,8,2
E00061086,130,13,54,24,17,15,7,0
E00061087,128,12,67,12,16,16,3,2
E00061088,109,13,32,25,11,17,10,1
E00061089,138,49,43,24,8,6,8,0
E00061090,101,16,17,29,15,12,10,2
E00061091,158,24,40,36,19,25,11,3
E00061092,119,6,25,17,22,30,11,8
E00061095,113,17,12,20,17,37,6,4
E00061096,115,4,22,25,21,27,12,4
E00061097,117,5,16,31,35,20,8,2
E00061098,96,6,15,15,19,29,6,6
E00061099,130,12,22,27,25,21,19,4
E00061100,142,13,20,29,34,31,12,3
E00061101,124,20,18,27,20,25,12,2
E00061102,78,14,11,19,17,13,2,2
E00061103,131,8,21,22,36,28,10,6
E00061104,129,11,20,41,29,22,5,1
E00061105,132,16,33,28,17,22,13,3
E00061106,122,12,45,12,17,22,10,4
E00061107,130,5,40,25,24,25,7,4
E00061108,106,2,20,25,17,26,9,7
E00061109,123,8,26,36,29,18,4,2
E00061110,136,15,20,45,34,12,9,1
E00061111,131,35,23,38,11,14,9,1
E00061112,142,44,21,42,16,12,7,0
E00061113,136,32,46,31,11,11,3,2
E00061114,123,17,24,44,19,12,6,1
E00061115,146,32,27,58,14,7,8,0
E00061116,121,13,15,56,27,5,5,0
E00061117,123,18,9,64,24,4,4,0
E00061118,140,25,22,55,19,10,8,1
E00061119,79,11,18,37,5,2,3,3
E00061120,162,41,12,81,16,7,4,1
E00061121,126,42,65,14,3,1,1,0
E00061122,127,20,19,45,27,10,3,3
E00061124,124,31,18,33,18,9,10,5
E00061125,115,7,15,45,30,9,6,3
E00061126,132,38,30,36,8,12,6,2
E00061127,123,30,46,21,11,8,6,1
E00061128,133,10,13,45,22,28,12,3
E00061129,141,35,20,52,13,6,11,4
E00061130,130,12,13,36,35,26,7,1
E00061131,118,17,31,50,11,4,5,0
E00061132,128,30,13,37,22,17,5,4
E00061133,133,43,50,29,5,6,0,0
E00061134,123,10,15,41,29,14,12,2
E00061136,122,9,15,53,34,6,5,0
E00061138,125,12,12,67,22,4,6,2
E00061139,129,26,8,65,23,3,4,0
E00061140,135,13,8,78,29,0,4,3
E00061141,122,22,3,71,18,4,4,0
E00061142,125,22,6,72,16,3,4,2
E00061143,117,11,14,58,26,4,2,2
E00061144,111,13,15,28,17,27,7,4
E00061145,128,26,11,70,15,0,5,1
E00061146,111,15,6,62,20,2,5,1
E00061147,110,15,14,28,24,16,11,2
E00061148,117,10,22,40,32,10,2,1
E00061149,126,16,12,67,25,3,2,1
E00061150,125,18,11,52,33,6,5,0
E00061151,129,7,18,42,45,10,5,2
E00061152,166,11,33,64,28,15,12,3
E00061153,122,10,33,52,14,4,9,0
E00061154,115,6,17,41,39,5,6,1
E00061155,141,12,17,72,28,5,4,3
E00061157,168,10,22,72,46,6,10,2
E00061158,117,17,10,59,20,7,3,1
E00061159,124,25,18,23,13,26,13,6
E00061160,192,39,37,46,27,26,14,3
E00061161,117,25,53,22,9,5,3,0
E00061162,118,14,9,48,28,7,6,6
E00061163,169,26,20,75,27,9,9,3
E00061164,120,46,35,23,9,5,2,0
E00061165,129,20,5,67,24,4,3,6
E00061166,126,58,32,20,6,4,6,0
E00061167,163,24,40,56,18,15,10,0
E00061168,113,11,10,18,23,41,6,4
E00061169,115,34,29,23,11,14,3,1
E00061170,224,18,31,62,62,21,24,6
E00061171,118,8,30,19,24,24,9,4
E00061172,92,11,5,58,10,1,5,2
E00061173,102,28,22,17,8,18,6,3
E00061174,57,0,7,14,14,13,7,2
E00061175,152,16,37,17,35,30,10,7
E00061176,94,8,10,54,12,5,4,1
E00061177,211,18,17,87,54,13,18,4
E00061178,121,10,7,67,20,3,6,8
E00061179,110,28,44,13,10,10,4,1
E00061180,121,24,18,44,19,5,8,3
E00061181,124,29,26,41,11,4,11,2
E00061182,141,33,10,75,11,2,6,4
E00061183,131,11,20,63,23,4,9,1
E00061184,137,21,35,47,16,7,10,1
E00061185,131,15,15,68,18,3,10,2
E00061186,123,16,16,43,18,17,11,2
E00061187,129,36,27,28,13,18,7,0
E00061188,134,20,10,57,35,4,7,1
E00061189,137,24,28,38,25,16,4,2
E00061190,165,33,11,85,26,3,7,0
E00061191,150,34,14,65,23,8,5,1
