rel..sa_id,rel..total_persons,rel..christian_church_of_scotland,rel..christian_roman_catholic,rel..christian_other_christian,rel..buddhist,rel..hindu,rel..jewish,rel..muslim,rel..sikh,rel..other_religion,rel..no_religion,rel..religion_not_stated
S00092422,111,32,2,12,0,0,0,0,0,0,57,8
S00092423,142,47,12,16,0,0,0,0,0,0,52,15
S00092424,63,13,0,13,0,0,0,0,0,0,28,9
S00092429,105,48,4,8,0,0,0,0,0,0,41,4
S00092430,112,52,1,8,0,0,0,0,0,0,42,9
S00092431,133,54,6,8,0,0,0,0,0,2,54,9
S00092432,117,57,2,8,1,0,0,0,0,0,41,8
S00092433,121,45,10,5,0,0,0,0,0,0,56,5
S00092434,217,66,16,12,0,0,0,2,0,0,108,13
S00092435,65,37,3,2,1,0,0,0,0,0,18,4
S00092438,65,12,6,2,0,0,0,0,0,0,32,13
S00092439,128,51,6,2,0,0,0,0,0,0,63,6
S00092440,72,25,0,3,0,0,0,0,0,0,32,12
S00092441,222,75,13,16,0,0,0,0,0,0,101,17
S00092443,108,34,0,0,0,0,0,0,0,0,69,5
S00092444,106,27,8,6,0,3,0,0,0,0,53,9
S00092445,57,21,0,3,0,0,0,0,0,1,31,1
S00092451,128,57,5,12,0,0,0,0,0,0,47,7
S00092452,116,51,5,6,0,0,0,0,0,0,49,5
S00092453,124,47,14,0,1,0,0,4,0,1,48,9
S00092454,86,28,0,3,0,0,1,0,0,1,45,8
S00092455,123,51,3,9,0,0,0,0,0,0,55,5
S00092456,86,48,7,4,0,0,0,0,0,0,23,4
S00092457,92,42,5,4,1,0,0,0,0,0,37,3
S00092458,180,69,5,9,0,0,0,0,0,0,81,16
S00092459,179,73,4,0,0,0,0,0,0,1,86,15
S00092460,96,24,6,2,0,0,0,0,0,0,56,8
S00092473,95,32,4,5,0,0,0,0,0,0,49,5
S00092474,167,59,5,15,0,0,0,0,0,0,72,16
S00092561,93,44,6,3,0,0,0,0,0,0,32,8
S00092562,184,56,3,9,3,0,1,0,0,1,97,14
S00092563,164,50,6,4,1,0,0,2,0,0,87,14
S00092564,91,27,4,1,0,0,0,5,0,0,48,6
S00092565,167,45,4,12,2,0,0,4,0,1,88,11
S00092566,106,32,2,8,1,0,0,0,0,0,46,17
S00092567,166,50,13,7,2,0,0,0,0,0,79,15
S00092568,125,38,12,4,0,0,0,0,0,1,62,8
S00092569,201,53,11,14,0,0,1,0,0,0,108,14
S00092570,153,43,11,7,0,0,0,10,0,0,72,10
S00092571,95,47,11,5,0,0,0,0,0,0,25,7
S00092572,81,50,0,9,0,0,0,0,0,0,19,3
S00092573,196,64,8,28,0,0,0,0,0,0,82,14
S00092574,137,66,0,12,1,0,0,0,0,1,53,4
S00092575,163,52,5,26,0,0,0,0,0,0,74,6
S00092576,102,43,8,14,0,0,0,0,0,0,29,8
S00092585,172,63,7,17,0,0,0,0,0,1,75,9
S00092586,164,64,7,9,0,2,0,0,0,1,62,19
S00092587,129,49,7,3,0,0,0,0,0,0,61,9
S00092588,133,52,3,10,0,0,0,0,0,3,59,6
S00092592,177,81,14,8,0,0,0,0,0,0,59,15
S00092593,113,46,9,6,0,0,0,0,0,2,48,2
S00092594,121,61,2,10,1,0,0,0,0,1,43,3
S00092595,103,46,4,8,0,0,0,0,0,0,42,3
S00092596,252,79,10,12,0,0,0,0,0,0,79,72
S00092597,109,40,4,17,0,0,0,0,0,0,42,6
S00092598,115,55,7,3,1,0,0,0,0,0,40,9
S00092599,129,42,6,10,0,0,0,0,0,1,62,8
S00092600,109,59,0,3,0,0,0,0,0,0,42,5
S00092601,106,36,4,6,1,0,0,0,0,1,53,5
S00092602,131,46,9,10,2,0,0,0,0,0,52,12
S00092603,152,52,3,14,0,0,1,0,0,1,66,15
S00092604,176,66,9,12,0,0,0,0,0,0,66,23
S00092605,106,33,7,3,0,0,0,0,0,0,56,7
S00092606,107,50,8,5,1,0,0,0,0,1,32,10
S00092607,93,40,1,9,2,0,0,0,0,0,34,7
S00092608,106,49,3,6,0,0,0,0,0,0,44,4
S00092609,171,65,15,9,0,2,1,0,0,0,63,16
S00092610,199,83,9,15,1,0,0,0,0,0,83,8
S00092611,130,64,2,5,0,0,0,2,0,0,47,10
S00092612,167,72,15,15,0,0,0,0,0,1,53,11
S00092613,83,22,7,5,0,0,0,0,0,0,45,4
S00092614,93,27,5,4,0,0,0,0,0,0,56,1
S00092615,72,26,3,4,0,0,0,0,0,0,37,2
S00092616,141,67,9,7,0,0,0,0,0,0,57,1
S00092617,95,24,5,7,0,0,1,0,0,0,56,2
S00092618,159,43,7,10,0,0,0,0,0,1,91,7
S00092619,177,72,25,3,0,0,0,0,0,0,61,16
S00092620,156,63,2,6,0,0,0,0,0,1,67,17
S00092621,218,90,13,13,1,0,0,0,0,0,92,9
S00092622,70,20,8,3,0,0,0,0,0,1,31,7
S00092623,95,24,10,9,0,0,0,0,0,0,46,6
S00092624,155,54,5,11,0,0,0,0,0,0,71,14
S00092625,170,77,5,5,0,0,0,0,0,0,74,9
S00092626,80,34,0,7,0,0,0,0,0,0,35,4
S00092627,107,43,11,5,0,0,0,0,0,1,44,3
S00092628,67,17,3,2,1,3,0,6,0,0,28,7
S00092629,205,69,16,24,0,0,0,0,0,2,84,10
S00092630,66,14,3,5,0,0,0,0,0,0,44,0
S00092631,191,53,11,9,0,0,0,0,0,0,97,21
S00092632,111,40,10,8,0,0,0,0,0,0,45,8
S00092652,69,23,1,8,0,0,0,0,0,0,35,2
S00092653,130,39,4,3,0,0,0,0,0,1,71,12
S00092654,124,52,3,7,0,0,0,0,0,0,45,17
S00092655,134,53,13,3,0,0,1,0,0,0,57,7
S00092656,112,47,3,0,0,0,0,3,0,4,50,5
S00092657,185,55,11,13,1,0,0,0,0,2,94,9
S00092658,89,26,3,1,0,0,0,0,0,1,54,4
S00092659,182,72,10,4,0,0,0,1,0,0,85,10
S00092660,101,41,5,10,1,0,0,0,0,1,37,6
S00092661,117,26,11,4,0,0,0,0,0,1,70,5
S00092662,78,29,5,7,0,0,0,0,0,1,33,3
S00092663,112,19,6,0,0,0,0,1,0,0,72,14
S00092979,73,26,3,7,0,0,0,0,0,0,35,2
S00092980,140,56,22,5,0,0,0,0,0,0,48,9
S00092981,64,36,0,2,0,0,0,1,0,0,22,3
S00092982,105,49,6,8,0,0,0,0,0,0,39,3
S00092983,182,95,16,4,0,0,0,0,0,0,59,8
S00092984,163,58,7,10,2,1,0,0,0,3,72,10
S00092985,148,66,11,7,1,0,0,0,0,1,55,7
S00092986,180,78,13,4,0,0,0,0,0,1,72,12
S00092987,140,66,14,10,0,0,0,0,0,0,38,12
S00092988,165,55,23,10,0,0,0,0,0,1,73,3
S00092989,192,62,14,22,0,0,0,0,0,1,82,11
S00092990,186,56,22,8,0,0,0,5,0,1,87,7
S00092991,191,67,16,24,0,0,0,0,0,0,81,3
S00092992,154,58,20,6,0,0,0,1,0,0,60,9
S00092993,106,58,3,7,0,0,0,0,0,0,32,6
S00092994,151,63,14,5,1,0,0,0,0,0,64,4
S00093001,139,59,11,4,0,0,0,0,0,3,55,7
S00093002,176,66,19,12,0,0,0,0,0,0,67,12
S00093008,132,73,16,1,0,0,0,0,0,0,31,11
S00093009,55,32,4,0,0,0,0,0,0,0,18,1
S00093010,96,30,7,4,0,0,0,0,0,0,45,10
S00093011,96,37,3,1,0,0,0,0,0,4,45,6
S00093012,112,52,5,12,0,0,0,0,0,1,38,4
S00093013,138,66,11,11,1,1,0,1,0,0,38,9
S00093014,82,44,1,1,0,0,0,0,0,0,29,7
S00093015,65,36,9,2,0,0,0,0,0,0,13,5
S00093016,118,68,2,7,0,0,0,0,0,0,27,14
S00093017,129,59,6,4,0,0,0,1,0,0,52,7
S00093018,113,54,3,3,0,0,0,0,0,0,44,9
S00093019,159,68,9,17,0,0,0,0,0,0,47,18
S00093020,78,24,14,16,1,0,0,0,0,1,14,8
S00093021,95,46,3,8,0,0,0,0,0,0,37,1
S00093025,109,47,3,3,0,0,0,0,0,0,50,6
S00093027,118,53,9,6,0,1,1,0,0,1,43,4
S00093028,120,62,5,10,0,0,0,0,0,0,38,5
S00093034,103,51,8,6,0,0,0,0,0,0,34,4
S00093035,106,52,9,14,0,0,0,0,0,0,22,9
S00093038,63,35,0,3,0,0,0,6,0,0,13,6
S00093045,172,76,9,6,0,0,0,1,0,0,74,6
S00093046,159,75,2,8,0,0,0,0,0,0,55,19
S00093047,128,64,3,17,1,0,0,0,0,0,40,3
S00093048,80,38,2,3,0,0,0,0,0,0,28,9
S00093049,80,26,2,2,0,0,0,0,0,1,40,9
S00093050,71,30,3,8,0,0,0,0,0,0,26,4
S00093051,79,29,11,2,0,0,0,0,0,0,30,7
S00093052,90,53,1,11,0,0,0,0,0,0,16,9
S00093053,115,43,5,5,0,0,0,0,0,1,40,21
S00093054,78,25,6,4,0,0,0,0,0,1,34,8
S00093055,106,58,3,13,0,0,0,0,0,1,25,6
S00093056,66,29,1,0,0,0,0,0,0,0,35,1
S00093057,91,27,1,5,0,0,0,0,0,0,47,11
S00093058,137,74,6,7,1,0,0,0,0,0,49,0
S00093059,147,64,8,7,0,0,0,0,0,0,50,18
S00093060,122,45,4,14,0,0,0,0,0,0,51,8
S00093061,99,14,7,6,1,0,0,0,0,0,64,7
S00093062,127,48,11,7,0,0,0,0,0,0,50,11
S00093063,126,45,2,7,0,0,0,0,0,0,67,5
S00093064,147,56,6,16,0,0,0,0,0,0,53,16
S00093065,189,87,3,22,0,0,0,0,0,0,62,15
S00093066,125,46,5,11,0,0,0,0,0,0,47,16
S00093067,67,35,1,3,0,0,0,0,0,0,25,3
S00093068,127,55,5,7,1,0,0,1,0,1,51,6
S00093069,80,23,1,9,0,0,0,0,0,0,39,8
S00093070,131,66,6,1,0,0,0,0,0,0,53,5
S00093071,121,54,3,0,0,0,0,0,0,1,46,17
S00093072,109,51,6,8,1,0,0,0,0,0,39,4
S00093073,123,63,6,2,0,0,0,0,0,0,47,5
S00093074,116,50,11,10,0,0,0,0,0,0,31,14
S00093075,99,43,2,9,0,0,0,0,0,0,37,8
S00093076,145,64,6,12,0,0,0,0,0,0,42,21
S00093077,151,56,18,28,0,0,0,0,0,0,40,9
S00093078,87,27,3,7,0,0,0,0,0,0,45,5
S00093079,61,27,1,3,0,0,0,0,0,0,24,6
S00093080,182,57,11,11,0,0,0,0,0,0,98,5
S00093081,145,72,9,7,0,0,0,0,0,0,50,7
S00093082,176,67,10,3,0,0,0,0,0,0,88,8
S00093083,199,56,9,21,2,0,0,0,0,1,90,20
S00093084,98,26,4,7,1,0,0,0,0,0,49,11
S00093085,118,43,5,7,0,0,0,0,0,0,55,8
S00093086,55,28,0,4,0,0,1,0,0,0,21,1
S00093087,119,42,13,20,0,0,0,0,0,0,40,4
S00093088,176,67,9,13,0,0,0,0,0,0,64,23
S00093089,122,54,12,11,0,0,0,0,0,2,33,10
S00093090,91,23,3,9,0,0,0,0,0,0,51,5
S00093091,115,24,8,11,0,0,0,1,0,2,65,4
S00093092,156,59,7,5,0,0,0,0,0,0,72,13
S00093093,114,42,2,4,0,0,0,0,0,0,58,8
S00093094,92,49,2,4,0,0,0,0,0,1,31,5
S00093099,144,36,25,22,0,0,0,0,0,0,57,4
S00093100,157,50,28,10,0,3,0,1,0,0,47,18
S00093101,183,74,11,15,1,0,0,7,0,2,67,6
S00093102,193,44,21,11,0,3,0,11,0,0,89,14
S00093103,142,49,17,6,0,0,0,0,0,0,52,18
S00093104,114,35,10,2,0,0,0,0,0,2,49,16
S00093105,198,71,27,13,0,0,0,0,0,0,81,6
S00093106,117,32,13,3,0,0,0,0,0,2,59,8
S00093107,125,52,7,6,0,0,0,0,0,0,56,4
S00093108,92,36,14,5,0,0,0,0,0,0,30,7
S00093109,121,35,25,7,0,0,0,0,0,2,43,9
S00093110,115,45,7,13,0,0,0,0,0,0,40,10
S00093111,104,42,2,4,0,0,0,0,0,0,50,6
S00093112,88,36,16,4,0,0,0,0,0,0,24,8
S00093113,100,23,14,11,0,0,0,0,0,1,43,8
S00093114,172,48,21,13,0,0,0,4,0,0,64,22
S00093115,91,36,12,8,0,0,0,0,0,0,32,3
S00093116,207,75,27,8,0,1,0,3,0,0,85,8
S00093117,184,52,44,15,1,0,0,0,0,0,64,8
S00093118,135,60,17,7,1,0,0,0,0,0,42,8
S00093119,132,59,14,7,0,1,0,0,0,0,45,6
S00093120,110,49,13,6,0,2,0,0,0,0,28,12
S00093121,117,49,8,2,0,4,0,0,0,0,48,6
S00093122,81,44,6,3,0,0,0,0,0,1,20,7
S00093123,116,54,12,2,0,0,0,0,0,0,46,2
S00093124,88,54,6,3,0,0,0,0,0,0,20,5
S00093125,100,56,5,4,1,1,0,0,0,0,26,7
S00093126,108,57,9,6,0,0,0,0,3,0,29,4
S00093127,99,50,8,3,0,0,0,0,0,0,28,10
S00093128,121,53,20,5,0,0,0,0,0,2,36,5
S00093129,185,58,21,15,0,0,0,15,0,0,72,4
S00093130,122,58,13,6,0,0,0,0,0,0,45,0
S00093131,115,60,7,3,1,0,0,4,0,0,38,2
S00093132,84,32,15,0,0,0,0,0,0,1,32,4
