pop..dz_code,pop..total_persons,pop..males,pop..females,pop..x0_4_years,pop..x5_11_years,pop..x12_17_years,pop..x18_29_years,pop..x30_39_years,pop..x40_59_years,pop..x60_74_years,pop..x75_years
S01007736,683,355,328,34,42,33,95,112,172,135,60
S01007737,1017,461,556,37,60,34,143,171,237,173,162
S01007738,739,331,408,29,45,36,105,116,190,136,82
S01007739,601,258,343,13,18,20,74,88,121,145,122
S01007740,584,276,308,24,46,22,75,93,128,132,64
S01007741,727,325,402,25,56,36,94,87,156,152,121
S01007742,573,256,317,27,35,16,87,74,147,120,67
S01007743,853,432,421,51,73,28,157,146,200,143,55
S01007744,797,359,438,49,64,49,120,121,187,135,72
S01007745,671,327,344,29,37,42,97,94,192,114,66
S01007746,869,410,459,65,83,58,134,136,214,145,34
S01007747,510,222,288,37,66,29,82,71,116,80,29
S01007748,724,348,376,61,65,48,132,115,182,91,30
S01007749,677,322,355,35,52,35,84,83,160,170,58
S01007750,811,382,429,36,51,38,75,89,165,225,132
S01007751,852,396,456,22,48,49,87,77,208,203,158
S01007752,774,378,396,23,24,28,53,83,142,194,227
S01007753,518,240,278,32,70,35,64,78,136,81,22
S01007754,889,386,503,63,116,56,129,129,202,127,67
S01007755,771,352,419,55,90,76,96,103,151,125,75
S01007756,564,236,328,38,53,35,85,87,108,105,53
S01007757,812,395,417,15,58,59,89,82,217,160,132
S01007758,954,447,507,25,47,60,98,91,209,243,181
S01007759,926,474,452,15,33,26,126,146,274,196,110
S01007760,632,287,345,22,57,34,45,73,162,149,90
S01007761,959,452,507,40,59,57,107,121,253,225,97
S01007762,863,369,494,25,40,44,116,110,211,138,179
S01007763,583,273,310,25,39,34,52,77,121,126,109
S01007764,697,335,362,14,53,36,94,79,202,145,74
S01007765,683,318,365,30,44,47,64,77,175,127,119
S01007766,847,378,469,36,47,55,94,106,212,178,119
S01007767,878,404,474,27,64,55,97,83,222,212,118
S01007768,702,322,380,13,32,27,87,94,176,169,104
S01007769,741,368,373,24,40,35,89,58,202,177,116
S01007770,722,343,379,26,34,54,90,63,182,165,108
S01007771,572,292,280,19,47,42,64,60,148,111,81
S01007772,932,426,506,31,65,57,96,162,259,147,115
S01007773,704,324,380,29,41,29,75,76,178,177,99
S01007774,1005,496,509,57,137,103,102,145,356,85,20
S01007775,952,428,524,26,76,72,85,95,268,158,172
S01007776,674,348,326,23,43,66,91,62,234,112,43
S01007777,1200,618,582,54,169,125,141,166,435,93,17
S01007778,502,227,275,26,53,60,48,45,167,71,32
S01007779,592,280,312,20,24,26,95,83,144,157,43
S01007780,733,371,362,31,60,28,141,85,241,111,36
