house..sa_id,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
S00091592,73,0,5,34,28,2,3,1
S00091593,81,4,12,30,23,7,2,3
S00091594,50,4,7,16,17,4,1,1
S00091595,30,2,3,10,8,6,1,0
S00091596,34,0,6,14,9,1,2,2
S00091597,22,0,0,9,8,1,0,4
S00091598,88,4,10,34,21,14,0,5
S00092224,30,4,3,14,6,1,1,1
S00092225,64,29,7,13,3,3,0,9
S00092226,57,1,2,23,25,2,2,2
S00092227,54,5,6,18,20,0,1,4
S00092228,37,4,3,21,8,0,0,1
S00092229,47,2,9,14,17,3,0,2
S00092230,45,3,5,21,13,2,0,1
S00092231,49,3,5,20,13,5,1,2
S00092232,32,3,6,10,7,3,2,1
S00092398,70,4,6,31,23,0,1,5
S00092399,57,7,3,29,15,1,1,1
S00092400,71,7,3,29,29,1,1,1
S00092401,62,12,11,11,23,1,1,3
S00092402,60,2,5,33,12,5,1,2
S00092403,56,0,4,13,37,2,0,0
S00092404,52,8,24,13,4,3,0,0
S00092405,54,2,27,7,9,8,0,1
S00092406,48,1,2,14,31,0,0,0
S00092407,66,0,4,18,38,3,1,2
S00092408,57,8,7,24,14,2,0,2
S00092409,47,4,2,15,22,2,1,1
S00092412,39,2,3,17,12,1,1,3
S00092413,43,2,1,18,16,1,1,4
S00092417,39,3,10,18,6,0,1,1
S00092419,27,2,4,11,9,0,0,1
S00092420,51,2,3,25,13,7,0,1
S00092421,28,0,6,11,8,0,0,3
S00092422,33,0,0,13,19,0,1,0
S00092423,55,4,8,19,19,0,0,5
S00092424,26,0,6,14,5,0,0,1
S00092429,43,9,4,14,9,2,1,4
S00092430,45,8,4,14,12,3,1,3
S00092431,59,11,4,27,10,5,1,1
S00092432,47,10,4,14,14,1,0,4
S00092433,51,3,8,23,11,3,1,2
S00092434,72,2,6,28,30,2,3,1
S00092435,31,3,4,16,5,0,0,3
S00092438,40,4,19,8,4,2,0,3
S00092439,54,6,6,22,12,4,0,4
S00092440,22,1,2,7,4,2,1,5
S00092441,83,6,8,40,26,1,1,1
S00092443,45,6,7,10,15,2,0,5
S00092444,41,1,6,13,17,2,0,2
S00092445,25,0,5,9,5,4,0,2
S00092451,63,22,7,21,10,2,0,1
S00092452,52,14,2,19,10,3,0,4
S00092453,54,8,8,19,13,1,0,5
S00092454,47,5,19,11,6,5,0,1
S00092455,54,11,5,26,10,1,1,0
S00092456,35,3,3,18,4,2,0,5
S00092457,33,0,6,10,14,2,0,1
S00092458,75,9,9,34,22,0,1,0
S00092459,76,11,10,31,20,1,0,3
S00092460,45,3,16,11,13,2,0,0
S00092473,38,3,3,15,12,4,0,1
S00092474,59,1,3,27,23,4,0,1
S00092561,37,7,6,13,7,2,1,1
S00092562,77,5,13,30,21,4,1,3
S00092563,61,4,11,21,21,0,2,2
S00092564,33,0,4,14,10,4,0,1
S00092565,64,1,11,23,24,3,0,2
S00092566,53,10,9,16,8,5,1,4
S00092567,46,0,0,8,36,1,0,1
S00092568,50,1,15,10,18,4,1,1
S00092569,65,1,5,14,32,9,1,3
S00092570,51,0,8,8,22,5,0,8
S00092571,38,3,10,16,6,0,1,2
S00092572,33,2,7,17,6,0,0,1
S00092573,73,6,8,26,25,2,2,4
S00092574,54,7,4,25,11,1,2,4
S00092575,68,6,10,28,17,1,1,5
S00092576,36,1,4,17,11,0,2,1
S00092585,67,5,4,33,18,2,2,3
S00092586,66,7,7,28,16,3,1,4
S00092587,55,7,4,28,13,2,0,1
S00092588,53,5,6,27,11,0,1,3
S00092592,69,7,7,31,12,8,1,3
S00092593,49,10,3,20,9,2,0,5
S00092594,54,8,4,28,11,2,0,1
S00092595,41,0,7,22,10,1,0,1
S00092596,73,6,10,35,17,3,0,2
S00092597,46,3,9,19,10,3,1,1
S00092598,58,17,11,16,9,2,0,3
S00092599,53,9,7,15,17,2,0,3
S00092600,43,5,6,16,9,1,3,3
S00092601,40,7,3,12,11,4,1,2
S00092602,39,1,1,15,19,1,2,0
S00092603,53,1,2,28,20,0,1,1
S00092604,57,1,3,23,19,5,2,4
S00092605,46,5,8,19,12,2,0,0
S00092606,38,2,2,20,10,1,1,2
S00092607,49,12,14,13,8,0,1,1
S00092608,41,1,6,17,13,1,0,3
S00092609,69,7,8,27,19,0,2,6
S00092610,75,5,4,38,20,2,1,5
S00092611,33,2,2,15,13,1,0,0
S00092612,59,2,3,38,15,0,0,1
S00092613,43,4,12,10,7,9,0,1
S00092614,40,5,8,9,9,8,0,1
S00092615,30,3,5,13,6,1,0,2
S00092616,63,8,5,33,12,1,0,4
S00092617,32,2,3,11,8,4,1,3
S00092618,66,1,20,15,19,6,0,5
S00092619,59,3,5,20,28,1,0,2
S00092620,46,11,7,19,5,2,1,1
S00092621,68,2,4,23,35,3,0,1
S00092622,47,7,23,10,2,2,1,2
S00092623,55,11,23,10,8,2,0,1
S00092624,50,3,4,11,30,0,0,2
S00092625,61,5,2,34,16,1,2,1
S00092626,39,4,5,18,5,2,0,5
S00092627,52,13,6,18,7,4,0,4
S00092628,20,2,0,8,9,1,0,0
S00092629,87,6,10,44,22,4,0,1
S00092630,24,1,3,9,5,3,0,3
S00092631,75,5,5,35,19,7,1,3
S00092632,34,3,2,11,16,1,0,1
S00092652,28,2,3,14,7,1,1,0
S00092653,66,13,15,21,11,2,0,4
S00092654,48,7,2,26,11,0,0,2
S00092655,49,5,0,29,13,0,0,2
S00092656,35,0,1,8,20,2,1,3
S00092657,77,9,11,27,17,7,1,5
S00092658,29,0,1,9,12,2,2,3
S00092659,72,6,8,37,14,1,2,4
S00092660,47,9,3,25,7,2,0,1
S00092661,47,1,9,14,13,3,3,4
S00092662,32,2,2,16,6,3,0,3
S00092663,39,2,3,12,15,5,0,2
S00092979,29,2,1,13,7,3,0,3
S00092980,84,16,25,36,2,2,0,3
S00092981,27,3,5,13,4,1,0,1
S00092982,37,0,2,19,8,1,1,6
S00092983,74,8,4,40,13,6,0,3
S00092984,63,8,8,23,18,2,1,3
S00092985,59,6,5,29,14,2,0,3
S00092986,54,1,2,12,36,1,0,2
S00092987,45,1,1,14,26,0,0,3
S00092988,49,0,1,7,33,3,2,3
S00092989,75,6,5,42,12,2,3,5
S00092990,55,0,1,12,37,5,0,0
S00092991,73,5,9,34,18,2,3,2
S00092992,72,6,17,26,10,2,1,10
S00092993,43,1,6,21,10,2,0,3
S00092994,65,3,13,28,13,5,1,2
S00093001,55,5,3,34,10,2,1,0
S00093002,69,7,7,32,14,2,1,6
S00093008,54,1,7,29,11,0,0,6
S00093009,25,5,3,9,6,1,0,1
S00093010,44,2,7,25,6,1,0,3
S00093011,40,2,5,21,9,0,0,3
S00093012,49,6,7,16,12,4,2,2
S00093013,59,2,11,30,10,1,1,4
S00093014,39,3,7,19,5,0,1,4
S00093015,30,3,3,14,7,0,0,3
S00093016,45,2,5,24,9,0,2,3
S00093017,56,5,9,25,13,1,1,2
S00093018,43,3,4,21,11,1,0,3
S00093019,56,4,2,23,21,1,1,4
S00093020,33,5,4,15,4,1,2,2
S00093021,42,4,7,19,9,0,1,2
S00093025,44,1,6,25,9,0,1,2
S00093027,52,5,14,17,10,2,3,1
S00093028,45,2,9,12,19,2,0,1
S00093034,40,2,7,16,9,2,1,3
S00093035,41,2,6,19,10,2,1,1
S00093038,27,0,8,14,3,1,1,0
S00093045,70,6,12,26,17,2,4,3
S00093046,70,10,8,32,15,2,0,3
S00093047,57,2,12,25,10,3,2,3
S00093048,32,4,2,17,5,2,0,2
S00093049,33,3,5,14,7,1,1,2
S00093050,36,0,13,15,5,2,0,1
S00093051,35,7,7,8,9,1,1,2
S00093052,36,3,6,16,10,0,0,1
S00093053,48,7,5,21,15,0,0,0
S00093054,36,4,3,22,5,2,0,0
S00093055,43,4,8,16,14,0,0,1
S00093056,21,0,1,9,11,0,0,0
S00093057,36,1,7,16,10,0,1,1
S00093058,61,5,7,37,9,1,0,2
S00093059,56,4,4,25,15,2,1,5
S00093060,43,8,5,15,12,2,0,1
S00093061,34,1,7,13,7,2,0,4
S00093062,48,2,3,26,10,3,0,4
S00093063,47,3,7,20,11,1,2,3
S00093064,57,4,2,32,12,0,2,5
S00093065,77,5,3,43,12,5,0,9
S00093066,45,3,4,21,13,2,1,1
S00093067,25,4,2,8,9,1,0,1
S00093068,57,9,8,27,11,0,1,1
S00093069,28,5,1,11,8,1,1,1
S00093070,55,4,6,34,11,0,0,0
S00093071,41,4,2,16,12,4,1,2
S00093072,47,6,10,16,5,4,2,4
S00093073,53,8,7,20,10,4,2,2
S00093074,49,5,8,23,8,1,2,2
S00093075,42,2,5,23,6,2,0,4
S00093076,64,8,8,26,10,2,1,9
S00093077,44,9,5,18,7,1,0,4
S00093078,37,4,4,15,8,4,0,2
S00093079,29,4,5,15,4,0,0,1
S00093080,56,1,1,11,33,8,1,1
S00093081,57,1,8,28,14,3,1,2
S00093082,59,2,4,17,29,6,0,1
S00093083,72,3,11,30,18,0,5,5
S00093084,42,6,6,18,10,1,1,0
S00093085,46,3,4,25,10,2,2,0
S00093086,20,1,1,11,5,1,0,1
S00093087,47,1,4,24,10,3,1,4
S00093088,58,5,7,29,15,1,0,1
S00093089,55,6,4,35,5,1,1,3
S00093090,48,7,11,23,3,3,0,1
S00093091,48,3,11,14,8,8,3,1
S00093092,66,3,11,28,18,3,0,3
S00093093,46,1,8,22,10,2,0,3
S00093094,50,9,10,26,1,2,0,2
S00093099,63,4,10,30,11,2,0,6
S00093100,54,1,2,27,21,3,0,0
S00093101,66,5,3,31,20,4,1,2
S00093102,65,2,3,28,22,3,3,4
S00093103,58,6,8,25,14,1,1,3
S00093104,54,6,16,13,9,4,1,5
S00093105,73,6,11,24,26,3,0,3
S00093106,46,3,5,19,12,2,1,4
S00093107,47,3,5,22,12,2,0,3
S00093108,38,3,5,20,8,1,1,0
S00093109,50,7,7,18,12,1,2,3
S00093110,46,6,10,10,13,4,2,1
S00093111,39,1,3,24,10,0,0,1
S00093112,38,1,7,20,9,1,0,0
S00093113,33,1,3,7,20,1,1,0
S00093114,51,0,3,16,28,1,1,2
S00093115,46,11,6,19,9,0,0,1
S00093116,69,1,4,25,31,6,1,1
S00093117,57,0,4,11,38,1,1,2
S00093118,68,16,9,26,10,3,0,4
S00093119,58,5,9,23,13,2,2,4
S00093120,46,5,6,20,11,1,2,1
S00093121,55,6,10,27,8,1,1,2
S00093122,55,20,14,16,3,0,0,2
S00093123,45,5,4,18,5,3,2,8
S00093124,50,21,3,17,4,3,1,1
S00093125,47,8,3,28,7,1,0,0
S00093126,47,10,3,25,6,0,2,1
S00093127,49,7,2,31,5,3,0,1
S00093128,59,14,7,28,6,2,1,1
S00093129,62,4,3,30,18,3,1,3
S00093130,57,11,4,22,11,5,0,4
S00093131,53,9,7,23,10,2,0,2
S00093132,42,6,6,11,4,11,0,4
S00093133,48,4,6,26,6,1,2,3
S00093134,55,5,6,29,10,1,1,3
S00093135,58,6,5,28,15,1,0,3
S00093136,45,7,5,26,6,0,0,1
S00093137,40,2,3,29,6,0,0,0
S00093138,55,7,10,31,5,1,1,0
S00093139,51,8,6,25,8,2,0,2
S00093140,60,9,6,30,10,2,1,2
S00093141,44,6,4,23,7,2,0,2
S00093142,62,0,8,27,19,3,1,4
S00093143,49,9,6,21,11,1,0,1
S00093144,51,8,8,19,11,5,0,0
S00093145,58,7,8,27,11,3,2,0
S00093146,51,0,2,13,30,3,3,0
S00093147,50,8,4,22,7,3,0,6
S00093148,42,23,0,15,3,0,0,1
S00093149,49,8,2,31,5,1,0,2
S00093150,44,13,1,27,2,0,0,1
S00093151,63,29,8,14,8,2,0,2
S00093152,52,34,9,9,0,0,0,0
S00093153,52,6,5,16,20,2,1,2
S00093154,54,8,7,23,8,1,0,7
S00093155,42,7,2,18,6,4,2,3
S00093156,69,12,5,26,21,2,2,1
S00093157,58,15,11,16,9,3,1,3
S00093158,72,20,17,24,5,4,1,1
S00093159,58,28,13,12,0,2,0,3
S00093160,60,7,30,12,3,4,2,2
S00093161,56,8,3,25,13,2,1,4
S00093162,68,12,6,27,20,2,0,1
S00093163,58,17,10,24,6,0,0,1
S00093164,65,9,12,27,12,3,0,2
S00093165,48,12,7,13,13,0,0,3
S00093166,70,13,14,22,11,7,0,3
S00093167,63,18,6,23,9,3,1,3
S00093168,40,7,7,20,4,1,0,1
S00093169,43,13,11,10,6,1,1,1
S00093170,38,8,8,12,5,0,3,2
S00093171,58,39,3,13,1,2,0,0
S00093172,57,6,7,23,13,1,0,7
S00093173,44,7,2,23,9,1,1,1
S00093174,58,3,3,20,23,3,2,4
S00093175,33,3,2,19,8,0,0,1
S00093176,48,8,3,29,6,1,1,0
S00093177,44,10,8,16,4,1,2,3
S00093178,60,5,4,28,16,3,2,2
S00093179,54,7,8,22,8,6,0,3
S00093180,47,3,7,23,11,2,1,0
S00093181,57,6,4,26,14,3,0,4
S00093182,75,5,9,31,23,5,2,0
S00093183,47,4,3,30,9,1,0,0
S00093184,65,7,3,33,14,2,0,6
S00093185,51,11,7,21,5,6,0,1
S00093186,67,7,13,26,9,8,0,4
S00093187,57,3,5,24,18,1,1,5
S00093188,44,10,2,13,12,3,2,2
S00093189,52,7,13,20,7,1,0,4
S00093190,74,13,15,24,15,4,2,1
S00093191,51,18,13,12,7,0,1,0
S00093192,41,1,2,19,17,1,0,1
S00093193,56,8,9,17,16,2,1,3
S00093194,62,10,10,23,11,1,2,5
S00093195,40,6,5,18,9,0,1,1
S00093196,59,7,4,40,7,0,0,1
S00093197,33,7,2,16,5,1,1,1
S00093198,69,16,8,35,6,1,0,3
S00093199,70,15,6,36,9,1,0,3
S00093200,32,10,5,14,1,2,0,0
S00093201,49,8,2,24,10,3,0,2
S00093202,47,3,7,15,13,6,1,2
S00093203,39,5,8,16,3,5,1,1
S00093204,46,3,7,18,11,4,2,1
S00093205,45,4,11,17,5,4,1,3
S00093206,47,8,9,16,5,8,0,1
S00093207,47,11,12,13,8,0,0,3
S00093208,45,3,6,13,10,9,1,3
S00093209,43,3,5,13,19,1,0,2
S00093210,61,0,9,25,21,2,2,2
S00093211,40,6,3,16,11,1,0,3
S00093212,42,8,6,17,7,2,0,2
S00093213,41,3,8,9,7,10,1,3
S00093214,49,6,10,7,6,16,2,2
S00093215,45,9,5,12,10,3,4,2
S00093216,42,3,15,16,3,5,0,0
S00093217,36,5,9,15,5,2,0,0
S00093218,52,7,7,17,8,4,1,8
S00093219,50,12,6,21,7,0,0,4
S00093220,48,12,9,14,3,7,1,2
S00093221,42,9,14,13,2,1,0,3
S00093222,58,17,9,16,5,6,0,5
S00093223,54,11,7,24,10,1,0,1
S00093224,50,5,5,28,8,0,0,4
S00093225,46,4,4,28,4,2,0,4
S00093226,50,4,3,15,12,13,0,3
S00093227,50,9,11,25,2,3,0,0
S00093228,42,2,8,17,8,5,0,2
S00093229,72,4,10,25,11,12,4,6
S00093230,64,5,9,27,6,11,3,3
S00093231,43,11,3,17,6,2,0,4
S00093232,45,4,17,15,5,3,1,0
S00093233,55,4,15,19,6,7,0,4
S00093234,47,8,8,13,7,6,0,5
S00093235,43,3,7,13,8,7,3,2
S00093236,63,6,10,27,13,4,1,2
S00093237,72,16,10,26,10,7,1,2
S00093238,44,9,6,15,7,3,1,3
S00093239,64,11,11,13,12,14,0,3
S00093240,40,7,3,20,4,3,1,2
S00093241,52,26,8,12,1,1,0,4
S00093242,40,3,5,16,8,3,2,3
S00093243,50,9,10,13,13,4,0,1
S00093244,69,6,27,16,6,11,1,2
S00093245,46,7,10,15,9,3,1,1
S00093246,54,8,5,25,3,3,3,7
S00093247,60,7,16,20,12,2,0,3
S00093248,40,8,7,13,7,1,0,4
S00093249,49,4,6,24,11,0,2,2
S00093250,52,6,5,31,6,0,0,4
S00093251,73,4,8,41,18,0,0,2
S00093252,53,9,7,18,11,6,0,2
S00093253,48,11,6,16,6,5,1,3
S00093254,38,7,13,10,4,3,1,0
S00093255,42,2,7,6,15,9,0,3
S00093256,53,5,8,10,6,18,1,5
S00093257,62,7,27,13,4,6,1,4
S00093258,48,5,19,12,6,2,2,2
S00093259,57,16,16,9,6,3,1,6
S00093260,54,28,2,12,3,4,0,5
S00093261,35,2,19,9,3,0,2,0
S00093262,61,5,23,12,8,11,0,2
S00093263,34,5,12,8,5,2,1,1
S00093264,48,10,15,13,4,3,0,3
S00093265,69,5,30,8,10,9,2,5
S00093266,45,5,13,13,11,2,0,1
S00093267,40,1,16,13,5,3,1,1
S00093268,53,7,22,14,5,2,1,2
S00093269,39,12,7,15,2,1,0,2
S00093270,60,6,28,14,8,3,0,1
S00093271,37,4,21,5,2,4,0,1
S00093272,47,1,20,10,6,2,2,6
S00093273,52,6,11,19,6,6,1,3
S00093274,68,24,22,12,5,1,0,4
S00093275,44,5,15,10,7,4,0,3
S00093276,69,4,31,15,7,10,0,2
S00093277,44,22,6,11,3,1,0,1
S00093278,40,18,10,12,0,0,0,0
S00093279,68,7,29,18,7,5,1,1
S00093280,48,27,9,10,0,1,0,1
S00093281,65,8,26,18,5,4,0,4
S00093282,58,21,11,13,6,3,0,4
S00093283,71,17,32,14,4,2,0,2
S00093284,53,5,29,8,7,2,0,2
S00093285,63,7,27,10,4,5,1,9
S00093286,56,2,36,6,8,3,1,0
S00093287,59,12,27,11,5,1,1,2
S00093288,43,1,22,9,4,1,0,6
S00093289,39,4,7,17,9,1,0,1
S00093290,59,11,7,25,11,2,0,3
S00093291,40,3,7,11,7,7,1,4
S00093292,38,1,4,8,6,10,2,7
S00093293,34,2,3,1,8,12,4,4
S00093294,43,4,10,7,5,11,3,3
S00093295,46,0,5,8,10,7,4,12
S00093296,37,1,9,8,9,4,0,6
S00093297,38,1,4,6,10,10,3,4
S00093298,75,11,13,32,12,4,0,3
S00093299,76,7,25,25,10,3,1,5
S00093300,64,8,18,21,13,2,0,2
S00093301,44,4,10,15,8,5,1,1
S00093302,63,6,12,6,14,18,0,7
S00093303,76,4,26,14,17,11,0,4
S00093304,32,2,9,3,9,8,0,1
S00093305,38,2,7,4,9,7,0,9
S00093306,77,7,25,18,5,15,0,7
S00093307,36,3,3,23,2,3,2,0
S00093308,59,13,5,30,10,0,0,1
S00093309,41,5,1,25,6,1,1,2
S00093310,58,5,5,28,14,4,2,0
S00093311,48,5,4,19,15,2,1,2
S00093312,49,3,12,21,8,2,2,1
S00093313,67,13,31,15,3,2,1,2
S00093314,50,5,7,16,18,0,2,2
