ethn..sa_id,ethn..total_persons,ethn..ethnic_group_e_s_w_white_unit_persons,ethn..ethnic_group_e_s_w_white_gypsy_or_irish_traveller_unit_persons,ethn..ethnic_group_e_s_w_mixed_multiple_ethnic_group_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_indian_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_pakistani_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_bangladeshi_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_chinese_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_other_asian_unit_persons,ethn..ethnic_group_e_s_w_black_african_caribbean_black_british_unit_persons,ethn..ethnic_group_e_s_w_other_ethnic_group_any_other_ethnic_group_unit_persons,ethn..white_or_white_british,ethn..black_or_black_british,ethn..asian_or_asian_british,ethn..mixed_multiple_ethnicity,ethn..other_ethnicity
S00093301,106,106,0,0,0,0,0,0,0,0,0,106,0,0,0,0
S00093302,143,143,0,0,0,0,0,0,0,0,0,143,0,0,0,0
S00093303,183,178,0,1,1,0,0,3,0,0,0,178,0,4,1,0
S00093304,72,71,1,0,0,0,0,0,0,0,0,72,0,0,0,0
S00093305,97,97,0,0,0,0,0,0,0,0,0,97,0,0,0,0
S00093306,142,142,0,0,0,0,0,0,0,0,0,142,0,0,0,0
S00093307,126,126,0,0,0,0,0,0,0,0,0,126,0,0,0,0
S00093308,119,118,0,0,0,0,0,0,0,1,0,118,1,0,0,0
S00093309,97,97,0,0,0,0,0,0,0,0,0,97,0,0,0,0
S00093310,151,151,0,0,0,0,0,0,0,0,0,151,0,0,0,0
S00093311,124,124,0,0,0,0,0,0,0,0,0,124,0,0,0,0
S00093312,105,105,0,0,0,0,0,0,0,0,0,105,0,0,0,0
S00093313,107,106,0,0,0,0,0,0,0,1,0,106,1,0,0,0
S00093314,128,126,0,0,0,0,0,1,0,1,0,126,1,1,0,0
S00093315,120,117,2,0,0,0,0,0,0,1,0,119,1,0,0,0
S00093316,109,103,0,0,0,0,0,6,0,0,0,103,0,6,0,0
S00093317,98,98,0,0,0,0,0,0,0,0,0,98,0,0,0,0
S00093318,86,86,0,0,0,0,0,0,0,0,0,86,0,0,0,0
S00093319,85,84,0,1,0,0,0,0,0,0,0,84,0,0,1,0
S00093320,123,123,0,0,0,0,0,0,0,0,0,123,0,0,0,0
S00093321,95,95,0,0,0,0,0,0,0,0,0,95,0,0,0,0
