health..sa_id,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
S00093316,109,54,43,10,2,0
S00093317,98,47,38,9,4,0
S00093318,86,38,30,15,2,1
S00093319,85,24,35,20,6,0
S00093320,123,64,41,13,4,1
S00093321,95,48,28,13,6,0
S00093322,121,73,36,8,1,3
S00093323,131,69,42,17,3,0
S00093324,109,57,29,14,7,2
S00093325,94,33,30,23,8,0
S00093326,115,65,36,11,3,0
S00093327,106,48,38,16,0,4
S00093328,132,52,61,10,6,3
S00093329,125,59,45,16,3,2
S00093330,111,56,41,13,1,0
S00093331,93,40,42,8,2,1
S00093332,156,69,55,23,6,3
S00093333,125,72,38,9,4,2
S00093334,221,115,74,27,3,2
S00093335,164,90,54,9,9,2
S00093336,121,60,41,14,4,2
S00093337,98,44,39,11,4,0
S00093338,77,31,28,12,5,1
S00093339,152,86,45,14,5,2
S00093340,80,32,27,12,8,1
S00093341,59,25,25,5,3,1
S00093342,157,78,51,17,9,2
S00093343,65,19,24,17,3,2
S00093344,158,100,38,14,5,1
S00093345,104,68,23,10,3,0
S00093346,94,49,31,13,1,0
S00093347,58,28,16,11,3,0
S00093348,73,31,25,14,2,1
S00093349,158,70,53,27,5,3
S00093350,121,44,40,25,9,3
S00093351,100,38,33,19,8,2
S00093352,84,42,33,6,3,0
S00093353,121,59,37,17,4,4
S00093354,89,32,31,19,7,0
S00093355,134,69,40,13,9,3
S00093356,83,36,34,10,1,2
S00093357,109,57,35,9,8,0
S00093358,103,58,37,7,1,0
S00093359,89,46,26,13,3,1
S00093360,93,40,37,13,3,0
S00093361,103,47,26,22,5,3
S00093362,138,59,54,17,8,0
S00093363,92,52,25,12,3,0
S00093364,65,27,23,11,2,2
S00093365,100,49,32,12,4,3
S00093366,150,64,59,18,5,4
S00093367,57,38,11,7,1,0
S00093368,107,75,18,10,2,2
S00093369,63,21,25,12,5,0
S00093370,118,57,36,16,8,1
S00093371,90,45,24,12,8,1
S00093372,112,49,48,9,3,3
S00093373,53,27,19,3,4,0
S00093374,200,150,42,7,1,0
S00093375,142,77,44,18,3,0
S00093376,215,114,70,22,4,5
S00093377,184,94,57,26,4,3
S00093378,85,41,26,13,4,1
S00093379,70,31,22,14,2,1
S00093380,101,54,35,8,3,1
S00093381,110,38,39,26,6,1
S00093382,104,54,37,6,5,2
S00093383,77,39,24,10,2,2
S00093384,117,60,39,14,3,1
S00093385,118,51,35,24,6,2
S00093386,104,46,40,16,1,1
S00093387,78,40,29,5,3,1
S00093388,135,65,45,17,6,2
S00093389,84,32,34,13,4,1
S00093390,88,47,36,4,1,0
S00093391,157,71,63,21,0,2
S00093392,153,50,54,35,11,3
S00093393,111,54,28,17,10,2
S00093394,108,46,40,15,4,3
S00093395,133,66,50,11,6,0
S00093396,96,56,25,12,3,0
S00093397,157,73,63,12,4,5
S00093398,109,56,34,12,5,2
S00093399,110,57,34,16,1,2
S00093400,87,47,20,14,4,2
S00093401,61,31,17,11,1,1
S00093402,119,66,34,17,0,2
S00093403,177,77,59,25,13,3
S00093404,136,75,33,21,7,0
S00093405,149,68,59,17,5,0
S00093406,127,69,35,18,3,2
S00093407,87,40,28,12,5,2
S00093408,57,30,19,7,1,0
S00093409,124,68,36,12,6,2
S00093410,185,87,60,31,7,0
S00093411,79,49,20,10,0,0
S00093412,95,40,27,16,9,3
S00093413,90,53,21,11,4,1
S00093414,83,37,28,12,5,1
S00093415,129,65,38,16,7,3
S00093416,121,61,36,17,7,0
S00093417,70,37,20,9,4,0
S00093418,53,28,16,6,2,1
S00093419,108,49,40,11,8,0
S00093420,221,128,69,21,2,1
S00093421,151,72,57,13,6,3
S00093422,121,75,33,9,4,0
S00093423,109,48,44,14,3,0
S00093424,118,49,45,14,7,3
S00093425,100,30,29,27,12,2
S00093431,159,80,54,19,5,1
S00093432,70,40,26,3,1,0
S00093433,145,75,44,20,5,1
S00093528,101,38,36,21,6,0
S00093529,156,98,43,11,2,2
S00093530,113,56,41,8,6,2
S00093531,108,54,26,22,5,1
S00093532,96,32,41,18,3,2
S00093533,147,77,47,18,5,0
S00093573,82,30,18,24,8,2
S00093574,94,53,25,14,2,0
S00093575,121,53,45,15,5,3
S00093576,81,48,23,8,1,1
S00093577,99,46,39,11,3,0
S00093578,72,50,16,4,2,0
S00093579,81,50,19,8,4,0
S00093580,135,72,45,15,2,1
S00093581,88,44,36,6,1,1
S00093582,126,76,31,17,0,2
S00093583,86,52,24,8,1,1
S00093584,59,35,18,4,2,0
S00093585,75,35,31,4,3,2
S00093586,108,49,40,13,6,0
S00093587,122,73,30,12,6,1
S00093588,94,30,40,17,4,3
S00093589,74,40,24,10,0,0
S00093590,108,53,37,14,4,0
S00093591,133,53,50,21,8,1
S00093592,104,54,35,14,0,1
S00093593,74,24,20,26,4,0
S00093594,148,85,47,6,7,3
S00093595,147,72,59,10,3,3
S00093596,118,61,34,16,7,0
S00093597,125,71,36,14,4,0
S00093598,139,81,38,15,5,0
S00093599,104,21,33,31,14,5
S00093600,65,31,28,6,0,0
S00093601,80,46,27,4,3,0
S00093602,100,40,40,13,4,3
S00093603,68,39,20,9,0,0
S00093604,85,34,28,15,5,3
S00093605,98,31,55,8,3,1
S00093606,63,29,20,10,1,3
S00093607,113,75,31,7,0,0
S00093608,189,70,71,35,11,2
S00093609,78,39,24,12,3,0
S00093610,106,61,30,10,4,1
S00093611,148,79,42,20,4,3
S00093612,111,63,31,9,7,1
S00093613,123,61,44,14,3,1
S00093614,108,57,36,13,1,1
