rel..sa_id,rel..total_persons,rel..christian_church_of_scotland,rel..christian_roman_catholic,rel..christian_other_christian,rel..buddhist,rel..hindu,rel..jewish,rel..muslim,rel..sikh,rel..other_religion,rel..no_religion,rel..religion_not_stated
S00094973,70,27,7,6,1,0,0,0,0,0,23,6
S00094974,150,58,11,18,0,0,0,0,0,2,54,7
S00094975,106,62,3,10,0,0,0,0,0,3,25,3
S00094976,104,34,7,6,0,0,0,0,0,0,41,16
S00094977,88,45,1,6,0,0,0,0,0,0,22,14
S00094978,130,52,1,23,0,0,0,0,0,2,43,9
S00094979,121,62,5,8,0,0,0,0,0,0,39,7
S00094980,94,26,4,8,0,1,4,0,0,1,35,15
S00094981,105,33,7,21,0,0,0,0,0,0,38,6
S00094982,161,73,7,14,0,0,0,0,0,1,40,26
S00094983,156,67,5,16,3,0,0,0,0,1,51,13
S00094984,118,45,6,8,0,0,0,0,0,0,52,7
S00094985,89,41,5,3,0,0,0,0,0,0,23,17
S00094986,55,19,4,4,0,0,0,0,0,0,25,3
S00094987,107,45,3,8,0,0,0,0,0,0,25,26
S00094988,60,25,6,3,0,0,0,0,0,0,23,3
S00094989,120,40,11,12,0,0,0,0,0,0,38,19
S00094990,92,36,11,11,0,0,0,1,0,1,23,9
S00094991,110,39,5,15,0,0,0,5,0,2,32,12
S00094992,65,17,11,2,0,0,0,0,0,0,29,6
S00094993,95,41,10,2,0,0,0,0,0,0,35,7
S00094994,98,56,1,13,0,0,0,0,0,0,15,13
S00094995,104,52,5,15,0,0,0,0,0,0,21,11
S00094996,59,25,4,5,1,0,0,0,0,1,18,5
S00094997,92,35,2,9,0,0,0,0,0,0,42,4
S00094998,139,32,5,15,0,0,0,5,0,0,62,20
S00094999,69,29,6,11,0,0,0,0,0,0,21,2
S00095003,62,22,1,5,1,0,0,0,0,0,23,10
S00095004,81,44,2,9,0,0,0,0,0,0,20,6
S00095005,81,43,5,6,0,0,0,0,0,0,18,9
S00095006,150,64,6,8,0,0,0,0,0,0,60,12
S00095007,109,48,11,5,1,0,0,0,0,0,37,7
S00095008,59,31,3,7,0,0,0,1,0,0,11,6
S00095009,156,19,13,15,0,1,0,0,0,1,90,17
S00095010,66,15,0,3,0,0,0,5,0,5,34,4
