health..sa_id,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
S00095328,80,35,29,10,5,1
S00095329,106,45,41,9,9,2
S00095330,140,68,44,20,8,0
S00095331,154,64,62,18,9,1
S00095332,98,49,34,10,3,2
S00095333,100,59,30,6,5,0
S00095334,140,70,50,19,0,1
S00095335,132,47,47,28,10,0
S00095336,104,62,22,18,1,1
S00095337,157,87,49,12,7,2
S00095338,121,60,35,20,5,1
S00095339,88,49,24,12,3,0
S00095340,109,48,42,14,4,1
S00095341,191,93,66,25,5,2
S00095342,108,43,55,8,2,0
S00095343,107,56,32,14,4,1
S00095344,80,36,22,16,4,2
S00095345,127,58,31,25,11,2
S00095346,141,56,44,30,8,3
S00095347,93,49,25,10,9,0
S00095348,94,57,29,7,0,1
S00095349,114,55,31,20,6,2
S00095350,80,10,35,27,7,1
S00095351,133,71,42,12,7,1
S00095352,190,132,37,15,4,2
S00095353,123,68,36,14,4,1
S00095354,75,41,20,10,4,0
S00095355,169,90,56,14,8,1
S00095356,115,58,42,12,3,0
S00095357,70,32,25,7,4,2
S00095358,262,160,88,13,1,0
S00095359,89,32,39,15,2,1
S00095360,58,25,22,9,2,0
S00095361,92,39,34,13,6,0
S00095362,128,71,44,10,2,1
S00095363,119,59,34,18,7,1
S00095364,117,50,41,18,6,2
S00095365,87,42,29,10,4,2
S00095366,150,68,60,18,3,1
S00095367,127,81,32,12,2,0
S00095368,91,43,27,17,2,2
S00095369,192,125,45,16,5,1
S00095370,116,54,30,22,7,3
S00095371,151,97,33,18,3,0
S00095372,86,36,28,18,4,0
S00095373,160,75,57,21,6,1
S00095374,99,43,34,18,3,1
S00095375,110,56,31,17,5,1
S00095376,98,51,35,9,3,0
S00095377,128,56,49,16,6,1
S00095378,110,64,28,16,0,2
S00095379,132,64,42,21,4,1
S00095380,160,74,39,38,9,0
S00095381,127,71,32,20,3,1
S00095382,100,42,41,10,4,3
S00095383,124,73,36,11,3,1
S00095384,132,61,48,20,3,0
S00095385,112,43,45,21,3,0
S00095386,100,47,42,10,1,0
S00095387,178,105,49,20,2,2
S00095388,106,54,28,21,2,1
S00095389,142,79,47,14,2,0
S00095390,141,58,67,13,3,0
S00095391,64,9,21,27,6,1
S00095392,114,51,38,20,5,0
S00095393,130,67,45,15,2,1
S00095394,68,28,25,12,2,1
S00095395,77,44,25,7,1,0
S00095396,109,29,30,33,13,4
S00095397,152,82,43,21,4,2
S00095398,93,36,26,25,6,0
S00095399,164,76,47,29,8,4
S00095400,175,106,52,12,5,0
S00095401,58,27,22,8,1,0
S00095402,128,69,39,15,5,0
S00095403,125,66,35,16,6,2
S00095404,97,13,38,29,13,4
S00095405,179,122,44,8,4,1
S00095406,118,54,45,12,4,3
S00095407,110,61,28,17,3,1
S00095408,152,95,44,12,1,0
S00095409,157,91,46,16,4,0
S00095410,141,61,46,23,8,3
S00095411,136,75,40,16,5,0
S00095412,71,43,23,1,4,0
S00095413,109,51,38,15,5,0
S00095414,146,68,49,18,9,2
S00095415,90,51,24,12,3,0
S00095416,101,54,36,9,1,1
S00095417,112,62,39,10,1,0
S00095418,154,90,44,17,2,1
S00095419,133,58,48,23,3,1
S00095420,121,58,43,17,3,0
S00095421,77,41,28,6,2,0
S00095422,66,31,21,8,5,1
S00095423,149,87,42,15,4,1
S00095424,125,70,37,14,2,2
S00095425,104,65,31,6,1,1
S00095426,148,86,46,12,3,1
S00095427,155,90,45,18,2,0
S00095428,91,41,33,16,1,0
S00095429,62,17,19,17,7,2
S00095430,124,73,38,10,3,0
S00095431,109,45,44,17,3,0
S00095432,117,60,33,18,4,2
S00095433,161,66,66,19,9,1
S00095434,143,74,44,20,5,0
S00095435,64,24,30,6,3,1
S00095436,89,43,27,18,1,0
S00095437,104,60,25,12,6,1
S00095438,76,31,25,15,5,0
S00095439,61,34,24,3,0,0
S00095440,86,45,31,7,2,1
S00095441,91,24,31,29,4,3
