pop..soa_code,pop..total_persons,pop..males,pop..females,pop..x0_15_years,pop..x16_39_years,pop..x40_64_years,pop..x65_years
95NN01S2,1830,965,866,430,487,579,334
95NN02W1,2151,1018,1133,384,569,741,457
95NN03S1,1287,617,672,245,345,434,263
95NN03S2,1624,750,874,316,400,551,357
95NN04W1,3046,1517,1530,801,1059,871,315
95NN05W1,2602,1229,1373,554,809,762,477
95NN06S1,1152,586,566,265,342,362,183
95NN06S2,2481,1212,1268,582,728,788,383
95NN07S1,1607,773,834,355,529,538,185
95NN07S2,1615,800,815,404,509,453,249
95NN08S1,1471,745,727,260,383,539,289
95NN08S2,1952,952,1001,454,554,623,321
95NN09S1,1787,897,889,333,509,659,286
95NN09S2,1428,685,743,264,339,446,379
95NN10S1,1480,720,759,186,297,469,528
95NN10S2,1565,760,806,324,406,523,312
95NN11S1,1821,898,922,438,576,579,228
95NN11S2,2308,1150,1157,511,676,812,309
95NN12W1,2917,1450,1468,655,783,974,505
95NN13W1,3211,1607,1604,638,818,1092,663
95NN14S1,1803,840,964,398,531,562,312
95NN14S2,1255,632,623,284,358,413,200
95NN15W1,3100,1506,1595,556,947,1030,567
95NN16S1,1666,793,874,290,376,573,427
95NN16S2,1644,838,805,295,412,605,332
95NN17W1,2540,1195,1345,579,766,741,454
95NN18S1,1436,704,732,315,460,419,242
95NN18S2,1609,751,859,306,444,534,325
95NN19S1,1629,763,866,308,456,561,304
95NN19S2,1927,955,971,379,508,654,386
95NN20W1,3253,1681,1572,663,911,1123,556
95NN21W1,2873,1366,1506,536,763,949,625
95NN22W1,2933,1487,1445,623,752,985,573
95NN23S1,1820,925,895,460,594,541,225
95NN23S2,1988,977,1012,390,509,659,430
95SS01S1,2355,1393,961,360,638,908,449
95SS01S2,2953,1494,1459,643,829,1101,380
95SS03S1,1673,846,827,288,406,604,375
95SS03S2,1966,997,969,363,474,677,452
95SS05S2,2029,1021,1007,347,560,723,399
95SS08S1,1875,919,956,354,432,713,376
95SS08S2,2756,1360,1397,619,731,936,470
95SS09S1,1871,899,971,352,470,682,367
95SS09S2,1734,879,855,351,406,617,360
95SS14S2,1902,908,992,451,550,574,327
95SS15S1,1891,925,966,324,427,690,450
95SS15S2,2172,1051,1121,414,447,754,557
95SS21S1,2872,1425,1446,686,909,945,332
95SS21S2,2521,1315,1206,503,686,892,440
95SS23S1,2359,1171,1188,471,558,823,507
95SS23S2,1691,828,864,349,469,611,262
95SS24S1,3197,1597,1600,638,887,1103,569
95SS24S2,2228,1063,1166,411,556,818,443
95VV01S1,1699,847,851,360,475,576,288
95VV01S2,1714,861,852,386,524,539,265
95VV02W1,2308,1150,1158,508,719,706,375
95VV04W1,3404,1722,1683,820,1001,1038,545
95VV05S1,2218,1131,1088,506,696,746,270
95VV05S2,2726,1386,1341,685,854,896,291
95VV07S1,2003,1010,993,370,621,680,332
95VV07S2,2518,1237,1282,502,756,884,376
95VV10S1,1576,782,794,370,581,492,133
95VV10S2,1880,944,937,451,668,553,208
95VV11S1,2145,1048,1097,504,649,684,308
95VV11S2,2633,1299,1334,674,824,819,316
95VV13S1,2331,1207,1125,619,677,769,266
95VV13S2,1506,809,698,335,422,523,226
95VV14S1,2105,1056,1049,505,750,605,245
95VV14S2,1509,781,729,309,436,482,282
95VV15S1,1379,691,687,304,471,420,184
95VV15S2,1780,842,938,352,593,630,205
95VV16W1,3392,1741,1652,746,1081,1087,478
95VV18S1,1866,930,936,421,567,568,310
95VV18S2,1888,925,963,384,553,581,370
95VV19S1,1366,657,709,286,383,414,283
95VV19S2,1594,802,792,436,479,442,237
95VV20W1,3248,1663,1585,740,971,1048,489
95VV21S1,2616,1332,1284,659,824,855,278
95VV21S2,1971,1015,955,511,595,638,227
95VV23W1,2848,1408,1439,529,755,959,605
95VV24S1,1618,796,821,287,395,564,372
95VV24S2,1550,734,816,310,442,490,308
95VV26W1,3788,1915,1873,980,1156,1190,462
95VV27W1,2341,1207,1134,408,712,763,458
95VV28S1,2194,1097,1098,494,655,690,355
95VV28S2,1282,654,628,227,388,428,239
95VV30S1,1611,805,806,316,422,564,309
95VV30S2,1456,735,719,306,437,433,280
95XX01S1,1686,845,841,308,409,598,371
95XX01S2,1788,863,924,375,506,757,150
95XX01S3,1595,755,840,315,427,559,294
95XX02W1,2716,1305,1411,499,501,992,724
95XX03S1,1221,590,631,225,264,359,373
95XX03S2,1385,666,719,251,338,451,345
95XX04S1,1773,871,902,333,412,622,406
95XX04S2,1783,860,924,361,497,632,293
95XX05W1,2654,1276,1377,392,653,833,776
95XX06S1,1954,945,1009,457,543,602,352
95XX06S2,2078,999,1079,440,636,720,282
95XX07S1,1363,686,677,195,330,423,415
95XX07S2,1349,639,709,221,270,425,433
95XX08S1,1310,649,661,202,296,448,364
95XX08S2,1240,568,672,187,266,382,405
95XX09S1,1450,657,793,231,266,387,566
95XX09S2,1459,691,767,251,340,546,322
95XX10S1,1814,862,953,468,563,612,171
95XX10S2,2088,1030,1058,464,688,747,189
95XX10S3,1267,615,652,284,389,384,210
95XX11S1,2791,1350,1441,667,876,906,342
95XX11S2,3397,1634,1762,881,1306,964,246
95XX11S3,1582,718,863,348,552,484,198
95XX12W1,2592,1297,1294,435,537,971,649
95XX13W1,3079,1472,1606,519,614,980,966
95XX14W1,2557,1233,1324,418,524,843,772
95XX15W1,2711,1252,1459,489,760,885,577
95XX16W1,3071,1441,1630,385,481,1054,1151
95XX17S1,1548,850,698,204,562,546,236
95XX17S2,1579,779,801,268,415,613,283
95XX18W1,2912,1403,1509,449,856,972,635
95XX19W1,2782,1347,1434,477,559,1014,732
95XX20S1,2010,943,1066,437,572,664,337
95XX20S2,1051,590,462,289,460,207,95
95XX21W1,2927,1419,1507,457,533,970,967
95XX22W1,2158,1071,1087,377,557,730,494
95XX23W1,3252,1604,1648,603,1072,1047,530
95XX24S1,1241,597,644,218,270,384,369
95XX24S2,1435,676,759,226,352,442,415
95XX25W1,2521,1166,1355,539,744,812,426
