rel..sa_id,rel..total_persons,rel..religion_catholic,rel..religion_presbyterian_church_in_ireland,rel..religion_church_of_ireland,rel..religion_methodist_church_in_ireland,rel..religion_other_christian_including_christian_related,rel..religion_other_religions,rel..religion_no_religion,rel..religion_religion_not_stated
N00000326,946,37,299,139,59,119,5,221,67
N00000327,325,8,135,49,9,29,0,75,20
N00000328,291,12,128,38,10,17,5,57,24
N00000329,402,11,181,68,24,12,0,80,26
N00000330,539,22,186,100,29,77,2,107,16
N00000331,612,21,242,127,29,42,4,111,36
N00000332,284,9,105,61,15,13,2,61,18
N00000333,293,6,157,42,12,20,0,41,15
N00000334,294,8,86,67,13,19,1,78,22
N00000335,326,37,108,52,12,21,4,78,14
N00000336,330,28,114,39,28,45,1,62,13
N00000337,282,23,89,50,18,19,2,58,23
N00000338,308,52,85,73,15,23,2,39,19
N00000339,294,39,86,70,11,28,2,39,19
N00000340,427,33,150,70,37,38,6,56,37
N00000341,348,26,124,47,37,48,7,48,11
N00000342,359,17,120,62,21,42,6,67,24
N00000343,351,18,163,42,9,46,8,56,9
N00000715,656,213,129,150,12,51,6,70,25
N00000716,897,177,312,188,16,78,11,92,23
N00000717,576,133,179,96,10,47,2,75,34
N00000718,1923,627,443,337,45,148,19,221,83
N00000719,260,70,76,45,1,26,0,33,9
N00000720,484,133,135,115,8,24,2,43,24
N00000721,460,269,76,59,1,16,0,26,13
N00000722,495,73,258,66,2,42,4,23,27
N00000723,445,394,0,7,0,2,0,21,21
N00000724,495,264,106,33,16,14,0,36,26
N00000725,477,239,136,22,0,43,1,23,13
N00000726,445,280,66,43,0,17,0,23,16
N00000727,274,115,65,41,5,17,3,17,11
N00000728,495,183,111,62,13,29,7,64,26
N00000729,355,86,95,72,11,15,0,56,20
N00000730,305,67,71,85,10,33,0,28,11
N00000731,267,131,44,53,6,11,1,12,9
N00000732,569,207,99,103,4,33,3,84,36
N00000733,325,116,60,71,2,26,4,40,6
N00000734,416,133,91,71,1,29,0,55,36
N00000735,422,133,152,51,6,27,3,32,18
N00000736,382,222,79,33,3,8,2,20,15
N00000737,382,55,205,48,3,23,1,34,13
N00000738,432,262,69,24,3,24,0,18,32
N00000739,444,115,158,60,8,55,3,21,24
N00000740,567,139,260,30,3,59,6,49,21
N00000741,345,48,128,43,14,37,3,52,20
N00000742,286,56,84,49,9,36,4,31,17
N00000743,270,23,88,84,4,23,4,28,16
N00000744,283,41,67,61,17,50,4,35,8
N00000745,470,73,111,84,24,71,7,68,32
N00000746,508,103,138,112,17,35,6,55,42
N00000747,401,75,104,75,9,52,0,69,17
N00000748,454,68,121,105,21,49,4,66,20
N00000749,387,28,132,83,20,44,0,63,17
N00000750,319,45,84,85,11,17,2,53,22
N00000751,464,79,106,110,16,55,6,76,16
N00000752,412,40,120,99,14,50,6,45,38
N00000753,436,77,159,56,6,51,7,54,26
N00000754,436,55,135,69,23,43,3,82,26
N00000755,391,18,144,57,9,83,0,54,26
N00000756,366,50,115,73,13,43,7,44,21
N00000757,451,40,134,122,19,71,1,46,18
N00000758,471,260,69,58,3,21,1,40,19
N00000759,304,154,44,46,2,12,1,32,13
N00000760,250,76,42,75,10,9,0,12,26
N00000761,421,156,65,81,3,16,2,47,51
N00000762,222,88,40,42,2,14,1,18,17
N00000763,410,180,57,66,19,14,0,58,16
N00000764,278,135,53,41,4,13,3,12,17
N00000765,413,183,58,68,2,12,3,55,32
N00000766,776,215,215,151,19,69,1,59,47
N00000767,312,55,93,84,20,12,2,35,11
N00000768,276,27,98,59,7,29,2,33,21
N00000769,393,117,112,66,6,53,0,29,10
N00000770,374,116,130,75,3,18,0,21,11
N00000771,233,61,49,61,4,17,3,26,12
N00000772,456,111,112,121,13,48,4,30,17
N00000773,420,138,69,109,8,31,5,31,29
N00000774,1023,413,120,217,7,81,7,95,83
N00000775,296,27,78,108,13,22,0,34,14
N00000776,327,224,29,28,3,7,1,22,13
N00000777,912,84,400,164,13,105,4,98,44
N00000778,432,116,143,50,5,54,3,39,22
N00000779,564,109,199,44,11,73,5,98,25
N00000780,531,54,226,91,9,62,4,63,22
N00000781,508,51,166,96,10,78,4,89,14
N00000782,526,20,294,58,9,78,1,43,23
N00000783,565,243,191,40,2,38,0,37,14
N00000784,437,109,204,33,0,47,0,33,11
N00000785,332,42,181,41,1,30,3,28,6
N00000786,384,15,242,38,3,50,0,23,13
N00000787,437,103,204,26,0,41,14,38,11
N00000788,427,213,87,26,0,40,8,28,25
N00000789,997,598,124,96,14,37,14,44,70
N00000790,530,255,90,55,12,27,2,63,26
N00000791,347,184,24,64,4,20,2,32,17
N00000792,399,67,106,86,19,55,3,48,15
N00000793,451,269,49,60,3,36,0,16,18
N00000794,467,186,109,60,7,38,0,40,27
N00000795,539,136,197,93,3,57,0,18,35
N00000796,351,208,66,26,1,13,0,24,13
N00000797,349,113,60,50,7,51,5,39,24
N00000798,527,215,152,61,6,37,11,28,17
N00000799,475,32,188,146,1,44,0,43,21
N00000800,428,95,137,75,11,61,3,28,18
N00000801,529,41,157,130,31,85,2,48,35
N00000802,272,41,85,47,1,61,3,25,9
N00000803,398,59,153,69,8,50,7,34,18
N00000804,422,23,179,93,3,46,4,55,19
N00000805,383,51,145,83,5,49,2,31,17
N00000806,341,118,114,31,2,38,2,14,22
N00000807,521,178,193,33,1,41,0,49,26
