health..sa_id,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
N00000820,375,182,109,50,29,5
N00000821,269,85,104,65,13,2
N00000822,209,85,55,51,12,6
N00000823,365,177,113,60,12,3
N00000824,253,100,85,49,16,3
N00000855,169,64,70,23,9,3
N00000856,182,93,62,24,3,0
N00000857,386,216,101,56,10,3
N00000858,239,107,84,37,9,2
N00000859,287,159,89,35,4,0
N00000860,437,243,123,56,10,5
N00000861,303,172,92,32,5,2
N00000862,876,435,291,120,22,8
N00000863,294,138,103,40,9,4
N00000864,305,159,101,37,8,0
N00000865,358,180,125,43,6,4
N00000866,342,175,109,38,17,3
N00000867,288,146,98,35,9,0
N00000868,297,145,115,27,7,3
N00000869,186,68,60,36,20,2
N00000870,394,157,160,61,15,1
N00000871,340,148,109,59,21,3
N00000872,256,115,81,41,11,8
N00000873,322,151,81,52,28,10
N00000874,533,239,157,83,41,13
N00000875,284,118,77,46,31,12
N00000876,212,60,59,62,27,4
N00000877,357,138,100,78,30,11
N00000878,234,71,68,57,30,8
N00000879,1015,475,280,153,81,26
N00000880,315,124,99,55,31,6
N00000881,296,116,76,57,31,16
N00000882,253,84,68,68,23,10
N00000883,264,84,76,61,35,8
N00000884,205,58,58,53,22,14
N00000885,618,235,222,118,36,7
N00000886,253,122,83,40,6,2
N00000887,308,158,85,44,15,6
N00000888,308,162,102,28,11,5
N00000889,259,159,68,22,7,3
N00000890,339,167,112,44,16,0
N00000891,346,149,128,48,15,6
N00000892,318,150,120,31,14,3
N00000893,284,152,101,20,9,2
N00000894,263,139,93,24,6,1
N00000895,272,128,106,26,11,1
N00000896,265,137,85,37,1,5
N00000897,300,164,97,32,5,2
N00000898,307,177,86,36,5,3
N00000899,306,133,86,66,19,2
N00000900,216,71,87,44,11,3
N00000901,313,149,116,35,10,3
N00000902,294,144,115,30,5,0
N00000903,206,78,89,28,10,1
N00000904,446,223,148,50,20,5
N00000905,325,142,120,46,12,5
N00000957,555,345,141,58,8,3
N00000958,294,130,95,61,7,1
N00000959,476,213,166,84,11,2
N00000960,515,310,146,47,9,3
N00000961,311,151,104,47,7,2
N00000962,338,147,88,72,21,10
N00000963,252,101,96,42,10,3
N00000964,297,127,110,48,12,0
N00000965,300,131,110,41,12,6
N00000966,331,152,131,33,15,0
N00000967,378,165,125,59,21,8
N00000968,255,137,85,30,3,0
N00000969,193,71,67,39,12,4
N00000970,486,213,149,80,35,9
N00000971,261,80,94,64,15,8
N00000972,317,120,101,63,26,7
N00000973,331,149,130,39,10,3
N00000974,275,89,89,56,37,4
N00000991,269,78,89,61,37,4
N00000992,462,183,161,91,20,7
N00000993,236,90,84,42,13,7
N00000994,928,362,308,191,57,10
N00000995,195,91,57,34,12,1
N00000996,383,196,129,46,7,5
N00000997,271,162,82,23,4,0
N00000998,304,155,98,42,7,2
N00000999,227,91,80,31,19,6
N00001000,307,145,106,41,12,3
N00001001,296,116,107,54,15,4
