health..sa_id,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
S00094606,168,93,53,17,4,1
S00094678,54,19,16,16,2,1
S00094679,137,68,40,20,7,2
S00094164,106,49,29,21,5,2
S00094165,99,45,32,15,5,2
S00094170,102,55,31,12,3,1
S00094171,77,40,19,13,5,0
S00094735,151,46,57,30,14,4
S00094159,78,33,20,14,8,3
S00094160,71,26,26,15,3,1
S00094161,62,20,21,12,9,0
S00094167,101,49,29,15,6,2
S00094168,129,64,40,19,5,1
S00094169,51,20,18,11,2,0
S00094605,101,57,34,8,2,0
S00094607,65,13,17,20,9,6
S00094156,143,83,38,17,1,4
S00094157,205,114,55,21,12,3
S00094158,157,83,47,23,4,0
S00094190,52,22,17,11,2,0
S00094733,52,23,20,4,5,0
S00094734,143,71,49,17,6,0
S00094032,107,52,35,18,2,0
S00094162,99,42,35,17,4,1
S00094163,161,86,48,24,3,0
S00094166,126,63,42,17,4,0
S00094736,128,56,37,24,7,4
S00094243,60,18,17,23,2,0
S00094244,113,68,35,9,1,0
S00094245,69,17,25,20,5,2
S00094746,89,44,27,11,5,2
S00094747,61,17,22,12,10,0
S00094748,78,25,26,19,5,3
S00094237,136,54,48,25,6,3
S00094238,82,31,26,22,2,1
S00094239,127,67,43,13,4,0
S00094240,105,32,42,24,6,1
S00094241,76,35,22,16,3,0
S00094242,101,38,42,16,5,0
S00094619,113,47,34,19,11,2
S00094217,84,47,21,13,2,1
S00094218,99,48,38,9,3,1
S00094219,108,61,35,9,3,0
S00094220,106,63,32,10,1,0
S00094221,125,54,45,21,2,3
S00094222,113,59,33,16,4,1
S00094610,105,46,31,17,6,5
S00094611,86,38,32,9,4,3
S00093998,136,83,38,13,2,0
S00094566,61,24,25,9,2,1
S00094569,145,55,48,30,11,1
S00094580,135,79,39,13,3,1
S00094798,85,30,33,17,5,0
S00094799,89,39,22,19,8,1
S00094235,120,54,40,18,6,2
S00094236,114,36,38,28,12,0
S00094616,62,31,23,5,2,1
S00094617,51,22,21,6,2,0
S00094742,96,35,33,13,12,3
S00094233,59,17,16,17,6,3
S00094234,214,120,56,29,7,2
S00094740,77,30,30,11,6,0
S00094741,52,22,16,9,4,1
S00094743,120,66,38,9,7,0
S00094745,73,17,19,22,11,4
S00094227,65,19,22,21,1,2
S00094228,94,29,31,26,5,3
S00094229,83,32,27,20,4,0
S00094230,88,46,25,9,5,3
S00094231,82,28,36,8,7,3
S00094232,54,15,21,13,4,1
S00094744,77,23,26,22,6,0
S00094223,126,52,40,25,6,3
S00094224,90,48,25,13,4,0
S00094225,126,41,47,28,9,1
S00094226,93,45,25,15,6,2
S00094613,56,22,13,15,3,3
S00094737,110,31,42,19,13,5
S00094203,60,15,17,17,7,4
S00094204,101,55,29,14,2,1
S00094205,115,59,26,17,11,2
S00094206,108,41,41,12,10,4
S00094207,146,88,37,16,4,1
S00094208,80,37,27,13,2,1
S00094209,130,67,37,17,5,4
S00094210,135,67,45,19,2,2
S00094211,82,47,23,9,3,0
S00094212,110,64,26,8,11,1
S00094213,52,5,10,29,5,3
S00094214,128,55,53,16,3,1
S00094215,67,24,21,18,4,0
S00094216,133,57,50,16,10,0
S00094738,50,29,13,6,1,1
S00094739,132,50,48,23,7,4
S00093999,104,41,34,16,13,0
S00094000,72,31,28,10,2,1
S00094001,50,14,19,11,6,0
S00094002,55,17,20,13,3,2
S00094003,64,30,18,8,7,1
S00094004,87,39,29,14,2,3
S00094005,96,27,41,22,5,1
S00094006,130,62,48,11,8,1
S00094007,119,61,39,16,3,0
S00094008,177,94,46,22,12,3
S00094009,59,24,23,7,3,2
S00094010,51,28,13,7,1,2
S00094026,92,51,28,10,2,1
S00094255,128,64,31,25,8,0
S00094260,87,45,32,8,2,0
S00094612,78,38,25,13,1,1
S00094614,76,44,26,5,0,1
S00094615,155,107,40,6,0,2
S00094618,118,49,41,25,3,0
S00094256,93,35,25,26,5,2
S00094257,130,63,36,20,10,1
S00094258,109,58,27,14,8,2
S00094259,130,51,32,32,10,5
