ethn..sa_id,ethn..total_persons,ethn..ethnic_group_e_s_w_white_unit_persons,ethn..ethnic_group_e_s_w_white_gypsy_or_irish_traveller_unit_persons,ethn..ethnic_group_e_s_w_mixed_multiple_ethnic_group_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_indian_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_pakistani_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_bangladeshi_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_chinese_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_other_asian_unit_persons,ethn..ethnic_group_e_s_w_black_african_caribbean_black_british_unit_persons,ethn..ethnic_group_e_s_w_other_ethnic_group_any_other_ethnic_group_unit_persons,ethn..white_or_white_british,ethn..black_or_black_british,ethn..asian_or_asian_british,ethn..mixed_multiple_ethnicity,ethn..other_ethnicity
S00094225,126,125,0,0,0,0,0,1,0,0,0,125,0,1,0,0
S00094226,93,93,0,0,0,0,0,0,0,0,0,93,0,0,0,0
S00094613,56,56,0,0,0,0,0,0,0,0,0,56,0,0,0,0
S00094737,110,109,0,1,0,0,0,0,0,0,0,109,0,0,1,0
S00094203,60,60,0,0,0,0,0,0,0,0,0,60,0,0,0,0
S00094204,101,101,0,0,0,0,0,0,0,0,0,101,0,0,0,0
S00094205,115,112,0,1,0,0,0,0,1,0,1,112,0,1,1,1
S00094206,108,108,0,0,0,0,0,0,0,0,0,108,0,0,0,0
S00094207,146,146,0,0,0,0,0,0,0,0,0,146,0,0,0,0
S00094208,80,80,0,0,0,0,0,0,0,0,0,80,0,0,0,0
S00094209,130,130,0,0,0,0,0,0,0,0,0,130,0,0,0,0
S00094210,135,134,0,0,0,0,0,1,0,0,0,134,0,1,0,0
S00094211,82,80,0,1,0,0,0,0,1,0,0,80,0,1,1,0
S00094212,110,110,0,0,0,0,0,0,0,0,0,110,0,0,0,0
S00094213,52,52,0,0,0,0,0,0,0,0,0,52,0,0,0,0
S00094214,128,128,0,0,0,0,0,0,0,0,0,128,0,0,0,0
S00094215,67,67,0,0,0,0,0,0,0,0,0,67,0,0,0,0
S00094216,133,133,0,0,0,0,0,0,0,0,0,133,0,0,0,0
S00094738,50,50,0,0,0,0,0,0,0,0,0,50,0,0,0,0
