rel..sa_id,rel..total_persons,rel..christian_church_of_scotland,rel..christian_roman_catholic,rel..christian_other_christian,rel..buddhist,rel..hindu,rel..jewish,rel..muslim,rel..sikh,rel..other_religion,rel..no_religion,rel..religion_not_stated
S00094197,89,53,0,0,0,0,0,0,0,0,34,2
S00094198,126,68,12,3,0,0,0,0,0,0,30,13
S00094199,71,43,3,5,0,0,0,0,0,0,15,5
S00094200,173,88,5,15,0,0,0,0,0,0,51,14
S00094201,111,45,14,7,0,0,0,0,0,0,38,7
S00094202,149,64,6,6,0,0,0,1,0,0,53,19
S00094609,65,28,9,5,0,0,0,0,0,0,20,3
S00094191,86,34,7,8,0,0,0,0,0,0,23,14
S00094192,98,71,3,3,0,0,0,0,0,1,18,2
S00094193,162,88,12,16,1,0,0,0,0,0,39,6
S00094194,147,82,14,6,0,0,0,0,0,0,31,14
S00094195,91,56,1,6,0,0,0,0,0,0,20,8
S00094196,114,55,5,4,0,0,0,0,0,1,45,4
S00094608,148,84,0,11,0,0,0,0,0,0,41,12
S00094035,96,68,4,7,0,0,0,0,0,0,10,7
S00094036,67,25,4,8,0,0,0,0,0,0,16,14
S00094040,76,43,3,4,0,0,0,0,0,0,19,7
S00094041,111,66,6,6,1,0,0,0,0,1,17,14
S00094042,92,42,3,10,0,0,0,0,0,2,22,13
S00094043,97,40,5,5,0,0,0,0,0,1,43,3
S00094100,163,69,7,8,0,0,0,0,0,5,68,6
S00094037,107,44,7,16,0,0,0,0,0,0,32,8
S00094038,104,59,2,16,0,0,0,0,0,0,24,3
S00094039,84,44,4,5,1,0,0,0,0,0,26,4
S00094565,78,46,3,5,0,0,0,0,0,0,19,5
S00094675,118,63,2,4,0,0,0,2,0,2,34,11
S00094677,72,44,7,2,0,0,0,0,0,2,13,4
S00094695,128,80,5,7,0,0,0,0,0,1,30,5
S00094696,87,52,6,6,0,0,0,0,0,0,19,4
S00094033,117,48,11,1,0,0,0,0,0,1,42,14
S00094034,116,60,14,6,0,0,0,0,0,0,29,7
S00094671,84,54,2,9,0,0,0,0,0,0,13,6
S00094672,88,56,3,4,0,0,0,0,0,0,11,14
S00094673,109,79,5,9,0,0,0,0,0,0,13,3
S00094674,153,76,9,21,2,0,0,1,0,0,37,7
S00094693,87,55,5,2,0,0,0,0,0,0,14,11
S00094694,113,63,4,7,0,0,0,0,0,1,32,6
S00094803,119,92,3,3,0,0,0,0,0,0,19,2
S00094662,73,43,6,2,0,0,0,0,0,0,16,6
S00094664,165,101,9,3,0,0,0,1,0,0,31,20
S00094691,113,64,10,19,0,0,0,0,0,0,9,11
S00094692,57,33,2,0,0,0,0,0,0,0,20,2
S00094802,97,52,3,6,0,0,0,0,0,0,28,8
S00094176,136,78,6,10,0,0,0,0,0,1,33,8
