ethn..sa_id,ethn..total_persons,ethn..ethnic_group_e_s_w_white_unit_persons,ethn..ethnic_group_e_s_w_white_gypsy_or_irish_traveller_unit_persons,ethn..ethnic_group_e_s_w_mixed_multiple_ethnic_group_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_indian_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_pakistani_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_bangladeshi_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_chinese_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_other_asian_unit_persons,ethn..ethnic_group_e_s_w_black_african_caribbean_black_british_unit_persons,ethn..ethnic_group_e_s_w_other_ethnic_group_any_other_ethnic_group_unit_persons,ethn..white_or_white_british,ethn..black_or_black_british,ethn..asian_or_asian_british,ethn..mixed_multiple_ethnicity,ethn..other_ethnicity
S00121051,69,67,0,2,0,0,0,0,0,0,0,67,0,0,2,0
S00121052,115,115,0,0,0,0,0,0,0,0,0,115,0,0,0,0
S00121053,120,118,0,2,0,0,0,0,0,0,0,118,0,0,2,0
S00121054,60,58,0,1,0,0,0,0,0,0,1,58,0,0,1,1
S00121055,80,80,0,0,0,0,0,0,0,0,0,80,0,0,0,0
S00121056,137,135,0,1,0,0,0,0,1,0,0,135,0,1,1,0
S00121057,114,114,0,0,0,0,0,0,0,0,0,114,0,0,0,0
S00121058,165,162,0,0,2,0,0,1,0,0,0,162,0,3,0,0
S00121059,182,181,0,0,0,0,0,0,0,1,0,181,1,0,0,0
S00121060,116,116,0,0,0,0,0,0,0,0,0,116,0,0,0,0
S00121061,114,114,0,0,0,0,0,0,0,0,0,114,0,0,0,0
S00121062,66,66,0,0,0,0,0,0,0,0,0,66,0,0,0,0
S00121063,116,116,0,0,0,0,0,0,0,0,0,116,0,0,0,0
S00121064,56,56,0,0,0,0,0,0,0,0,0,56,0,0,0,0
S00121065,93,93,0,0,0,0,0,0,0,0,0,93,0,0,0,0
S00121066,127,127,0,0,0,0,0,0,0,0,0,127,0,0,0,0
S00121067,81,80,1,0,0,0,0,0,0,0,0,81,0,0,0,0
S00121068,112,112,0,0,0,0,0,0,0,0,0,112,0,0,0,0
S00121069,96,96,0,0,0,0,0,0,0,0,0,96,0,0,0,0
S00121070,95,95,0,0,0,0,0,0,0,0,0,95,0,0,0,0
S00121071,101,98,0,3,0,0,0,0,0,0,0,98,0,0,3,0
S00121072,176,175,0,0,1,0,0,0,0,0,0,175,0,1,0,0
S00121073,167,162,0,2,0,0,0,0,2,1,0,162,1,2,2,0
S00121074,88,83,1,0,0,0,0,0,0,4,0,84,4,0,0,0
S00121075,152,150,0,0,1,0,0,0,0,0,1,150,0,1,0,1
S00121076,74,74,0,0,0,0,0,0,0,0,0,74,0,0,0,0
