health..oa_id,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
E00077680,319,170,101,29,16,3
E00077681,363,201,104,44,13,1
E00077682,316,182,88,36,7,3
E00077683,418,234,135,36,11,2
E00077684,337,181,114,37,5,0
E00077685,307,176,71,42,15,3
E00077686,323,154,116,43,8,2
E00077687,350,177,118,42,11,2
E00077688,307,138,110,44,14,1
E00077689,304,151,111,33,6,3
E00077690,255,114,90,43,7,1
E00077691,315,141,108,47,15,4
E00077692,286,119,97,57,11,2
E00077693,370,177,137,36,15,5
E00077694,362,165,105,70,17,5
E00077695,239,96,91,33,19,0
E00077696,254,108,79,45,17,5
E00077697,199,53,77,44,21,4
E00077698,209,68,94,39,7,1
E00077699,280,149,91,35,4,1
E00077700,238,93,81,52,11,1
E00077701,316,166,100,38,9,3
E00077702,202,79,70,34,17,2
E00077703,315,139,117,49,8,2
E00077704,231,80,101,36,12,2
E00077705,209,75,85,39,9,1
E00077706,159,65,69,18,7,0
E00077707,258,145,90,16,7,0
E00077708,398,221,133,31,10,3
E00077709,201,72,74,34,13,8
E00077710,213,72,80,43,16,2
E00077711,187,41,59,70,12,5
E00077712,348,174,107,56,8,3
E00077713,122,43,33,34,11,1
E00077714,290,104,109,54,21,2
E00077715,271,93,93,62,20,3
E00077716,174,58,75,31,9,1
E00077717,255,116,92,33,12,2
E00077719,237,112,83,23,18,1
E00077720,342,101,90,63,49,39
E00077721,192,59,75,45,12,1
E00077722,253,157,70,17,7,2
E00077723,232,116,73,30,11,2
E00077725,215,85,94,29,4,3
E00077726,194,77,71,42,4,0
E00077727,313,144,119,33,11,6
E00077728,348,177,113,42,14,2
E00077729,420,235,132,38,11,4
E00077730,440,235,158,38,7,2
E00077731,326,160,130,28,6,2
E00077732,382,210,126,35,7,4
E00077733,387,217,128,30,11,1
E00077734,392,212,124,43,9,4
E00077735,380,211,127,30,10,2
E00077736,368,193,126,35,10,4
E00077737,254,137,92,16,6,3
E00077738,356,190,126,29,10,1
E00077739,308,144,102,46,13,3
E00077740,305,127,123,39,12,4
E00077741,343,181,122,29,11,0
E00077742,505,226,174,69,22,14
E00077743,513,267,178,47,15,6
E00077744,335,170,115,44,6,0
E00077745,331,175,125,25,6,0
E00077746,345,184,110,35,13,3
E00077747,331,195,103,24,4,5
E00077748,329,162,115,35,11,6
E00077749,324,160,130,24,9,1
E00077750,378,224,116,30,7,1
E00077751,337,166,126,35,10,0
E00077752,376,205,117,34,15,5
E00077753,485,277,164,38,6,0
E00077754,403,230,128,36,5,4
E00077755,319,163,114,31,9,2
E00077756,398,229,110,44,12,3
E00077757,348,203,113,26,5,1
E00077794,316,169,110,22,13,2
E00077796,288,127,118,37,6,0
E00077797,264,140,87,23,12,2
E00077798,333,178,96,41,15,3
E00077801,207,81,75,39,12,0
E00077813,265,116,106,33,9,1
E00086549,259,146,86,17,7,3
E00086550,499,279,162,48,7,3
E00086551,300,115,115,45,20,5
E00086552,430,219,154,37,18,2
E00086553,251,81,75,52,30,13
E00086557,187,52,71,47,11,6
E00086558,225,115,87,14,5,4
E00086559,276,82,86,79,25,4
E00086560,229,91,76,42,16,4
E00086561,316,162,117,27,8,2
E00086563,242,87,93,37,18,7
E00086564,328,162,115,36,11,4
E00086565,312,153,98,43,14,4
E00086568,183,98,69,15,0,1
E00086570,313,190,109,12,1,1
E00086571,435,213,125,53,30,14
E00086572,362,215,118,23,3,3
E00086575,189,83,72,26,7,1
E00086576,407,255,121,21,6,4
E00086577,401,200,169,28,4,0
E00086578,194,85,76,25,8,0
E00086579,442,262,147,25,5,3
E00086580,484,277,161,32,10,4
E00086581,249,135,82,26,4,2
E00086582,364,159,133,51,19,2
E00086583,371,159,118,56,29,9
E00086584,347,122,119,53,39,14
E00086586,247,137,96,11,1,2
E00086587,402,207,131,50,12,2
E00086588,372,179,140,38,15,0
