house..oa_id,house..proportion_of_oa_within_co_m_boundary,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
S00109835,0.193485564058682,59,13,13,8,11,8,1,5
S00109836,0.86773911453582298,69,16,12,30,2,5,1,3
S00109837,0.79234831783051596,66,15,21,23,4,3,0,0
S00109838,0.999999999990557,41,6,16,12,3,3,0,1
S00109839,0.99999999999894496,40,12,11,8,5,0,1,3
S00109840,0.99999999999941203,49,10,7,16,9,6,0,1
S00109841,0.99999999999006695,46,3,12,17,9,4,0,1
S00109842,0.99999999999187805,41,3,12,6,11,6,0,3
S00109843,1.0000000000020499,42,6,9,13,5,4,1,4
S00109844,1.0000000000009199,45,7,8,16,6,2,1,5
S00109845,1.0000000000010201,47,9,16,14,4,2,0,2
S00109846,1.00000000001866,39,6,17,9,1,4,0,2
S00109847,0.99999999999948697,39,6,11,12,5,4,0,1
S00109848,1.00000000000252,59,9,16,8,9,15,0,2
S00109849,0.99999999999124201,47,8,13,17,4,2,0,3
S00109866,0.13384236586211501,70,7,20,19,9,8,1,6
S00109867,1.0000000000048299,37,11,10,11,4,0,0,1
S00109868,1.00000000000449,47,3,9,18,11,2,2,2
S00109869,1.000000000003,59,22,10,16,6,1,0,4
S00109870,0.30565580723089703,73,10,13,31,4,4,0,11
S00109871,0.267258688343745,40,2,9,6,9,11,1,2
S00109872,0.198889415866149,39,11,3,13,4,3,0,5
S00109873,0.30408465796606898,48,1,12,12,10,11,0,2
S00109881,0.59870731622609596,54,8,12,20,7,2,2,3
S00109882,0.99999999999985001,68,23,17,15,9,1,0,3
S00109883,0.56459918653413399,39,5,4,15,7,4,1,3
S00109884,0.114902964334649,56,12,12,21,8,0,1,2
S00109885,0.49526869431355303,50,11,5,23,9,1,0,1
S00109886,0.99999999958794406,51,9,14,12,10,3,2,1
S00109887,0.99999999999925304,39,10,4,16,7,0,0,2
S00109888,1.0000000000031699,54,8,10,15,8,8,2,3
S00109889,1.0000000000178499,77,13,26,22,5,6,2,3
S00109890,1.0000000000004201,46,5,8,12,7,7,1,6
S00109891,0.99999999999754596,60,4,15,15,14,6,0,6
S00109892,0.99999999999815203,59,6,11,22,14,1,1,4
S00109893,1.0000000000031399,52,1,12,21,13,3,0,2
S00109894,1.00000000000133,43,4,15,14,6,3,0,1
S00109895,1.0000000000015501,46,4,19,8,6,3,2,4
S00109896,0.99999999999904599,52,10,6,21,6,5,0,4
S00109897,1.0000000000028699,54,6,10,17,11,8,0,2
S00109898,0.99999999999877098,48,7,1,21,9,4,0,6
S00109899,1.00000000000053,45,11,5,20,3,2,2,2
S00109900,1.0000000000009399,41,3,4,25,6,0,0,3
S00109901,1.0000000000023099,62,11,3,21,16,9,1,1
S00109902,0.99999999999747402,56,17,5,20,6,2,2,4
S00109903,0.99999999999772804,52,10,6,19,10,3,0,4
S00109904,0.99999999991876698,39,9,7,13,6,0,2,2
S00109905,0.99999999999601297,51,5,9,21,9,2,1,4
S00109906,1.0000000000018401,43,4,11,21,6,0,0,1
S00109907,0.99999999999888201,55,9,13,18,5,4,1,5
S00109908,0.99999999998802402,53,6,7,14,8,9,0,9
S00109909,0.99999999999726197,58,4,19,9,9,13,0,4
S00109910,0.99999999999617295,55,4,29,4,7,7,0,4
S00109911,0.9999999999968,35,8,4,10,6,3,0,4
S00110250,1.00000000000392,43,23,3,16,0,1,0,0
S00110251,1.0000000000492799,71,7,14,21,12,7,4,6
S00110252,0.99999999999851696,60,9,26,15,4,4,0,2
S00110253,0.90823703286145596,39,5,6,16,8,1,0,3
S00110254,0.75819877237964395,51,2,9,16,12,5,3,4
S00110255,1.0000000000031799,60,3,16,9,9,17,0,6
S00110256,0.99999999998537603,69,4,5,22,18,13,1,6
S00110257,0.99999999999477596,51,3,9,9,13,11,0,6
S00110258,1.0000000000053,39,6,6,9,6,4,2,6
S00110259,1.0000000000028699,39,2,11,3,7,14,1,1
S00110260,0.99999999999878197,40,3,8,6,7,10,0,6
S00110261,0.99999999999446199,63,12,8,19,7,10,2,5
S00110262,0.99999999999204503,40,5,5,7,15,5,1,2
S00110263,0.99999999999595501,68,14,13,25,5,6,1,4
S00110264,0.99999999999349498,70,16,27,15,4,5,1,2
S00110265,0.99999999995761701,55,6,21,16,10,1,1,0
S00110266,0.99999999999148104,57,6,16,23,5,4,1,2
S00110267,0.99999999999585698,70,16,22,17,5,6,1,3
S00110268,0.99999999998836298,47,3,13,15,4,7,1,4
S00110269,0.99999999999507805,39,6,17,6,1,8,1,0
S00110270,0.99999999999470601,65,12,6,33,9,3,1,1
S00110271,0.99999999997618005,49,7,2,25,11,0,1,3
S00110272,1.0000000005194301,50,18,7,13,4,3,1,4
S00110273,1.00000000018779,73,14,12,24,5,11,0,7
S00110274,1.0000000000089,50,5,17,13,8,3,0,4
S00110275,1.00000000000108,30,7,7,6,6,2,1,1
S00110276,0.99324590351803599,73,6,12,24,17,8,1,5
S00110277,0.99999999999795097,46,3,7,8,9,13,0,6
S00110278,0.67562763135109305,59,14,8,23,9,2,1,2
S00110279,1.00000000000139,50,17,12,9,8,3,0,1
