ethn..oa_id,ethn..proportion_of_oa_within_co_m_boundary,ethn..total_persons,ethn..white,ethn..white_gypsy_or_irish_traveller,ethn..mixed_multiple_ethnic_group,ethn..asian_asian_british_indian,ethn..asian_asian_british_pakistani,ethn..asian_asian_british_bangladeshi,ethn..asian_asian_british_chinese,ethn..asian_asian_british_other_asian,ethn..black_african_caribbean_black_british,ethn..other_ethnic_group_any_other_ethnic_group,ethn..white_or_white_british,ethn..black_or_black_british,ethn..asian_or_asian_british,ethn..mixed_multiple_ethnicity,ethn..other_ethnicity
S00109842,0.99999999999187805,101,101,0,0,0,0,0,0,0,0,0,101,0,0,0,0
S00109843,1.0000000000020499,84,84,0,0,0,0,0,0,0,0,0,84,0,0,0,0
S00109844,1.0000000000009199,97,94,0,0,0,0,0,0,0,3,0,94,3,0,0,0
S00109845,1.0000000000010201,79,78,0,0,0,0,0,1,0,0,0,78,0,1,0,0
S00109846,1.00000000001866,61,59,0,0,0,2,0,0,0,0,0,59,0,2,0,0
S00109847,0.99999999999948697,69,66,0,0,0,0,0,0,0,3,0,66,3,0,0,0
S00109848,1.00000000000252,110,108,0,1,0,0,0,0,0,1,0,108,1,0,1,0
S00109849,0.99999999999124201,87,86,0,1,0,0,0,0,0,0,0,86,0,0,1,0
S00109866,0.13384236586211501,148,147,0,0,0,0,0,0,0,1,0,147,1,0,0,0
S00109867,1.0000000000048299,85,84,0,0,0,0,0,0,0,1,0,84,1,0,0,0
S00109868,1.00000000000449,114,112,0,0,2,0,0,0,0,0,0,112,0,2,0,0
S00109869,1.000000000003,98,97,0,1,0,0,0,0,0,0,0,97,0,0,1,0
S00109870,0.30565580723089703,141,139,0,0,0,0,0,0,2,0,0,139,0,2,0,0
S00109871,0.267258688343745,95,91,0,0,4,0,0,0,0,0,0,91,0,4,0,0
S00109872,0.198889415866149,78,77,0,0,0,0,0,0,0,1,0,77,1,0,0,0
S00109873,0.30408465796606898,115,114,0,1,0,0,0,0,0,0,0,114,0,0,1,0
S00109881,0.59870731622609596,110,107,0,0,0,0,0,1,1,1,0,107,1,2,0,0
S00109882,0.99999999999985001,116,115,0,0,0,0,0,1,0,0,0,115,0,1,0,0
S00109883,0.56459918653413399,92,92,0,0,0,0,0,0,0,0,0,92,0,0,0,0
S00109884,0.114902964334649,114,110,0,0,1,0,0,1,1,1,0,110,1,3,0,0
S00109885,0.49526869431355303,119,119,0,0,0,0,0,0,0,0,0,119,0,0,0,0
S00109886,0.99999999958794406,108,108,0,0,0,0,0,0,0,0,0,108,0,0,0,0
S00109887,0.99999999999925304,84,82,0,0,0,0,0,2,0,0,0,82,0,2,0,0
S00109888,1.0000000000031699,114,111,0,0,0,0,0,0,0,3,0,111,3,0,0,0
