rel..oa_id,rel..proportion_of_oa_within_co_m_boundary,rel..total_persons,rel..christian_church_of_scotland,rel..christian_roman_catholic,rel..christian_other_christian,rel..buddhist,rel..hindu,rel..jewish,rel..muslim,rel..sikh,rel..other_religion,rel..no_religion,rel..religion_not_stated
S00110293,0.99999999999651401,156,51,13,3,0,0,0,0,0,0,77,12
S00110294,0.99999999999920997,133,49,10,6,0,0,0,5,0,0,59,4
S00110295,0.99999999999727096,132,45,15,0,0,0,0,0,0,0,64,8
S00110296,1.00000000001022,122,35,11,0,1,0,0,0,0,0,67,8
S00110297,0.99999999999621603,97,27,3,0,0,0,0,0,0,2,61,4
S00110298,1.00000000000219,167,41,19,5,0,2,0,0,0,1,91,8
S00110299,1.00000000000283,138,47,6,0,0,0,0,0,0,1,76,8
S00110300,0.99999999999870404,148,40,11,5,0,0,0,0,0,0,85,7
S00110301,0.999999999998329,120,64,16,2,0,0,0,0,0,0,26,12
S00110302,1.0000000000365701,125,41,14,1,0,0,0,0,0,1,64,4
S00110303,0.99999999996906896,98,31,5,0,0,0,0,0,0,0,56,6
S00110304,1.0000000000140301,102,25,15,0,0,0,0,0,0,0,49,13
S00110305,1.00000000000634,126,34,21,5,0,0,0,0,0,0,36,30
S00110306,1.0000000000151399,148,45,13,4,0,0,0,0,0,1,75,10
S00110307,0.99999999999622402,88,24,8,2,0,0,0,0,0,0,51,3
S00110308,1.0000000000015801,141,34,13,4,0,0,0,0,0,0,79,11
S00110309,1.0000000003107199,124,22,9,0,0,0,0,0,0,0,84,9
S00110310,0.99999999999462597,91,19,11,1,1,2,0,2,0,0,53,2
S00110311,0.999999999999168,68,15,9,3,2,0,0,0,0,0,34,5
S00110312,0.99999999999817502,128,18,8,1,0,0,0,0,5,0,85,11
S00110313,0.999999999971114,150,53,14,5,0,0,0,0,0,0,64,14
S00110314,1.00000000000034,152,42,23,9,0,0,0,0,0,0,61,17
S00110315,1.0000000000374001,75,23,13,1,1,0,0,0,0,0,36,1
S00110316,1.00000000000078,148,23,22,1,0,0,0,0,0,2,95,5
S00110317,0.99999999996462996,137,30,25,1,2,0,0,0,0,0,75,4
S00110318,1.0000000000032401,128,39,23,3,0,0,0,0,0,0,52,11
S00110319,0.99999999999978295,96,49,10,0,0,0,0,0,0,0,36,1
S00110320,0.99999999998125699,171,35,38,11,0,0,0,0,0,0,80,7
S00110321,1.0000000000223299,92,23,10,2,0,0,0,0,0,0,46,11
S00110322,1.0000000000840601,101,32,23,4,0,0,0,0,2,0,35,5
S00110323,0.99999999998519495,128,33,41,4,1,0,0,0,0,0,39,10
S00110324,1.0000000000284499,140,25,42,1,0,0,0,0,1,2,61,8
S00110325,0.99999999999809297,119,25,30,2,0,0,0,0,0,0,54,8
S00110326,1.000000000045,123,41,32,0,0,0,0,0,0,0,47,3
S00110327,0.99999999996246502,110,33,24,2,0,0,0,0,0,2,45,4
S00110328,1.0000000000109801,55,19,9,0,0,0,0,0,0,0,18,9
S00110329,1.00000000000413,62,21,11,1,0,0,0,0,0,0,24,5
