health..oa_id,health..proportion_of_oa_within_co_m_boundary,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
S00109808,0.99999999999740197,88,38,36,12,2,0
S00109809,0.99999999998015399,132,60,41,26,5,0
S00109810,0.99999999975167697,151,57,51,31,11,1
S00109811,1.00000000000194,99,40,44,10,3,2
S00109812,0.999999999999719,191,84,62,33,10,2
S00109813,0.99999999999938305,149,58,41,31,13,6
S00109814,1.0000000000396601,107,45,28,24,5,5
S00109815,1.0000000000092499,68,9,23,22,11,3
S00109816,0.99999999999610101,116,45,46,18,6,1
S00109817,0.99999999998197897,139,57,55,22,4,1
S00109818,1.00000000000224,158,79,42,26,9,2
S00109819,1.00000000024064,90,47,23,14,4,2
S00109820,0.99999999999961797,106,43,42,12,5,4
S00109834,0.224356746011977,144,59,42,29,9,5
S00109835,0.193485564058682,117,57,33,18,4,5
S00109836,0.86773911453582298,121,46,37,24,10,4
S00109837,0.79234831783051596,107,31,39,23,14,0
S00109838,0.999999999990557,70,23,25,14,7,1
S00109839,0.99999999999894496,73,26,31,12,2,2
S00109840,0.99999999999941203,106,47,39,9,7,4
S00109841,0.99999999999006695,102,50,28,17,7,0
S00109842,0.99999999999187805,101,54,23,15,7,2
S00109843,1.0000000000020499,84,42,26,11,5,0
S00109844,1.0000000000009199,97,44,26,21,5,1
S00109845,1.0000000000010201,79,24,27,15,9,4
S00109846,1.00000000001866,61,28,19,10,3,1
S00109847,0.99999999999948697,69,30,18,11,8,2
S00109848,1.00000000000252,110,37,35,26,8,4
S00109849,0.99999999999124201,87,21,28,22,9,7
S00109866,0.13384236586211501,148,63,48,22,10,5
S00109867,1.0000000000048299,85,24,34,22,5,0
S00109868,1.00000000000449,114,63,27,17,6,1
S00109869,1.000000000003,98,37,25,20,14,2
S00109870,0.30565580723089703,141,33,45,36,21,6
S00109871,0.267258688343745,95,48,25,20,2,0
S00109872,0.198889415866149,78,29,25,12,10,2
S00109873,0.30408465796606898,115,53,43,13,4,2
S00109881,0.59870731622609596,110,53,31,18,6,2
S00109882,0.99999999999985001,116,37,36,30,9,4
S00109883,0.56459918653413399,92,36,36,14,6,0
S00109884,0.114902964334649,114,59,32,17,5,1
S00109885,0.49526869431355303,119,58,40,19,2,0
S00109886,0.99999999958794406,108,52,32,17,6,1
S00109887,0.99999999999925304,84,31,36,14,3,0
S00109888,1.0000000000031699,114,52,35,21,5,1
S00109889,1.0000000000178499,143,52,44,35,10,2
S00109890,1.0000000000004201,128,43,50,23,12,0
S00109891,0.99999999999754596,134,55,36,25,14,4
S00109892,0.99999999999815203,137,74,40,18,5,0
S00109893,1.0000000000031399,120,83,30,5,2,0
S00109894,1.00000000000133,83,35,30,14,3,1
S00109895,1.0000000000015501,93,30,36,19,5,3
S00109896,0.99999999999904599,111,42,35,22,10,2
S00109897,1.0000000000028699,126,58,38,21,7,2
S00109898,0.99999999999877098,123,55,50,12,3,3
S00109899,1.00000000000053,92,40,20,22,8,2
S00109900,1.0000000000009399,97,45,35,16,1,0
S00109901,1.0000000000023099,150,81,42,21,5,1
S00109902,0.99999999999747402,115,33,44,30,7,1
S00109903,0.99999999999772804,116,45,35,29,6,1
S00109904,0.99999999991876698,75,38,16,13,7,1
S00109905,0.99999999999601297,115,47,36,23,7,2
S00109906,1.0000000000018401,86,38,27,17,3,1
S00109907,0.99999999999888201,109,50,32,13,14,0
S00109908,0.99999999998802402,117,47,41,21,6,2
S00109909,0.99999999999726197,119,62,34,18,5,0
S00109910,0.99999999999617295,92,45,33,13,1,0
S00109911,0.9999999999968,76,38,19,12,5,2
S00110250,1.00000000000392,62,3,21,25,13,0
S00110251,1.0000000000492799,168,74,56,23,12,3
S00110252,0.99999999999851696,97,33,50,12,2,0
