rel..sa_id,rel..total_persons,rel..religion_catholic,rel..religion_other_religions,rel..religion_no_religion,rel..religion_religion_not_stated
A048048008,163,134,8,16,5
A048048009,322,269,8,31,14
A048048010,163,135,10,18,0
A048049001,179,125,8,34,12
A048049002,145,98,4,39,4
A048049003,208,172,10,24,2
A048050001,306,240,10,42,14
A048050002,236,131,23,80,2
A048050003,215,130,22,60,3
A048050004,116,54,9,22,31
A048050005,108,56,4,25,23
A048050006,277,202,10,61,4
A048050007,130,103,3,23,1
A048051001,257,225,3,27,2
A048051002,255,200,14,31,10
A048051003,397,348,12,35,2
A048051004,251,213,9,25,4
A048051005,234,195,6,27,6
A048051006,190,164,7,11,8
A048051007,201,168,3,28,2
A048051007,201,168,3,28,2
A048051008,245,218,4,20,3
A048051009,219,184,7,23,5
A048051010,181,163,6,7,5
A048051011,323,268,12,38,5
A048051012,178,145,12,18,3
A048051013,203,165,7,13,18
A048051014,318,283,12,18,5
A048052001,287,245,15,22,5
A048052002,191,169,3,18,1
A048052003,293,268,5,10,10
A048052004,205,176,5,17,7
A048052005,257,239,6,8,4
A048052006,295,269,11,8,7
A048052007,233,200,7,10,16
A048052008,259,226,8,18,7
A048052009,390,357,8,18,7
A048052010,232,215,4,9,4
A048053001,354,299,24,25,6
A048053002,146,114,10,15,7
A048053003,324,251,24,42,7
A048053004,204,133,12,57,2
A048053005,183,144,13,25,1
A048053006,173,133,9,27,4
A048053007,204,160,8,27,9
A048054001,198,74,26,81,17
A048054002,186,80,22,77,7
A048054003,222,195,13,13,1
A048054004,155,68,26,51,10
A048054005,312,160,38,94,20
A048054006,127,85,22,19,1
A048054007,177,103,27,43,4
A048054008,116,63,19,33,1
A048054009,155,72,35,45,3
A048054010,167,71,41,47,8
A048054011,158,70,37,45,6
A048055001,154,76,24,50,4
A048055002,248,117,35,57,39
A048055003,189,93,31,33,32
A048055004,217,84,40,43,50
A048055005,176,69,41,55,11
A048056001,147,57,9,69,12
A048056002,257,80,63,85,29
A048056003,167,97,14,49,7
A048056004,275,100,60,89,26
A048056005,252,79,65,99,9
A048056006,222,75,44,79,24
A048056007,225,69,73,63,20
A048057001,203,83,45,65,10
A048057002,158,57,36,61,4
A048057003,184,68,33,61,22
A048057004,161,76,22,52,11
A048057005,167,67,21,70,9
A048057006,147,63,29,48,7
A048057007,169,60,50,38,21
A048058001,213,89,25,88,11
A048058002,192,104,25,57,6
A048058003,174,82,26,61,5
A048058004,172,74,28,64,6
A048059001,205,126,13,59,7
A048059002,207,60,63,61,23
A048059003,291,97,92,79,23
A048060001,245,95,63,66,21
A048060002,214,96,49,63,6
A048060003,191,89,23,58,21
A048060004,229,101,30,75,23
A048060005,234,104,44,79,7
A048061001,208,91,28,58,31
A048061002,153,76,20,54,3
A048061003,278,107,97,52,22
A048061004,150,48,7,31,64
A048061005,86,44,17,22,3
A048061006,126,60,42,23,1
A048061007,161,80,20,52,9
A048061008,177,106,17,48,6
A048061008,177,106,17,48,6
A048062001,197,97,31,51,18
A048062002,213,89,22,84,18
A048062003,269,138,40,77,14
A048062004,216,151,15,40,10
A048062005,232,150,20,62,0
A048062006,251,149,14,81,7
A048062007,138,74,20,35,9
A048062008,97,38,23,31,5
A048062009,173,62,25,81,5
A048062010,251,121,42,73,15
A048062011,233,132,18,77,6
A048062012,233,185,14,20,14
A048062013,254,194,28,30,2
A048062014,459,382,40,19,18
A048063001,238,199,12,26,1
A048063002,360,313,27,19,1
A048063003,325,279,26,14,6
A048063004,140,128,6,4,2
A048063005,227,173,37,6,11
A048063006,230,199,14,4,13
A048063007,196,173,8,10,5
A048064001,314,277,6,24,7
A048064002,266,240,6,10,10
A048064003,226,190,15,17,4
A048064004/048064005,242,213,6,13,10
A048064006,342,304,11,27,0
A048064007,248,210,15,21,2
A048064008,346,330,4,8,4
A048064009,400,331,26,40,3
A048065001,324,290,9,23,2
A048065002,210,177,7,18,8
A048065003,246,236,4,5,1
A048065004,184,117,18,29,20
A048065005,155,136,5,12,2
A048065006,205,104,19,70,12
A048065007,245,156,11,67,11
A048065008,269,197,10,48,14
A048065009,196,154,12,27,3
A048065010,227,178,10,36,3
A048066001,295,190,31,68,6
A048066002,186,125,20,37,4
A048066003,157,97,14,39,7
A048066004,296,117,48,96,35
A048066005,163,95,15,45,8
A048066006,207,106,48,41,12
A048066007,190,126,16,48,0
A048067001,275,239,12,23,1
A048067002,130,90,16,21,3
A048067003,249,160,39,38,12
A048068001,372,219,44,80,29
A048068002,276,232,9,26,9
A048068003,246,198,14,29,5
A048069001,227,188,16,16,7
A048069002,327,301,10,15,1
A048069003,232,193,14,20,5
A048069004,222,206,4,10,2
A048070001,273,249,4,14,6
A048070002,304,264,24,11,5
A048070003,277,250,7,18,2
A048070004,301,259,25,17,0
A048070005,323,293,14,14,2
A048070006,270,253,8,4,5
A048070007,264,222,7,29,6
A048070008,403,342,16,15,30
A048070009,210,183,7,16,4
A048070010,293,245,14,23,11
A048070011,213,186,11,13,3
A048070012,246,219,4,22,1
A048071001,242,190,11,30,11
A048071002,334,268,29,33,4
A048071003,266,163,24,76,3
A048071004,193,130,11,49,3
A048072001,255,191,14,49,1
A048072002,229,175,20,28,6
A048072003,249,195,11,42,1
A048072004,306,244,8,54,0
A048072005,264,208,21,35,0
A048072006,347,277,25,36,9
A048073001,226,175,18,31,2
A048073002,328,251,43,29,5
A048073002,328,251,43,29,5
A048073003,335,290,19,25,1
A048074001,240,188,21,28,3
A048074002,185,143,16,24,2
A127029001,298,186,40,62,10
A127030001,269,163,49,47,10
A127030002,207,169,10,24,4
A127030003,239,175,34,28,2
A127061001,319,293,6,20,0
A127061002,251,235,9,5,2
A127061003,301,280,1,13,7
A127061004,220,210,5,5,0
A227003001/227003005,106,100,2,2,2
A227003002,226,198,12,12,4
A227003003,304,256,15,31,2
A227003004,303,279,9,14,1
A227003006,279,258,8,11,2
A227007002,177,153,14,9,1
A227047001,254,208,9,23,14
A227064001,258,221,9,21,7
A227064002,204,181,5,18,0
A227064003,375,308,26,23,18
A227087002,171,151,6,12,2
