rel..sa_id,rel..total_persons,rel..religion_catholic,rel..religion_other_religions,rel..religion_no_religion,rel..religion_religion_not_stated
A047095004,225,167,14,38,6
A047095005,340,301,9,9,21
A047095006,168,125,23,19,1
A047095007/047095008,186,146,12,27,1
A047096001,314,215,57,39,3
A047096002,224,184,28,12,0
A047096003,330,240,43,45,2
A047096004,245,198,13,33,1
A047096005,228,181,17,23,7
A047096006,341,255,39,42,5
A047096007,256,174,27,54,1
A047096008,194,161,11,20,2
A047096009,298,238,13,36,11
A047096010,239,180,26,31,2
A047096011,265,214,8,34,9
A047096012,109,76,10,23,0
A047096013,127,108,6,12,1
A047096014,128,111,1,15,1
A047096015,348,245,70,22,11
A047096016,246,198,13,34,1
A047096017,105,57,23,16,9
A047096018,191,155,21,13,2
A047096019,170,140,12,17,1
A047098001,228,146,21,59,2
A047098002,241,199,20,22,0
A047101001,163,136,12,15,0
A047101002,256,222,10,23,1
A047102001,226,191,5,27,3
A047103001,226,209,4,11,2
A047103002/047103005,155,143,6,6,0
A047103003,161,148,5,8,0
A047103004,285,243,13,29,0
A047104001,250,206,10,26,8
A047104002,303,262,10,23,8
A047105001,213,182,1,28,2
A047105002,176,150,15,11,0
A047105003,361,305,25,16,15
A047105004,291,263,13,11,4
A047105005,245,221,9,12,3
A047105006,188,166,9,13,0
A047105007,160,128,7,24,1
A047105008,194,149,19,18,8
A047105009,408,335,31,38,4
A047105010,192,161,10,13,8
A047105011,258,216,29,9,4
A047105012,378,316,28,24,10
A047105013,296,266,9,17,4
A047105014,271,193,30,40,8
A047105015,292,247,18,24,3
A047106001,220,181,8,27,4
A047106002,356,291,11,47,7
A047106003,327,268,20,36,3
A047106004,344,254,26,44,20
A047106005,184,126,22,34,2
A047106006,245,203,16,19,7
A047106007,409,364,22,21,2
A047106008,312,247,19,44,2
A047106009,343,261,37,43,2
A047106010,407,336,19,44,8
A047106011,211,164,21,15,11
A047106012,236,196,15,20,5
A047106013,310,248,26,21,15
A047106014,222,196,9,14,3
A047106015,317,296,8,13,0
A047106016,226,199,5,21,1
A047106017,355,306,19,26,4
A047106018,440,380,14,33,13
A047106019,387,306,19,42,20
A047106020,323,199,29,45,50
A047106021,177,151,6,18,2
A047106022,444,334,37,44,29
A047106023,285,223,27,35,0
A047106024,222,198,11,10,3
A047106025,343,269,29,32,13
A047106026/047106029,226,183,14,29,0
A047106027,212,149,16,35,12
A047106028,236,190,17,23,6
A047107001,234,197,8,23,6
A047107002,313,254,28,28,3
A047107003,292,247,8,31,6
A047107004,337,287,20,26,4
A047107005,510,431,19,55,5
A047107006,254,213,16,23,2
A047107007,179,155,7,13,4
A047107008,323,248,21,34,20
A047107009,240,202,16,21,1
A047107010/047107028,384,336,21,15,12
A047107011,255,192,20,34,9
A047107012,271,229,10,31,1
A047107013,219,197,9,10,3
A047107014,208,161,13,33,1
A047107015,167,126,18,22,1
A047107016,139,95,14,29,1
A047107017,198,119,31,40,8
A047107018,245,207,8,28,2
A047107019,165,114,10,26,15
A047107020,228,160,23,29,16
A047107021,197,140,25,28,4
A047107022,229,164,26,39,0
A047107023,264,237,7,17,3
A047107024,248,220,10,14,4
A047107025,314,280,10,21,3
A047107026,218,178,17,20,3
A047107027,312,258,19,28,7
A047107029,306,235,11,53,7
A047108001,194,155,20,17,2
A047110001,135,110,12,11,2
A047110002,208,169,11,26,2
A047110003,174,148,4,22,0
A047111001,200,153,17,24,6
A047111002,145,107,15,20,3
A047111003,191,78,39,73,1
A047111004,415,388,9,15,3
A047112001,224,170,23,25,6
A047112002,258,194,26,37,1
A047113001,193,163,16,7,7
A047113002,332,239,55,37,1
A047115002,179,97,15,56,11
A047115003,224,199,4,20,1
A047115004,176,161,3,9,3
A047115005,221,205,9,7,0
A047115006,152,139,2,10,1
A047115007,132,117,5,4,6
A047115008,480,365,39,49,27
A047115009,315,247,16,27,25
A047115010,389,297,32,57,3
A047117001,174,116,21,30,7
A047117002,226,198,4,17,7
A047117003,144,129,4,8,3
A047117004,146,133,1,9,3
A047117005,132,90,11,28,3
A047119001/047119005,183,111,26,38,8
A047119002/047119003/047119004,211,163,20,25,3
A047120001,162,140,10,10,2
A047120002,163,137,9,13,4
A047122001,75,50,11,14,0
A047124001,248,236,5,6,1
A047126001,382,328,28,26,0
A047126002/047126003/047126004/047126005,149,121,9,18,1
A047128002,254,227,11,15,1
A047129001,215,199,9,5,2
A047129002,192,162,17,13,0
A047129003,359,277,47,31,4
A047129004,243,223,3,17,0
A047129005,273,249,5,16,3
A047129006,219,180,12,23,4
A047129007,185,155,5,15,10
A047131001,316,290,10,13,3
A047132001,190,157,24,2,7
A047132002,191,170,8,10,3
A047132003,170,150,10,6,4
A047132004,254,242,4,7,1
A047132005,220,183,13,16,8
A047132006,225,161,14,49,1
A047132007,226,188,9,29,0
A047132008,207,157,18,32,0
A047132009,234,206,12,16,0
A047132010,313,250,17,45,1
A047132011,234,194,8,27,5
A047132012,307,245,31,29,2
A047132013,251,200,32,16,3
A047132014,322,272,8,40,2
A047132015,230,164,23,38,5
A047132016,253,197,32,22,2
A047132017,313,259,20,28,6
A047132018,392,327,27,36,2
A047132019,252,200,21,30,1
A047132020,278,222,22,33,1
A047132021,223,187,21,15,0
A047132022,312,241,19,51,1
A047132023,287,213,35,38,1
A047132024,312,245,34,31,2
A047132025,259,172,24,37,26
A047132026,275,227,27,21,0
A047132027,329,271,22,32,4
A047132028,147,118,6,22,1
A047132029,295,215,33,42,5
A047132030,272,222,18,32,0
A047132031,212,187,6,19,0
A047132032,234,197,16,18,3
A047132033,269,199,20,43,7
A047132034,285,245,13,26,1
A047132035,269,217,19,32,1
A047132036,296,226,46,23,1
A047132037,225,184,17,21,3
A047132038,345,242,67,33,3
A047132039,386,275,57,50,4
A047132040,233,177,19,34,3
A047132041,214,155,25,23,11
A047132042,264,221,10,30,3
A047132043,226,193,18,15,0
A047132044,183,146,6,31,0
A047132045,320,278,12,30,0
A047132046,224,167,31,25,1
