house..sa_id,house..total_households,house..one_person_household,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
A047057003,120,29,21,56,9,4,1
A047057004,98,15,13,52,9,5,4
A047058001,50,18,7,19,5,0,1
A047058002,60,15,11,24,3,4,3
A047059001/047059002/047059003,64,28,13,9,10,3,1
A047059004,61,19,8,21,10,2,1
A047060001,110,17,27,56,5,1,4
A047060002,105,19,25,43,6,6,6
A047060003,59,11,12,24,4,5,3
A047060004,84,24,17,34,4,2,3
A047060005,72,16,18,29,5,2,2
A047060006,79,20,9,31,9,4,6
A047060007,62,16,14,18,10,1,3
A047060008,70,18,9,35,5,1,2
A047060009,70,26,12,18,10,1,3
A047060010,64,23,12,16,5,3,5
A047061001,60,25,12,10,8,2,3
A047063001,83,32,12,17,17,3,2
A047063002,107,24,22,45,3,9,4
A047064001,99,26,17,37,10,4,5
A047064002,83,19,19,29,8,2,6
A047064003,106,27,26,37,10,4,2
A047064004,118,22,25,46,10,11,4
A047064005,64,7,16,32,4,3,2
A047064006,68,17,13,22,8,5,3
A047064007,77,9,24,37,4,2,1
A047064008,75,14,21,31,1,4,4
A047064009,104,15,9,71,4,2,3
A047064010,108,8,11,70,8,4,7
A047064011,108,18,10,41,28,3,8
A047064012,132,6,18,92,5,6,5
A047064013,89,13,8,50,8,6,4
A047064014/047064016,81,13,13,47,3,4,1
A047064015,110,19,28,44,11,3,5
A047064017,103,24,16,31,23,4,5
A047064018,97,11,21,46,7,5,7
A047064019,155,11,31,83,20,7,3
A047064020,102,14,17,46,11,11,3
A047064021,103,16,18,57,5,3,4
A047064022,92,9,16,59,5,1,2
A047064023,93,24,16,25,10,4,14
A047064024,90,16,24,33,4,6,7
A047064025,129,16,22,64,8,14,5
A047064026,69,11,18,28,5,1,6
A047064027,68,15,15,24,6,3,5
A047065001,82,7,26,34,8,3,4
A047065002,70,25,13,19,7,4,2
A047067001,79,9,18,41,5,3,3
A047067002,76,21,16,29,5,3,2
A047068001,62,16,10,25,8,1,2
A047068002,118,33,16,49,6,10,4
A047068003,94,18,18,44,3,5,6
A047069001,100,19,17,51,8,2,3
A047070001,51,20,10,16,2,0,3
A047071001,44,21,12,7,2,2,0
A047071002,28,4,8,10,1,2,3
A047071003,90,19,31,27,5,1,7
A047071004,51,8,11,22,1,5,4
A047071004,51,8,11,22,1,5,4
A047071005,72,9,6,42,4,4,7
A047071006,145,16,30,76,12,7,4
A047071007,129,51,26,25,14,5,8
A047072001,71,11,18,28,3,5,6
A047072002,196,36,39,96,10,3,12
A047072003,127,41,24,33,14,7,8
A047072004,71,13,23,24,6,1,4
A047072005,95,26,19,31,13,3,3
A047072006,81,9,15,46,3,1,7
A047072007,75,16,16,33,7,2,1
A047072008,98,15,22,50,6,1,4
A047072009,103,17,14,47,15,4,6
A047072010,77,9,5,38,17,3,5
A047072011,119,7,16,78,7,4,7
A047072012,81,9,17,44,8,1,2
A047072013,79,8,11,52,4,2,2
A047072014,86,4,9,65,5,0,3
A047072015,121,13,14,69,13,7,5
A047072016,105,15,15,59,9,4,3
A047072017,97,26,11,46,7,7,0
A047072018,73,13,20,27,8,1,4
A047072019,73,9,23,31,4,3,3
A047072020,108,15,18,58,12,0,5
A047072021,100,12,25,43,8,4,8
A047072022,120,25,30,41,10,6,8
A047072023,107,10,8,71,12,4,2
A047072024,128,22,19,64,16,5,2
A047072025,95,12,12,56,9,1,5
A047072026,108,9,13,72,6,1,7
A047072027,87,10,13,49,6,2,7
A047072028,66,7,9,39,7,3,1
A047072029,121,14,17,64,13,7,6
A047072030,102,23,18,53,6,2,0
A047072031,91,38,18,14,12,4,5
A047072032,126,23,21,62,13,5,2
A047072033,123,15,16,63,18,7,4
A047072034,95,25,24,26,10,7,3
A047072035,87,9,37,31,4,2,4
A047072036,91,23,28,27,11,1,1
A047072037,124,26,18,55,18,6,1
A047072038,82,13,12,41,9,3,4
A047072039,125,23,31,39,22,7,3
A047072040,108,22,14,52,15,1,4
A047072041,99,22,26,31,10,5,5
A047072042,71,20,22,19,9,0,1
A047073001,126,19,23,62,16,3,3
A047073002,90,18,31,29,7,1,4
A047074001,83,20,11,27,11,10,4
A047074002,69,23,7,26,9,3,1
A047075001,61,15,8,21,10,2,5
A047075002,69,21,15,16,9,5,3
A047075003,71,20,12,23,9,5,2
A047075004,90,15,17,41,4,9,4
A047076001,64,17,7,27,6,0,7
A047076002,93,16,11,51,7,4,4
A047076003,87,11,22,46,3,0,5
A047076004,86,9,19,47,5,2,4
A047076005,115,17,21,61,7,2,7
A047076006,75,15,20,34,2,1,3
A047077001,125,22,29,60,6,6,2
A047077001,125,22,29,60,6,6,2
A047077001,125,22,29,60,6,6,2
A047077002,84,16,25,34,6,2,1
A047077003,73,16,19,25,6,2,5
A047077004,75,16,27,25,3,1,3
A047077005,110,24,30,39,6,5,6
A047077006,33,6,13,9,4,1,0
A047077007,66,7,13,33,4,4,5
A047077008,68,14,28,19,1,3,3
A047077009,71,5,17,38,2,1,8
A047077010,80,13,16,41,4,4,2
A047077011,77,14,12,36,8,5,2
A047077012,92,17,25,36,4,5,5
A047077013,140,48,23,40,16,8,5
A047077014,125,34,12,40,27,4,8
A047077015,100,37,19,26,7,7,4
A047077016,113,23,13,56,15,4,2
A047077017,87,11,14,41,11,5,5
A047077018,75,10,17,35,6,4,3
A047077019,78,15,13,43,3,1,3
A047077020,78,10,6,45,6,4,7
A047077021,122,6,20,86,7,2,1
A047077022,113,7,13,71,8,7,7
A047077023,76,12,8,38,7,10,1
A047077024,113,14,22,54,9,10,4
A047078001,117,15,18,73,8,2,1
A047079001,91,19,16,41,8,4,3
A047079002,115,14,15,64,10,8,4
A047079003,96,12,17,51,7,5,4
A047081001,98,13,27,42,6,7,3
A047081002,88,14,14,47,8,3,2
A047082001,146,29,32,68,8,5,4
A047082002/047082003,84,10,14,45,11,2,2
A047082004/047082005,106,24,26,39,3,10,4
A047082006,66,9,13,33,6,2,3
A047083001/047083002,69,9,16,34,2,6,2
A047083003,90,24,16,41,6,1,2
A047083004/047083005,70,14,15,28,9,1,3
A047084001,65,17,14,25,6,2,1
A047084002,47,13,15,15,3,1,0
A047084003,71,21,11,25,8,4,2
A047084004,111,26,26,47,6,4,2
A047085002,44,12,8,16,5,1,2
A047086001,91,23,18,34,9,3,4
A047086002,109,23,15,50,10,7,4
A047086003,125,26,21,59,11,4,4
A047086004,77,15,13,40,5,1,3
A047087001,78,18,18,28,6,4,4
A047087002,110,26,24,42,9,4,5
A047087003,118,24,28,52,7,5,2
A047087004,82,10,13,45,8,3,3
A047088001,95,13,26,44,6,3,3
A047088002,68,27,10,18,6,4,3
A047089001,84,24,18,29,9,3,1
A047090001,88,20,12,31,17,5,3
A047090002,113,37,25,27,10,11,3
A047090003,90,21,22,37,4,4,2
A047090004,65,19,14,20,7,2,3
A047090005,84,17,21,29,7,5,5
A047090006,79,15,18,29,6,4,7
A047090007,93,17,19,45,4,4,4
A047090008,88,16,24,31,12,3,2
A047090009,87,33,8,15,20,7,4
A047090010,100,24,24,26,19,2,5
A047090011,93,15,14,31,15,15,3
A047090012,115,22,28,42,10,5,8
A047090013,107,39,23,24,11,3,7
A047090014,75,9,10,26,24,2,4
A047090015,90,11,12,42,6,10,9
A047090016,99,33,23,34,5,2,2
A047090017,96,38,18,20,11,8,1
A047090018,111,55,16,18,11,7,4
A047091001,95,26,18,38,9,3,1
A047091002,64,11,16,24,9,0,4
A047091003,77,33,8,19,13,2,2
A047091004,81,10,15,41,5,8,2
A047093001,92,39,19,12,12,7,3
A047094001,120,54,32,17,10,3,4
A047094002,127,26,32,44,18,3,4
A047095001,103,20,22,36,12,8,5
A047095002,68,19,13,28,5,2,1
A047095003,92,17,23,28,15,5,4
A047095004,84,20,21,30,9,4,0
A047095005,123,29,26,46,8,9,5
A047095006,74,28,18,19,3,3,3
A047095007/047095008,68,19,15,26,4,1,3
A047096001,108,24,17,53,8,4,2
A047096002,74,15,12,34,7,2,4
A047096003,102,13,18,45,12,7,7
A047096004,83,13,17,39,5,3,6
A047096005,82,15,21,31,8,4,3
A047096006,102,32,9,47,6,4,4
A047096007,70,16,18,20,7,6,3
A047096008,73,16,14,29,9,5,0
A047096009,117,28,24,37,16,6,6
A047096010,84,16,8,38,14,3,5
A047096011,81,12,12,44,10,0,3
A047096012,55,25,15,10,2,2,1
A047096013,58,21,10,9,9,6,3
A047096014,61,25,9,14,9,3,1
A047096015,121,31,22,39,14,7,8
A047096016,90,17,32,31,5,3,2
A047096017,66,44,4,9,1,7,1
A047096018,82,36,10,22,4,3,7
A047096019,73,26,20,18,7,1,1
A047098001,87,24,11,15,12,20,5
A047098002,85,17,7,38,19,4,0
A047101001,62,12,18,22,6,1,3
A047101002,89,18,15,40,10,3,3
A047102001,80,22,10,31,8,3,6
A047103001,79,19,19,32,4,3,2
A047103002/047103005,56,8,19,19,5,4,1
A047103003,63,17,10,25,3,7,1
A047103004,102,23,25,42,5,3,4
A047104001,87,20,15,38,7,5,2
A047104002,98,17,21,47,6,4,3
A047105001,65,8,12,37,1,3,4
A047105002,66,18,17,21,4,2,4
A047105003,97,29,14,35,5,10,4
A047105004,94,12,23,46,7,3,3
A047105005,84,16,16,34,13,3,2
A047105006,70,18,14,26,8,3,1
A047105007,65,24,9,21,1,5,5
A047105008,66,13,17,33,1,1,1
A047105009,133,15,24,74,12,4,4
A047105010,70,14,16,26,7,2,5
A047105011,88,18,9,47,8,5,1
A047105012,140,32,23,53,21,8,3
A047105013,101,21,10,44,13,6,7
A047105014,94,16,21,41,9,6,1
A047105015,99,20,14,46,15,2,2
A047106001,74,10,21,30,7,3,3
A047106002,103,17,12,61,7,3,3
A047106003,105,17,12,53,12,5,6
A047106004,113,15,12,56,22,4,4
A047106005,99,44,30,14,8,2,1
A047106006,80,16,5,35,14,6,4
A047106007,140,31,27,53,12,6,11
A047106008,100,15,26,44,8,4,3
A047106009,112,15,27,58,5,4,3
A047106010,117,14,8,71,17,2,5
A047106011,80,9,25,28,12,3,3
A047106012,81,14,13,36,16,0,2
A047106013,103,18,7,50,19,6,3
A047106014,91,27,16,33,12,2,1
A047106015,109,22,22,33,18,4,10
A047106016,74,8,16,28,10,5,7
A047106017,132,28,25,44,22,5,8
A047106018,127,8,13,71,13,15,7
A047106019,130,22,16,67,14,8,3
A047106020,41,10,6,15,3,7,0
A047106021,64,15,11,26,5,4,3
A047106022,146,21,14,73,21,11,6
A047106023,104,22,18,46,12,5,1
A047106024,78,18,16,33,3,6,2
A047106025,122,25,19,59,12,6,1
A047106026/047106029,72,13,7,44,6,2,0
A047106027,82,23,17,28,3,6,5
A047106028,67,5,8,43,4,2,5
A047107001,71,6,12,40,8,3,2
A047107002,111,30,14,44,17,2,4
A047107003,95,15,13,45,14,5,3
A047107004,128,27,32,52,8,4,5
A047107005,102,18,20,46,8,5,5
A047107006,76,8,11,27,23,0,7
A047107007,74,17,12,29,10,4,2
A047107008,117,26,16,49,19,3,4
A047107009,80,10,11,37,13,5,4
A047107010/047107028,129,20,25,40,27,5,12
A047107011,101,26,24,29,9,11,2
A047107012,109,28,26,30,10,7,8
A047107013,95,27,28,21,10,6,3
A047107014,95,40,14,17,8,9,7
A047107015,69,23,11,16,13,2,4
A047107016,80,44,13,7,8,6,2
A047107017,133,82,26,8,7,8,2
A047107018,69,5,10,41,8,2,3
A047107019,101,68,8,5,6,10,4
A047107020,105,47,14,17,15,6,6
A047107021,91,40,12,23,7,8,1
A047107022,82,29,20,16,5,11,1
A047107023,102,20,24,29,17,5,7
A047107024,111,38,24,28,13,5,3
A047107025,108,16,24,49,9,5,5
A047107026,72,13,15,27,10,2,5
A047107027,102,17,15,46,15,4,5
A047107029,105,21,20,44,10,2,8
A047108001,80,26,17,24,4,5,4
A047110001,74,36,19,10,7,1,1
A047110002,73,19,14,19,14,5,2
A047110003,74,23,14,21,14,2,0
A047111001,59,6,14,26,5,4,4
A047111002,80,42,17,8,5,5,3
A047111003,91,38,21,18,9,2,3
A047111004,135,25,26,63,8,5,8
A047112001,78,16,19,31,5,2,5
A047112002,91,22,15,37,13,1,3
A047113001,68,13,15,24,5,7,4
A047113002,118,26,21,49,16,3,3
A047115002,78,30,13,20,7,7,1
A047115003,88,22,24,25,7,8,2
A047115004,65,22,12,22,3,2,4
A047115005,78,22,13,32,5,3,3
A047115006,59,19,9,26,2,3,0
A047115007,79,51,9,9,2,6,2
A047115008,71,15,14,23,5,11,3
A047115009,104,27,23,44,4,3,3
A047115010,129,19,24,61,17,4,4
A047117001,65,11,18,24,9,2,1
A047117002,80,17,9,30,19,4,1
A047117003,59,24,9,19,4,2,1
A047117004,60,20,14,16,3,4,3
A047117005,61,25,12,12,4,4,4
A047119001/047119005,70,17,15,24,7,5,2
A047119002/047119003/047119004,68,7,10,34,13,1,3
A047120001,59,15,15,24,4,0,1
A047120002,69,18,12,16,13,10,0
A047122001,32,12,11,8,1,0,0
A047124001,88,14,21,45,6,2,0
A047126001,139,32,27,54,13,6,7
A047126002/047126003/047126004/047126005,63,24,11,17,5,5,1
A047128002,75,11,10,42,6,0,6
A047129001,81,19,22,26,8,1,5
A047129002,64,13,10,30,7,2,2
A047129003,115,33,22,47,11,2,0
A047129004,84,17,19,35,6,3,4
A047129005,98,15,30,39,10,4,0
A047129006,76,15,24,28,5,1,3
A047129007,69,14,16,25,9,3,2
A047131001,131,50,18,34,20,3,6
A047132001,86,35,16,15,12,6,2
A047132002,74,19,16,28,6,4,1
A047132003,62,12,21,20,4,4,1
A047132004,72,15,14,28,9,5,1
A047132005,81,24,13,28,7,5,4
A047132006,96,34,21,22,11,4,4
A047132007,79,14,10,33,8,13,1
A047132008,74,13,16,33,6,4,2
A047132009,92,24,22,34,3,4,5
A047132010,112,19,30,40,12,2,9
A047132011,73,8,12,34,9,2,8
A047132012,126,33,38,37,7,5,6
A047132013,86,13,22,32,7,9,3
A047132014,84,6,5,66,7,0,0
A047132015,109,33,28,20,9,16,3
A047132016,86,16,20,40,5,4,1
A047132017,88,8,10,61,4,2,3
A047132018,114,9,13,74,10,7,1
A047132019,87,21,10,46,5,3,2
A047132020,109,24,22,36,8,16,3
A047132021,73,7,12,45,5,1,3
A047132022,114,16,30,40,5,19,4
A047132023,109,23,15,38,16,16,1
A047132024,102,23,25,38,7,6,3
A047132025,70,11,16,30,8,3,2
A047132026,100,14,27,44,8,6,1
A047132027,129,24,39,42,8,12,4
A047132028,62,19,13,19,5,5,1
A047132029,102,18,14,47,12,5,6
A047132030,101,17,22,41,11,4,6
A047132031,76,12,24,32,3,1,4
A047132032,76,8,16,35,12,2,3
A047132033,90,15,17,39,8,8,3
A047132034,102,21,21,48,6,6,0
A047132035,78,8,10,49,5,4,2
A047132036,99,18,11,51,3,12,4
A047132037,75,11,14,38,5,5,2
A047132038,112,16,10,39,39,6,2
A047132039,123,24,22,57,7,0,13
A047132040,83,17,14,32,6,9,5
A047132041,78,14,11,30,15,6,2
A047132042,104,23,24,37,12,5,3
A047132043,90,22,12,23,18,8,7
A047132044,79,18,24,21,5,8,3
A047132045,101,12,13,55,5,13,3
A047132046,76,15,8,33,1,16,3
A047132047,97,36,22,25,5,6,3
A047132048,69,14,8,27,5,13,2
A047132049,118,28,34,25,12,15,4
A047132050,107,25,37,29,5,4,7
A047132051,73,15,24,21,6,1,6
A047132052,105,16,23,49,5,9,3
A047132053,83,13,15,45,5,3,2
A047132054,68,10,11,27,13,2,5
A047132055,83,20,18,28,3,12,2
A047132056,67,7,9,40,5,4,2
A047132057,76,30,26,10,0,10,0
A047132058,65,19,22,6,2,16,0
A047132059,98,16,36,28,9,8,1
A047132060,84,8,21,39,9,6,1
A047132061,120,17,11,57,25,5,5
A047132062,75,9,12,40,8,4,2
A047132063,104,19,33,39,3,9,1
