house..sa_id,house..total_households,house..one_person_household,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
A117033001,52,9,7,27,4,3,2
A117035001,90,14,26,36,8,2,4
A117035002,64,22,13,20,4,2,3
A117035003,61,26,12,13,5,4,1
A117035004,63,13,15,28,3,2,2
A117035005,90,24,18,26,14,2,6
A117035006,56,12,14,22,6,1,1
A117035007,69,20,15,25,6,2,1
A117035008,94,21,22,39,7,4,1
A117036001,91,27,20,31,10,1,2
A117036002,74,32,12,21,8,1,0
A117036003,63,20,12,22,7,2,0
A117037001,70,23,16,23,6,0,2
A117038001,53,19,9,14,8,2,1
A117038002,68,20,17,21,7,0,3
A117039001,58,16,14,19,4,3,2
A117039002,69,15,15,25,12,2,0
A117039003,86,23,14,39,6,3,1
A117041001,62,23,16,17,4,0,2
A117042001,55,15,10,21,6,0,3
A117043001,63,13,22,23,4,0,1
A117044001,74,46,9,17,1,0,1
A117045001,60,15,12,26,4,2,1
A117046001,70,18,10,25,13,4,0
A117047001,70,12,25,21,8,2,2
A117048001,66,10,17,29,7,3,0
A117048002,57,19,13,16,5,2,2
A117049001/117076001,59,20,12,21,5,1,0
A117050001,80,18,21,31,7,2,1
A117050002,83,43,9,18,8,4,1
A117050004,52,14,11,19,5,2,1
A117051001,83,25,22,24,11,1,0
A117052001,65,12,14,32,4,1,2
A117052002/117052003,67,11,16,35,3,1,1
A117053001,38,11,8,11,3,4,1
A117053002,63,16,17,21,6,2,1
A117054001,72,28,13,20,5,4,2
A117055001,64,20,13,28,1,2,0
A117056001,63,22,13,18,3,3,4
A117057001,61,17,16,17,2,6,3
A117058001,68,19,7,27,15,0,0
A117058002,64,26,6,18,8,4,2
A117058003,90,29,21,26,10,3,1
A117058004,72,14,16,26,13,3,0
A117058005,45,11,6,19,6,2,1
A117059001,80,33,18,16,7,5,1
A117059002,66,14,8,35,5,1,3
A117059003/117059006,95,28,24,30,8,5,0
A117059004,105,24,24,38,12,3,4
A117059005,63,12,12,27,2,8,2
A117059007,109,27,34,35,7,6,0
A117060001,83,15,25,34,2,5,2
A117061001,60,21,11,23,0,2,3
A117061002,62,14,13,28,5,1,1
A117062001,66,20,17,21,6,1,1
A117062002,104,51,17,17,16,1,2
A117063001,64,23,8,25,4,2,2
A117063002,67,22,20,20,1,3,1
A117063003,89,24,12,41,7,3,2
A117063004,93,28,15,40,6,2,2
A117063005,50,19,7,20,2,0,2
A117063006,100,25,25,39,7,1,3
A117063007,106,23,35,38,5,4,1
A117063008,68,26,9,27,3,1,2
A117063009,60,18,13,20,6,2,1
A117063010,131,43,16,51,14,6,1
A117063011,71,10,14,31,8,5,3
A117065001,71,21,12,26,8,3,1
A117066001,66,16,14,25,6,3,2
A117066002,72,29,9,22,8,3,1
A117066003,68,23,12,27,3,0,3
A117066004,98,18,25,39,11,3,2
A117066005,75,12,20,29,9,4,1
A117066006,64,14,14,32,2,1,1
A117066007,71,18,16,30,4,2,1
A117066008,29,11,1,9,5,3,0
A117067001,50,13,14,16,5,0,2
A117068001,55,8,21,19,4,1,2
A117069001,99,45,28,18,5,2,1
A117070001/117070002,75,22,15,26,9,0,3
A117071001,71,25,10,23,10,3,0
A117072001,56,13,9,25,5,2,2
A117072002,109,31,16,42,13,3,4
A117072003/117072004,50,12,12,13,8,5,0
A117073001,59,9,18,25,3,1,3
A117074001,58,12,13,24,8,1,0
A117074002,81,18,18,32,7,5,1
A117075001,70,15,17,30,4,2,2
A117077001,42,9,7,21,2,2,1
A117077002,112,31,25,45,6,1,4
A117077003,69,14,17,26,10,1,1
A117077004,79,21,15,30,9,3,1
A117078001,79,26,18,29,4,2,0
A117078002,45,12,11,16,3,1,2
A137001001,32,9,3,8,6,2,4
A137001002,75,30,14,8,14,2,7
A137002001,87,51,14,7,10,3,2
A137002002,94,21,18,17,21,6,11
A137003001,85,18,5,17,29,7,9
A137003002,84,18,9,15,34,6,2
A137004001,88,23,9,16,24,4,12
A137004002,64,20,9,12,14,4,5
A137004003,96,28,19,18,21,5,5
A137005001,58,25,9,5,6,12,1
A137005002,101,32,26,21,3,18,1
A137006001,78,31,20,12,1,14,0
A137006002,58,22,17,5,1,13,0
A137007001,38,22,5,1,1,8,1
A137007002,67,29,13,6,3,15,1
A137007003,83,47,7,6,3,18,2
A137008001,98,45,11,8,3,29,2
A137008002,84,50,7,4,2,20,1
A137009001,89,58,15,6,6,4,0
A137009002,125,59,14,8,9,32,3
A137009003,118,30,9,44,19,8,8
A137009004,92,27,8,25,17,9,6
A137009005,116,34,15,14,22,23,8
A137009006,86,22,8,16,28,7,5
A137009007,108,36,13,22,20,5,12
A137009008,126,34,17,42,20,7,6
A137009009,92,17,14,37,15,6,3
A137009010,84,13,12,36,12,4,7
A137009011,122,15,20,59,20,1,7
A137009012,105,24,40,19,14,6,2
A137010001,106,10,24,50,15,3,4
A137011001,91,18,16,33,17,3,4
A137011002,81,8,8,44,13,5,3
A137011003,84,7,8,44,11,8,6
A137011004,103,27,21,31,14,3,7
A137012001,91,24,32,21,8,5,1
A137013001,89,14,18,43,8,3,3
A137013002,114,20,29,44,14,1,6
A137013003,109,15,10,58,16,3,7
A137013004,85,18,16,37,8,3,3
A137013005,113,20,39,38,8,3,5
A137013006,79,23,23,17,8,2,6
A137013007,88,25,16,19,16,7,5
A137013008,66,22,9,22,10,1,2
A137013009,54,16,10,15,8,3,2
A137014001,119,29,22,41,14,8,5
A137015001,122,34,22,53,9,2,2
A137015002,85,27,15,33,8,2,0
A137015003,81,18,20,29,7,5,2
A137016001,71,18,13,29,4,2,5
A137016002,91,21,17,41,5,5,2
A137016003,73,16,12,32,8,0,5
A137017001,76,13,15,42,3,1,2
A137017002,75,17,15,30,7,2,4
A137017003,128,28,22,38,31,6,3
A137018001,113,28,29,39,11,5,1
A137018002,62,11,11,25,11,3,1
A137019001,70,13,16,26,9,4,2
A137020001,74,18,10,29,12,2,3
A137020002,82,21,24,24,8,4,1
A137021001,95,33,15,25,15,2,5
A137021002,76,12,16,38,6,1,3
A137022001,96,21,21,36,11,4,3
A137023001,94,21,26,34,7,4,2
A137024001,74,11,17,29,10,3,4
A137025001,63,16,12,16,9,6,4
A137025002,88,19,16,29,8,10,6
A137026001,129,26,33,41,15,11,3
A137026002,87,39,18,17,3,9,1
A137027001,83,36,9,14,7,14,3
A137027002,88,28,8,26,18,4,4
A137027003,70,29,8,17,6,5,5
A137027004,73,24,12,15,12,3,7
A137027005,99,30,22,28,8,6,5
A137027006,83,20,16,39,5,1,2
A137028001,72,10,15,29,12,3,3
A137029001,76,21,11,33,7,3,1
A137029002,68,19,10,26,9,2,2
A137029003,70,17,14,28,7,3,1
A137029004,68,11,21,23,9,0,4
A137029005,97,13,17,38,20,4,5
A137029006,68,17,18,24,4,2,3
A137029007,88,13,21,39,8,4,3
A137029008,82,12,13,45,3,4,5
A137029009,70,13,15,33,5,1,3
A137029010,66,17,13,23,8,0,5
A137030001/137052001,67,9,9,26,12,5,6
A137031001,121,13,12,56,22,13,5
A137031002,116,37,23,34,10,5,7
A137032001,78,26,18,25,6,1,2
A137032002,82,22,18,34,5,2,1
A137033001,64,18,16,20,3,3,4
A137034001,82,19,21,27,6,4,5
A137035001,74,21,16,24,6,2,5
A137035002,82,11,26,33,8,2,2
A137035003,58,8,20,21,5,1,3
A137035004,91,22,26,33,4,2,4
A137035005,117,28,18,47,19,1,4
A137036001,100,29,24,32,9,4,2
A137036002,114,26,26,43,9,3,7
A137036003,122,24,20,59,10,5,4
A137036004,74,15,18,26,6,5,4
A137036005,65,17,15,27,2,0,4
A137037001,59,16,13,17,9,1,3
A137037002,53,9,10,21,7,3,3
A137037003,87,18,23,35,5,6,0
A137038001,47,6,11,19,8,2,1
A137038002,66,19,9,24,8,3,3
A137039001,74,19,13,32,4,2,4
A137040001,78,20,10,28,13,6,1
A137041001,83,27,25,21,6,4,0
A137041002,81,17,21,35,7,1,0
A137042001,109,26,19,48,9,3,4
A137043001,104,26,24,39,7,3,5
A137043002,68,10,9,25,17,5,2
A137043003,67,35,8,11,10,2,1
A137043004,95,29,16,29,19,1,1
A137043005,104,22,12,40,23,3,4
A137043006,49,18,7,15,5,3,1
A137043007,99,17,23,42,10,5,2
A137043008,82,18,12,27,15,3,7
A137043009,68,10,11,25,6,7,9
A137043010,76,10,9,32,5,10,10
A137043011,65,20,15,14,4,3,9
A137043012,58,24,13,7,4,6,4
A137043012,58,24,13,7,4,6,4
A137043013,105,35,16,26,17,9,2
A137043014,65,12,13,24,4,7,5
A137043015,78,18,2,25,13,9,11
A137043016,125,41,16,37,18,6,7
A137044001/137044003,83,30,14,26,3,8,2
A137044002,84,16,14,44,4,5,1
A137044004,77,18,8,37,10,1,3
A137044005,82,30,14,28,4,1,5
A137045001,129,43,29,41,10,5,1
A137045002,120,27,26,51,10,4,2
A137045003,103,22,18,48,11,3,1
A137045004,75,24,11,23,9,6,2
A137045005,75,31,15,11,9,6,3
A137045006,75,19,11,28,9,5,3
A137045007,99,25,21,37,9,4,3
A137045008,108,25,19,48,6,7,3
A137045009,101,25,12,47,11,4,2
A137045010,82,14,18,37,9,1,3
A137045011,63,11,14,29,6,0,3
A137045012,65,22,9,21,8,2,3
A137045013,63,14,11,27,8,1,2
A137045014,84,17,13,42,7,2,3
A137045015,94,27,14,33,13,2,5
A137045016,80,28,11,24,6,7,4
A137045017,60,10,17,22,8,3,0
A137045018,114,30,24,29,26,2,3
A137045019,110,39,23,37,7,2,2
A137045020,56,8,13,28,5,1,1
A137045021,70,22,15,22,7,2,2
A137045022,64,11,16,27,4,3,3
A137045023,52,10,13,22,5,0,2
A137046001,86,36,17,10,15,5,3
A137047001,108,45,16,19,23,3,2
A137048001,123,43,22,26,16,11,5
A137049001,72,32,10,9,13,6,2
A137049002,98,33,26,21,13,2,3
A137049003,77,29,7,19,9,7,6
A137050001,86,27,12,26,7,8,6
A137050002,81,13,9,27,17,6,9
A137051001,76,37,15,11,6,5,2
A137053001,107,38,23,16,19,6,5
A137053002,74,27,6,12,17,8,4
A137053003,103,31,6,37,25,3,1
A137053004,100,33,13,23,28,3,0
A137053005,122,54,12,24,27,3,2
A137054001,52,26,8,7,2,8,1
A137054002,68,36,12,7,5,7,1
A137054003,108,48,18,18,12,10,2
A137054004,120,39,20,32,9,19,1
A137054005,110,25,34,43,3,3,2
A137054006,117,37,32,32,5,7,4
A137054007,74,24,15,25,2,6,2
A137055001,84,20,15,35,12,1,1
A137055002,104,38,14,20,12,15,5
A167058001,70,5,20,34,3,6,2
A167092001,104,11,26,41,11,8,7
A177026001,116,26,15,55,13,3,4
A177027001,89,39,10,19,15,3,3
A177031001,101,8,14,60,9,7,3
A177031002,117,47,18,20,22,6,4
A177031003,53,12,8,12,9,9,3
A177032001,61,29,13,10,3,3,3
A177035001,83,22,13,33,7,6,2
A177037001,103,41,7,24,24,1,6
A177040001,75,22,13,22,10,3,5
A177051001/177051002,100,16,15,54,8,3,4
A177063001,117,21,17,56,12,5,6
A197001001,72,10,16,33,3,5,5
A197002001/197087001,36,9,8,14,1,1,3
A197003001,89,16,27,31,6,6,3
A197003002,66,2,6,40,7,7,4
A197005002,121,14,1,70,8,15,13
A197006001,130,23,23,59,12,8,5
A197006002,97,16,19,41,8,12,1
A197007001,70,8,11,32,9,7,3
A197009001,73,29,12,19,6,5,2
A197010001,76,58,7,3,6,1,1
A197011010,97,27,10,30,12,11,7
A197012001,144,27,27,45,22,8,15
A197012002,62,14,19,18,6,3,2
A197012003,131,23,31,56,9,8,4
A197012004,79,10,24,27,11,3,4
A197012005,83,12,25,33,4,6,3
A197013001,145,53,21,35,23,3,10
A197013002,70,14,21,28,4,2,1
A197013003,77,24,14,21,7,6,5
A197013004,57,22,15,14,2,3,1
A197015001,51,17,10,17,3,2,2
A197016001,69,15,17,22,10,2,3
A197017001,91,23,18,40,6,3,1
A197019001,70,24,13,25,3,4,1
A197020001,79,13,19,38,7,0,2
A197020002,88,24,22,34,3,3,2
A197020003,117,36,25,39,10,4,3
A197020004,106,36,20,24,15,7,4
A197021001,97,14,22,42,11,4,4
