health..sa_id,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health,health..not_stated
A197021006,228,157,40,9,3,0,19
A197021007,317,214,69,15,0,0,19
A197022001/197022006,285,182,69,18,7,0,9
A197022002,204,118,51,17,5,0,13
A197022003,259,163,67,8,1,1,19
A197022004,330,195,97,26,2,0,10
A197022005,331,201,83,34,3,2,8
A197022007,419,246,127,26,7,0,13
A197022008,290,183,77,10,2,0,18
A197022009,241,163,54,11,5,1,7
A197022010,278,164,74,25,6,2,7
A197022011,222,148,60,10,0,0,4
A197023001,222,128,68,18,4,1,3
A197024001,172,109,43,14,1,0,5
A197024002,161,76,63,16,3,0,3
A197025001,204,110,58,23,7,1,5
A197025002,162,82,52,23,2,0,3
A197027001,94,27,30,15,4,0,18
A197027002,257,91,103,40,14,4,5
A197029001,176,93,56,20,0,0,7
A197031001,199,91,76,21,5,0,6
A197031002,165,81,44,33,2,0,5
A197031003,123,78,22,13,5,1,4
A197032001,132,73,44,14,1,0,0
A197032002,250,124,87,32,3,0,4
A197032003,254,140,73,31,3,1,6
A197032004,150,68,53,15,6,1,7
A197032005,201,121,61,12,0,0,7
A197032006,137,81,44,10,1,0,1
A197032007,230,132,69,27,0,0,2
A197032008/197032009,175,96,54,19,4,2,0
A197032010,196,107,71,15,2,1,0
A197032011,135,82,43,9,1,0,0
A197032012,284,161,97,19,3,3,1
A197032013,248,158,71,17,2,0,0
A197032014,188,120,49,16,1,0,2
A197032015,234,117,68,39,4,0,6
A197032016,164,102,47,10,4,0,1
A197034001,251,131,93,20,3,2,2
A197036001,155,88,43,19,3,1,1
A197037001,159,86,49,15,3,2,4
A197037002,124,55,40,21,3,0,5
A197039001,201,101,58,33,5,1,3
A197039002,137,86,33,10,3,0,5
A197040001,165,86,57,18,2,1,1
A197040002,258,180,61,10,3,0,4
A197040003,326,152,79,82,3,0,10
A197040004,191,100,66,15,7,0,3
A197040005,254,154,75,16,5,1,3
A197040006,268,144,86,33,5,0,0
A197041001,213,102,74,29,5,1,2
A197041002,157,84,52,18,1,0,2
A197042001,118,74,34,9,0,1,0
A197043001,202,80,74,42,0,1,5
A197043002,180,95,64,16,2,1,2
A197043003,72,24,29,14,5,0,0
A197046001,260,158,79,17,2,1,3
A197047001,256,146,91,13,5,1,0
A197048001,215,118,53,34,9,0,1
A197049001,271,181,61,21,2,1,5
A197049002,279,195,70,12,1,0,1
A197050001,259,185,61,11,1,0,1
A197052001/197052002,263,171,64,17,5,0,6
A197052003,262,165,69,20,3,1,4
A197052004,212,116,68,21,7,0,0
A197052005,175,90,57,17,8,2,1
A197052006,132,65,47,15,3,0,2
A197053001,173,82,60,22,7,0,2
A197053002,280,125,102,43,3,1,6
A197055001,194,91,71,23,5,2,2
A197058001,155,81,60,9,4,1,0
A197059001,291,135,103,44,2,0,7
A197059002,542,357,146,29,6,0,4
A197059003,104,44,43,11,4,0,2
A197059004,99,44,36,18,0,1,0
A197060001,182,62,74,28,16,0,2
A197061001,203,105,62,25,4,1,6
A197061002,413,252,111,33,6,0,11
A197062001,335,166,116,34,11,0,8
A197062002,231,142,58,17,9,1,4
A197062003,174,84,47,32,7,1,3
A197062004,170,93,55,16,3,0,3
A197062005,151,70,57,17,2,1,4
A197063001,268,174,57,19,3,0,15
A197063002,126,78,37,11,0,0,0
A197063003,148,88,43,16,1,0,0
A197064001/197064002,324,208,78,29,2,1,6
A197064003,252,150,69,25,3,1,4
A197065001,172,86,63,19,2,0,2
A197065002,217,117,68,21,5,0,6
A197066001,194,92,67,32,2,0,1
A197066002,114,28,40,12,3,2,29
A197067001,228,140,62,18,2,1,5
A197067002,227,126,67,26,2,0,6
A197069001,150,89,42,18,0,0,1
A197070001,171,84,64,19,3,0,1
A197071001,182,77,70,25,8,0,2
A197071002,204,123,62,15,0,0,4
A197071003,300,198,69,23,2,0,8
A197072001,217,129,65,13,4,0,6
A197072002,291,203,63,13,2,0,10
A197073001,159,92,50,14,2,0,1
A197074001,411,243,112,40,3,2,11
A197075001,208,118,55,26,5,0,4
A197076001,188,135,39,10,2,1,1
A197077001,191,115,57,14,3,1,1
A197078001/197078002,120,65,39,15,1,0,0
A197079001,162,91,53,10,3,0,5
A197079002,155,97,39,15,2,0,2
A197083001,332,199,90,32,7,1,3
A197084001/197089001,243,141,72,24,1,0,5
A197086001,156,87,44,17,3,1,4
A197088001,135,73,48,11,0,0,3
A197088002,227,114,73,27,5,1,7
A197088003,162,88,48,19,2,0,5
A197088004,182,101,57,16,3,1,4
A197091001,87,56,19,6,1,1,4
A197091002,158,87,50,16,3,1,1
A197091003,155,80,50,22,2,1,0
A197091004,157,89,40,20,2,1,5
A197092001,156,68,58,23,5,0,2
A197092002,182,101,55,20,5,0,1
A197093001,234,145,59,26,1,0,3
A197093002,168,81,51,22,5,0,9
A197095001,326,204,90,19,4,2,7
A197095002,410,203,129,37,4,1,36
A197096001,125,72,30,17,3,0,3
A197096002,246,174,51,15,2,0,4
A197096003,161,78,57,22,2,0,2
A197096004,231,171,47,10,2,1,0
A197097001,157,76,61,15,3,1,1
A197097002,109,66,33,8,1,0,1
A197097003,216,121,74,11,4,1,5
A197097004,362,220,101,35,3,2,1
A197097005,148,80,53,8,5,0,2
A197097006,318,170,101,31,2,1,13
A197097007,191,85,79,22,1,1,3
A197097008,125,76,27,17,3,0,2
A197097009,119,64,45,4,5,0,1
A197097010,127,66,47,14,0,0,0
A197097011,186,104,63,15,3,0,1
A197097012,208,119,67,15,1,0,6
A197097013,274,169,83,14,1,1,6
A197097014,193,101,68,16,3,1,4
A197097015,120,82,24,8,1,1,4
A197097016,310,173,100,30,5,0,2
A197097017,178,112,46,16,3,0,1
A197097018,252,167,58,21,2,0,4
A197098001,277,187,54,30,1,0,5
A197098002,336,210,99,14,2,1,10
A197098003,318,223,69,25,0,0,1
A197098004,363,268,64,21,4,4,2
A197098005,287,193,75,11,2,1,5
A197098006,326,199,90,25,3,1,8
A197098007,208,130,49,25,1,1,2
A197098008,111,57,36,16,1,0,1
A197098009,176,99,52,18,3,0,4
A197099001,233,130,76,23,3,0,1
A197100001,180,105,49,19,2,2,3
A197101001,153,83,38,22,2,0,8
A197101002,368,234,97,28,4,1,4
A197102001,334,206,87,28,3,1,9
A197102002,226,117,71,22,4,1,11
A197103001,176,90,59,18,2,1,6
A197103002,180,104,49,21,1,1,4
A197103003,169,107,45,13,1,0,3
A197103004,240,143,70,19,2,1,5
A197103005,169,71,60,28,9,1,0
A197103006,130,58,46,17,5,2,2
A197106001,237,158,50,23,3,1,2
A197106002,165,90,56,16,1,1,1
A197106003,290,196,76,13,1,1,3
A197106004,185,121,46,13,2,0,3
A197108001,206,160,33,10,2,0,1
A197108002,204,126,58,14,2,0,4
A197109001,208,123,53,23,4,1,4
A197110001,129,80,35,13,1,0,0
A197111001,231,114,79,28,5,2,3
A207004001,200,116,64,16,2,0,2
A207004002,339,225,82,23,3,0,6
A207005001/207005002,215,138,59,15,0,1,2
A207007001,241,159,69,9,0,0,4
A207007002,545,268,135,87,27,8,20
A207008001,274,126,68,64,9,4,3
A207008002,401,257,116,22,3,1,2
A207009001,179,88,77,6,2,1,5
A207009002,309,214,68,19,0,0,8
A207009003,352,235,90,17,1,0,9
A207009004,223,155,48,16,1,1,2
A207009005,186,83,62,24,5,2,10
A207009006,335,212,82,23,3,1,14
A207009007,234,114,87,23,2,1,7
A207009008,179,85,68,16,3,0,7
A207009009,191,78,79,27,2,0,5
A207009010,169,76,63,19,5,1,5
A207010001,106,49,36,18,1,1,1
A207010002,133,71,31,20,9,1,1
A207011001,190,109,52,18,2,0,9
A207011002,164,89,47,26,0,0,2
A207012001,168,83,58,17,2,2,6
A207012002,188,117,50,14,1,0,6
A207012003,188,119,42,21,2,2,2
A207012004,224,131,65,15,3,1,9
A207012005/207012007,288,192,66,19,2,3,6
A207012006,250,138,74,30,4,0,4
A207013001,119,51,40,16,3,3,6
A207017001,133,84,39,6,1,0,3
A207019001,149,82,44,19,1,0,3
A207019002,247,166,54,17,5,2,3
A207019003,256,159,68,21,1,1,6
A207019004,233,154,63,9,1,0,6
A207019005,123,85,21,13,3,0,1
A207019006,136,79,47,7,1,0,2
A207019007,314,171,96,29,11,1,6
A207019008,166,89,40,29,4,0,4
A207020001,191,106,66,17,1,0,1
A207020002,334,197,94,32,5,1,5
A207020003,243,137,67,31,3,1,4
A207021001,242,160,55,20,2,1,4
A207021002,191,113,60,14,0,0,4
A207026001,163,95,46,15,2,0,5
A207026002/207026005,315,205,79,18,4,0,9
A207026003,321,205,76,26,6,1,7
A207026004,273,169,70,23,0,1,10
A207026006,170,101,47,19,0,1,2
A207027001/207027003/207027004,193,100,62,23,5,0,3
A207027002,368,261,76,24,1,0,6
A207027005,267,164,76,18,2,2,5
A207029002,162,50,51,51,7,1,2
A207030001,195,108,65,15,3,0,4
A207030002,182,91,58,29,4,0,0
A207030003,99,37,44,17,1,0,0
A207030004,204,91,75,30,4,1,3
A207030005,285,192,63,21,2,1,6
A207030006,190,119,52,13,2,1,3
A207030007,158,96,41,16,1,1,3
A207030008,173,105,48,13,3,1,3
A207030009,204,122,58,18,0,0,6
A207030010,170,95,51,20,2,0,2
A207030011/207030012,167,84,57,14,6,1,5
A207030013,118,61,39,11,7,0,0
A207030014,236,145,66,16,1,0,8
A207031002,160,94,54,9,2,0,1
A207032001,149,89,43,15,1,1,0
A207032003,114,58,32,17,2,0,5
A207033002,152,83,42,18,4,0,5
A207033003,134,71,42,18,2,1,0
A207037001,215,147,55,9,2,0,2
A207037002,224,142,58,23,0,0,1
A207037003,197,141,46,8,1,0,1
A207038001/207038005,164,99,31,12,3,0,19
A207038002,186,115,51,13,7,0,0
A207038003,249,141,79,20,4,0,5
A207038004,257,163,65,21,6,2,0
A207038006,317,184,92,36,0,0,5
A207038007,365,211,121,23,6,1,3
A207038008,173,99,50,19,2,0,3
A207039001,214,116,71,23,3,0,1
A207040001,170,105,47,12,2,0,4
A207040002,84,44,30,6,3,0,1
A207041001,154,91,45,15,2,0,1
A207041002,212,150,48,12,0,1,1
A207044001,176,99,62,13,2,0,0
A207048001,283,161,74,29,3,1,15
A207049001,180,99,53,19,2,1,6
A207049002,143,98,33,1,2,0,9
A207050001/207050002,155,99,43,10,1,1,1
A207050003,191,122,53,7,2,0,7
A207050004,278,183,61,29,1,0,4
A207050005,296,203,72,15,2,0,4
A207050006,314,212,82,11,2,0,7
A207050007,159,101,44,8,3,0,3
A207050008,130,66,29,25,3,1,6
A207050009,154,86,52,11,1,0,4
A207050010,134,74,42,8,4,0,6
A207052001,188,114,51,14,4,2,3
A207052002,148,66,56,22,1,0,3
A207053001,181,94,62,17,3,0,5
A207053002,162,108,34,14,2,1,3
A207055001,197,123,53,18,1,0,2
A207055002,208,134,64,7,3,0,0
A207055003,261,175,60,21,3,1,1
A207055004/207055008,271,148,93,21,1,0,8
A207055005,181,103,61,14,2,0,1
A207055006,272,167,81,20,1,0,3
A207055007,233,121,77,19,5,0,11
A207055009,206,140,46,15,3,1,1
A207055010,367,212,109,38,3,3,2
A207055011,184,111,56,15,0,0,2
A207055012,271,190,49,21,3,3,5
A207055013,319,171,93,42,4,1,8
A207055014,313,209,73,23,2,0,6
A207055015,293,172,81,30,4,1,5
A207055016,178,106,41,24,2,1,4
A207056001,212,133,64,8,1,1,5
A207056002,293,176,83,25,1,2,6
A207058001,186,90,57,26,8,0,5
A207058002,214,134,57,15,2,2,4
A207059001,219,114,70,25,8,0,2
A207059002,149,91,42,15,0,0,1
A207059003,189,113,50,17,0,0,9
A207060001,120,72,35,10,3,0,0
A207060002,236,155,61,12,0,0,8
A207060003,204,112,61,22,5,0,4
A207060004,268,138,96,21,8,1,4
A207060005,270,147,84,31,6,0,2
A207060006,168,98,41,21,3,1,4
A207060007,158,86,44,15,3,1,9
A207061001/207061003,147,89,46,7,1,1,3
A207061002,122,67,34,18,1,0,2
A207061004,167,113,45,7,0,0,2
A207061005,220,102,67,42,6,0,3
A207064001,76,28,29,12,1,0,6
A207066001,231,147,57,20,5,0,2
A207066002,195,116,53,16,9,1,0
A207066003,221,139,61,17,1,0,3
A207067001,252,167,69,12,2,0,2
A207068001,219,131,67,16,4,0,1
A207069001,248,141,69,23,9,1,5
A207071001,212,123,67,18,2,1,1
A207071002,233,179,43,6,0,2,3
A207071003,342,222,88,21,3,0,8
A207071004/207071026,204,112,67,14,4,2,5
A207071005,224,124,71,22,4,1,2
A207071006,128,63,42,15,5,0,3
A207071007,192,108,61,18,2,1,2
A207071008,145,89,35,17,3,1,0
A207071009,155,99,37,13,2,0,4
A207071010,223,136,58,25,2,0,2
A207071011,145,95,31,12,0,2,5
A207071012,177,97,51,23,3,0,3
A207071013,196,115,58,17,2,0,4
A207071014,208,130,55,12,6,0,5
A207071015,259,188,51,7,7,1,5
A207071016,248,146,76,19,0,0,7
A207071017,448,289,88,14,1,2,54
A207071018,175,123,37,8,1,0,6
A207071019,239,169,47,14,1,0,8
A207071020,225,127,65,22,6,0,5
A207071021,331,219,80,28,0,2,2
A207071022,186,112,55,16,2,0,1
A207071023,416,295,99,15,2,2,3
A207071024,269,144,77,33,9,1,5
A207071025,168,100,54,7,1,0,6
A207071027,236,141,68,16,5,0,6
A207071028,196,107,67,12,4,0,6
A207071029,188,112,56,15,4,0,1
A207071030,177,108,55,14,0,0,0
A207071031,223,119,71,22,1,1,9
A207071032,165,108,29,13,2,0,13
A207071033,363,263,79,15,1,0,5
A207071034,220,144,56,15,0,1,4
A207073001,226,126,67,24,6,0,3
A207076001,197,128,54,11,4,0,0
A207080001,194,102,52,15,1,0,24
A207081001,255,131,76,36,3,0,9
A207081002,193,110,60,20,3,0,0
A207081003,240,156,62,17,3,0,2
A207081004,123,63,45,11,2,0,2
A207081005,167,107,47,8,1,3,1
A207081006,203,110,70,18,0,1,4
A207081007,284,132,100,35,9,0,8
A207081008,193,113,55,21,2,0,2
A207081009,161,76,54,16,6,1,8
A207081010,214,132,57,18,2,0,5
A207081011/207081020,186,87,44,41,8,2,4
A207081012,257,162,66,13,4,1,11
A207081013,138,89,32,13,0,0,4
A207081014,218,111,80,18,4,1,4
A207081015,163,67,62,18,10,1,5
A207081016,221,101,72,34,9,1,4
A207081017,196,120,56,16,1,0,3
A207081018,193,70,70,35,10,0,8
A207081019,312,218,63,23,1,0,7
A207081021,227,109,84,25,2,0,7
A207081022,248,188,50,5,0,0,5
A207081023,160,105,33,12,1,1,8
A207081024,312,220,72,10,0,0,10
A207081025,176,94,52,18,1,1,10
A207082001,118,51,52,8,2,1,4
A207082002,148,60,59,18,3,0,8
A207082003,311,191,85,25,2,1,7
A207082004,257,174,67,7,1,1,7
A207082005/207082006,198,133,58,5,1,0,1
A207082007,104,49,38,8,4,0,5
A207082008,242,109,86,33,7,0,7
A207082009,255,123,86,38,4,1,3
A207082010,228,142,64,18,1,0,3
A207082011,143,84,39,17,2,1,0
A207082012,261,121,104,27,3,0,6
A207082013,335,214,98,16,2,0,5
A207082014,287,133,107,36,8,2,1
A207082015,270,72,104,80,3,2,9
A207082016,269,167,78,20,1,0,3
A207082017,349,226,94,22,4,0,3
A207082018,309,200,79,21,6,0,3
A207082019,226,115,78,16,2,0,15
A207082020,247,133,92,19,0,0,3
A207082021,269,155,84,22,5,1,2
A207082022,227,152,52,18,2,0,3
A207082023,223,154,46,20,1,0,2
A237007001,205,81,65,30,10,0,19
A237018001,190,81,57,15,2,1,34
A237040001,238,126,77,23,2,3,7
A237048001,163,107,47,6,1,0,2
A237090001,170,107,39,15,2,0,7
A237090002,277,168,80,22,1,1,5
A237098001,274,170,76,13,2,0,13
