health..sa_id,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health,health..not_stated
A027009001,299,182,91,20,3,0,3
A027009002,288,172,58,34,5,3,16
A027009003,360,232,69,34,6,2,17
A027009004,181,117,36,23,3,0,2
A027010001,193,130,42,12,2,0,7
A027011001,190,123,48,15,1,0,3
A027011002,264,179,51,28,2,1,3
A027011003,245,131,77,27,2,0,8
A027012001,200,141,42,14,3,0,0
A027012002,192,118,49,20,2,1,2
A027012003,195,124,53,17,0,1,0
A027012004,208,113,72,17,5,1,0
A027012005,351,235,75,32,5,1,3
A027012006,246,145,76,20,3,0,2
A027013001,217,113,75,24,2,0,3
A027013002,334,231,79,16,2,0,6
A027013003,173,98,59,13,2,1,0
A027013004,234,123,82,16,4,1,8
A027013005,238,132,62,31,2,0,11
A027013006,225,134,66,18,6,0,1
A027013007,154,94,47,13,0,0,0
A027013008,89,30,38,14,1,0,6
A027013009,153,61,45,34,8,1,4
A027014001,78,41,17,16,2,1,1
A027015001,186,103,49,25,1,2,6
A027016001,147,81,45,15,4,0,2
A027017001,70,37,23,9,1,0,0
A027017002,165,98,52,10,3,1,1
A027018001,212,143,42,21,3,0,3
A027018002,323,214,79,19,0,1,10
A027019001,147,94,37,9,1,0,6
A027020001,241,160,50,21,3,1,6
A027020002,291,193,64,24,1,1,8
A027021001,211,123,67,18,2,0,1
A027021002,248,166,57,18,5,2,0
A027022001,321,203,90,18,8,1,1
A027022002,188,120,51,13,2,0,2
A027022003,212,111,65,27,1,0,8
A027022004,283,200,58,17,4,1,3
A027023001,228,134,63,21,1,1,8
A027024001,187,115,49,18,1,0,4
A027024002,203,129,54,16,3,0,1
A027024003,300,196,64,32,3,1,4
A027024004,228,140,58,18,1,1,10
A027024005,365,264,78,12,2,0,9
A027024006,286,187,77,7,2,0,13
A027024007,376,252,78,34,4,2,6
A027024008,298,207,65,16,3,0,7
A027024009,220,129,62,14,3,0,12
A027024010,387,256,100,16,1,0,14
A027024011,298,220,56,14,2,0,6
A027024012,249,153,74,10,6,0,6
A027024013,191,94,56,22,7,0,12
A027024014,324,198,87,21,6,1,11
A027024015,242,116,86,16,3,1,20
A027024016,134,56,39,22,2,1,14
A027024017,347,192,80,12,3,0,60
A027024018,475,187,110,88,37,16,37
A027024019,293,170,97,15,4,1,6
A027024020,322,162,80,36,2,0,42
A027024021,309,169,85,36,4,0,15
A027024022,368,172,109,53,12,6,16
A027024023,387,242,99,38,3,1,4
A027024024,274,154,81,16,3,1,19
A027024025,306,170,96,21,9,0,10
A027024026,225,64,63,23,6,2,67
A027024027,458,257,118,45,4,1,33
A027024028,204,122,69,13,0,0,0
A027025001,345,212,105,18,3,1,6
A027025002,188,123,42,8,2,0,13
A027025003,174,115,40,7,1,0,11
A027025004,239,141,71,18,4,0,5
A027025005,112,43,49,17,2,0,1
A027025006,311,177,85,37,6,2,4
A027025007,229,116,76,33,2,1,1
A027025008,248,113,95,34,1,0,5
A027025009,199,90,49,48,6,1,5
A027025010,234,87,97,27,8,3,12
A027025011,217,114,66,20,9,1,7
A027025012,156,73,56,19,1,2,5
A027025013,308,176,87,28,5,1,11
A027025014,346,173,105,46,15,3,4
A027025015,138,56,55,20,6,0,1
A027025016,146,71,41,27,2,0,5
A027025017,172,81,52,28,5,1,5
A027025018,120,40,40,30,2,3,5
A027026001,161,80,40,17,1,0,23
A027026002,237,99,100,28,4,0,6
A027027001,197,102,69,17,4,1,4
