ethn..geo_code,ethn..total_persons,ethn..ethnic_group_e_s_w_white_english_welsh_scottish_northern_irish_british_unit_persons,ethn..ethnic_group_e_s_w_white_irish_unit_persons,ethn..ethnic_group_e_s_w_white_gypsy_or_irish_traveller_unit_persons,ethn..ethnic_group_e_s_w_white_other_white_unit_persons,ethn..ethnic_group_e_s_w_mixed_multiple_ethnic_group_white_and_black_caribbean_unit_persons,ethn..ethnic_group_e_s_w_mixed_multiple_ethnic_group_white_and_black_african_unit_persons,ethn..ethnic_group_e_s_w_mixed_multiple_ethnic_group_white_and_asian_unit_persons,ethn..ethnic_group_e_s_w_mixed_multiple_ethnic_group_other_mixed_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_indian_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_pakistani_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_bangladeshi_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_chinese_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_other_asian_unit_persons,ethn..ethnic_group_e_s_w_black_african_caribbean_black_british_african_unit_persons,ethn..ethnic_group_e_s_w_black_african_caribbean_black_british_caribbean_unit_persons,ethn..ethnic_group_e_s_w_black_african_caribbean_black_british_other_black_unit_persons,ethn..ethnic_group_e_s_w_other_ethnic_group_arab_unit_persons,ethn..ethnic_group_e_s_w_other_ethnic_group_any_other_ethnic_group_unit_persons,ethn..white_or_white_british,ethn..black_or_black_british,ethn..asian_or_asian_british,ethn..mixed_multiple_ethnicity,ethn..other_ethnicity
W00000125,269,264,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,266,0,1,1,1
W00000126,465,448,3,0,3,0,2,2,1,0,0,0,3,0,1,0,0,2,0,454,1,3,5,2
W00000127,314,305,3,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,0,308,0,0,5,1
W00000128,243,240,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,241,0,0,1,1
W00000129,292,285,0,0,2,1,0,0,0,0,0,0,0,1,0,3,0,0,0,287,3,1,1,0
W00000130,166,161,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0
W00000131,214,205,0,1,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,213,1,0,0,0
W00000132,302,291,4,0,0,1,0,2,0,0,1,0,0,0,3,0,0,0,0,295,3,1,3,0
W00000133,474,449,5,3,9,1,0,0,2,1,0,0,0,1,0,0,0,2,1,466,0,2,3,3
W00000134,364,340,1,5,12,1,0,0,0,1,1,0,0,1,2,0,0,0,0,358,2,3,1,0
W00000135,378,370,1,0,1,2,1,0,1,1,0,0,1,0,0,0,0,0,0,372,0,2,4,0
W00000136,333,324,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,0,0,0,0
W00000137,227,224,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,224,0,2,1,0
W00000138,313,308,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,311,0,0,2,0
W00000139,419,417,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,417,0,0,2,0
W00000140,401,392,0,0,4,2,0,1,0,1,0,0,0,1,0,0,0,0,0,396,0,2,3,0
W00000141,287,279,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,281,0,0,6,0
W00000142,294,293,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,0,0,0,0
W00000143,264,255,4,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,0,259,1,0,4,0
W00000144,281,268,7,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,277,0,0,4,0
W00000145,374,372,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,372,0,2,0,0
W00000146,315,285,4,0,18,0,0,0,0,0,0,0,4,2,0,0,0,2,0,307,0,6,0,2
W00000147,259,246,2,0,0,3,1,0,1,5,0,0,0,0,0,1,0,0,0,248,1,5,5,0
W00000148,148,146,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0
W00000149,284,276,4,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,283,0,1,0,0
W00000150,363,353,4,0,1,0,0,0,2,0,0,0,3,0,0,0,0,0,0,358,0,3,2,0
W00000151,307,292,6,0,0,5,0,3,0,0,0,0,0,1,0,0,0,0,0,298,0,1,8,0
W00000152,306,297,2,0,1,1,0,4,0,0,0,0,0,0,0,0,0,1,0,300,0,0,5,1
W00000153,287,271,0,1,0,2,0,3,6,0,0,0,3,0,0,0,0,0,1,272,0,3,11,1
W00000154,266,256,6,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,263,0,0,3,0
W00000155,325,307,13,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,322,0,0,2,1
W00000156,252,248,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,248,0,1,2,1
W00000157,340,338,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,339,0,0,1,0
W00000158,364,360,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,362,0,2,0,0
W00000159,313,310,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,311,0,0,0,2
W00000160,276,273,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,0,0,0,0
W00000161,203,201,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,202,0,0,1,0
W00000162,262,252,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,258,0,0,4,0
W00000163,354,342,7,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,352,0,0,1,1
W00000164,245,235,4,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,243,2,0,0,0
W00000165,279,273,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,277,1,0,1,0
W00000166,303,289,4,0,0,0,0,5,0,0,0,0,0,1,0,0,0,4,0,293,0,1,5,4
W00000167,324,309,4,1,0,0,0,0,3,4,0,0,1,1,0,0,0,0,1,314,0,6,3,1
W00000168,266,263,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,263,0,0,3,0
W00000169,332,325,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332,0,0,0,0
W00000170,263,262,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,0,0,0,0
W00000171,379,375,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379,0,0,0,0
W00000172,259,257,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,258,0,0,1,0
W00000173,253,241,3,0,1,3,0,0,0,0,0,0,5,0,0,0,0,0,0,245,0,5,3,0
W00000174,288,271,6,0,0,1,1,6,0,0,0,1,0,2,0,0,0,0,0,277,0,3,8,0
W00000175,403,397,3,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,400,0,1,2,0
W00000176,275,273,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,274,0,0,1,0
W00000177,282,256,7,0,9,3,3,0,0,0,1,0,3,0,0,0,0,0,0,272,0,4,6,0
W00000178,315,308,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,0,0,0,0
W00000179,306,297,1,0,1,0,1,2,1,0,0,0,0,0,1,0,0,2,0,299,1,0,4,2
W00000180,285,276,2,0,1,3,0,0,3,0,0,0,0,0,0,0,0,0,0,279,0,0,6,0
W00000181,252,236,3,1,6,5,0,1,0,0,0,0,0,0,0,0,0,0,0,246,0,0,6,0
W00000182,240,232,3,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,236,0,1,3,0
W00000183,332,318,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332,0,0,0,0
W00000184,298,287,6,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,296,1,0,0,1
W00000185,296,293,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,0,0,0,0
W00000186,268,246,2,0,0,0,0,1,4,0,0,3,2,0,0,0,0,10,0,248,0,5,5,10
W00000187,295,288,1,0,2,0,0,1,0,0,0,1,1,0,0,0,0,0,1,291,0,2,1,1
W00000188,236,227,0,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,234,0,0,2,0
W00000189,277,273,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,0,0,0,0
W00000190,236,234,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0
W00000191,259,238,3,0,7,0,3,1,2,1,0,0,1,0,2,0,0,1,0,248,2,2,6,1
W00000192,328,315,2,0,7,3,0,0,0,0,1,0,0,0,0,0,0,0,0,324,0,1,3,0
W00000193,276,263,0,1,1,3,1,5,1,0,0,0,0,0,1,0,0,0,0,265,1,0,10,0
W00000194,374,360,1,0,9,1,0,3,0,0,0,0,0,0,0,0,0,0,0,370,0,0,4,0
W00000195,357,355,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,356,0,0,1,0
W00000196,286,282,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286,0,0,0,0
W00000197,330,321,0,1,0,0,0,1,2,0,0,0,0,1,4,0,0,0,0,322,4,1,3,0
W00000198,275,263,2,0,3,0,0,4,1,2,0,0,0,0,0,0,0,0,0,268,0,2,5,0
W00000199,208,204,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,0,0,0
W00000200,334,327,3,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,330,0,2,2,0
W00000201,149,143,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,148,0,0,1,0
W00000202,331,321,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,329,0,0,1,1
W00000203,304,296,2,0,3,0,0,1,0,0,0,0,0,2,0,0,0,0,0,301,0,2,1,0
W00000204,207,200,4,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,205,0,1,1,0
W00000205,177,174,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,0,0,0
W00000206,274,262,3,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,273,0,0,1,0
W00000207,244,237,4,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,242,0,1,1,0
W00000208,376,362,0,0,7,0,0,0,0,0,0,0,6,0,1,0,0,0,0,369,1,6,0,0
W00000209,226,225,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,225,0,0,1,0
W00000210,528,515,0,0,2,5,0,0,0,4,0,0,0,1,1,0,0,0,0,517,1,5,5,0
W00000211,128,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0
W00000212,325,313,0,0,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,323,0,0,2,0
W00000213,339,308,7,0,4,1,0,1,0,3,0,0,2,3,5,0,0,5,0,319,5,8,2,5
W00000214,336,308,0,0,7,3,0,5,1,0,0,0,9,2,0,0,0,0,1,315,0,11,9,1
W00000215,309,283,2,0,6,0,2,0,0,5,3,0,2,1,0,0,0,5,0,291,0,11,2,5
W00000216,298,265,0,0,7,1,0,0,0,0,1,0,2,7,0,0,0,15,0,272,0,10,1,15
W00000217,288,272,1,1,3,0,0,0,2,0,0,0,2,1,0,0,0,2,4,277,0,3,2,6
W00000218,280,261,1,0,2,0,0,6,0,0,5,0,3,2,0,0,0,0,0,264,0,10,6,0
W00000219,296,262,4,4,1,1,0,1,0,0,0,11,0,1,0,0,0,9,2,271,0,12,2,11
W00000220,387,375,5,0,0,4,0,0,0,0,0,1,0,0,0,1,0,0,1,380,1,1,4,1
W00000221,270,263,3,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,267,1,0,2,0
W00000222,257,249,4,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,253,0,0,3,1
W00000223,322,314,4,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,320,0,1,1,0
W00000224,296,288,2,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,293,0,0,3,0
W00000225,265,260,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,263,0,0,2,0
W00000226,303,296,2,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,299,0,4,0,0
W00000227,261,253,5,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,258,0,1,2,0
W00000228,289,286,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,0,0,0,0
W00000229,368,361,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,2,0
W00000230,308,296,2,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,307,0,0,1,0
W00000231,252,246,3,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,249,1,1,1,0
W00000232,265,259,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,0,0,0,0
W00000233,153,149,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,152,0,0,1,0
W00000234,208,203,0,0,1,0,0,1,0,0,0,0,2,1,0,0,0,0,0,204,0,3,1,0
W00000235,404,391,0,1,1,2,2,5,0,0,1,0,0,0,1,0,0,0,0,393,1,1,9,0
W00000236,305,303,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,304,0,1,0,0
W00000237,270,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,0,0,0,0
