rel..oa_id,rel..total_persons,rel..christian,rel..buddhist,rel..hindu,rel..jewish,rel..muslim,rel..sikh,rel..other_religion,rel..no_religion,rel..religion_not_stated
W00003532,102,70,0,0,0,0,0,0,25,7
W00003533,289,153,2,3,0,0,0,4,105,22
W00003534,304,149,0,0,0,8,0,1,124,22
W00003535,265,156,1,2,0,0,0,2,85,19
W00003536,269,155,3,0,0,1,0,2,93,15
W00003537,319,177,2,0,0,1,0,0,117,22
W00003538,302,196,0,0,0,0,0,0,81,25
W00003539,357,202,0,0,0,3,0,4,114,34
W00003540,242,121,0,0,0,0,0,4,95,22
W00003541,279,158,0,0,0,5,0,4,89,23
W00003542,363,184,2,0,0,0,3,4,135,35
W00003543,313,175,0,0,0,1,0,1,107,29
W00003544,251,116,2,0,0,0,0,4,92,37
W00003545,241,126,1,0,0,4,0,2,96,12
W00003546,312,165,1,0,0,0,7,2,115,22
W00003547,349,183,0,0,0,0,3,0,126,37
W00003548,256,148,0,1,1,2,0,2,76,26
W00003549,289,127,4,0,0,3,0,3,140,12
W00003550,323,190,0,1,0,0,2,1,111,18
W00003552,346,153,0,0,0,2,0,1,168,22
W00003553,305,138,1,0,0,1,0,2,133,30
W00003554,275,126,0,0,0,4,0,1,122,22
W00003555,270,162,0,0,0,0,0,0,87,21
W00003556,264,149,1,0,0,1,0,5,84,24
W00003557,245,159,0,0,0,0,0,0,72,14
W00003558,146,92,2,0,0,0,0,0,36,16
W00003559,312,204,0,0,0,0,0,1,63,44
W00003560,298,169,1,0,0,0,0,0,108,20
W00003561,331,191,2,0,0,0,0,0,93,45
W00003562,268,165,1,0,0,0,0,0,86,16
W00003563,290,221,0,0,0,0,0,0,56,13
W00003564,320,177,0,1,0,0,0,0,104,38
W00003565,336,159,0,2,0,8,0,1,134,32
W00003566,255,167,0,0,0,0,0,1,67,20
W00003567,444,248,0,0,0,0,0,3,162,31
W00003568,331,222,1,0,0,0,0,1,92,15
W00003569,402,269,1,0,3,0,0,3,98,28
W00003570,392,260,1,0,0,3,0,0,96,32
W00003571,308,201,0,0,0,0,0,0,87,20
W00003572,218,130,1,0,0,0,0,0,74,13
W00003573,435,304,1,0,0,0,0,0,108,22
W00003574,423,270,3,0,0,0,0,3,106,41
W00003575,252,167,0,1,0,0,0,3,61,20
W00003576,282,205,0,0,0,0,0,1,65,11
W00003577,324,201,0,0,0,0,0,0,92,31
W00003578,305,212,0,2,0,0,0,0,69,22
W00003579,293,213,0,0,0,0,0,3,59,18
W00003580,247,142,0,0,0,0,0,0,83,22
W00003581,283,142,1,0,0,0,0,0,115,25
W00003582,332,170,0,0,0,2,0,2,138,20
W00003583,137,78,0,0,0,0,0,0,48,11
W00003584,297,217,0,1,0,0,0,1,59,19
W00003585,291,170,2,0,0,0,0,0,93,26
W00003586,347,255,0,0,0,0,0,0,64,28
W00003587,365,231,2,0,0,1,0,1,118,12
W00003588,329,202,0,0,0,0,0,0,103,24
W00003589,279,184,1,0,0,1,0,0,72,21
W00003590,367,197,0,4,1,0,0,2,109,54
W00003591,278,183,3,0,0,0,0,2,74,16
W00003592,287,179,2,0,3,0,0,2,87,14
W00003593,251,156,2,0,0,1,0,1,77,14
W00003594,284,185,0,0,0,0,0,5,66,28
W00003595,264,172,0,0,0,0,0,1,73,18
W00003596,300,186,1,0,0,0,0,3,84,26
W00003597,258,172,0,2,0,0,0,0,63,21
W00003598,258,184,3,0,0,0,0,0,56,15
W00003599,335,211,0,0,1,1,0,3,89,30
W00003600,286,177,0,2,0,1,0,4,73,29
W00003601,298,200,0,0,0,0,0,1,69,28
W00003602,431,266,1,0,0,0,1,6,126,31
W00003603,264,162,2,0,0,0,0,1,83,16
W00003604,228,145,0,0,0,0,0,0,62,21
W00003605,299,203,0,0,0,0,0,5,70,21
W00003606,280,170,1,0,0,0,0,0,79,30
W00003607,299,185,0,4,0,0,0,0,83,27
W00003608,442,275,7,1,0,0,0,3,127,29
W00003609,274,195,1,0,0,0,0,1,63,14
W00003610,274,171,1,0,0,1,0,1,85,15
W00003611,427,300,0,0,0,0,0,1,96,30
W00003612,305,193,1,0,0,0,0,1,86,24
W00003613,432,295,1,0,0,0,0,3,98,35
W00003614,209,133,0,1,0,0,0,2,42,31
W00003615,209,137,0,3,0,0,0,0,56,13
W00003616,180,104,3,0,1,0,0,0,47,25
W00003617,219,124,0,3,0,0,0,0,77,15
W00003618,405,261,2,1,0,0,0,0,112,29
W00003619,318,227,1,0,1,0,1,3,65,20
W00003620,258,155,0,0,0,2,0,0,82,19
W00003621,275,174,0,0,0,0,0,5,68,28
W00003622,131,81,0,0,0,0,0,1,44,5
W00003623,215,126,1,0,0,0,2,4,61,21
W00003624,391,261,1,0,5,1,0,2,98,23
W00003625,351,233,3,1,0,0,0,3,75,36
W00003626,409,249,2,0,0,0,0,8,111,39
W00003627,362,231,1,1,0,0,0,2,93,34
W00003628,290,164,3,0,0,0,0,3,88,32
W00003629,284,192,0,1,0,0,0,0,73,18
W00003630,394,270,2,1,0,1,0,2,69,49
W00003631,371,259,0,0,0,2,0,2,75,33
W00003632,367,256,2,0,0,0,0,3,74,32
W00003633,271,176,2,0,0,0,0,1,67,25
W00003634,257,205,0,0,0,0,0,1,42,9
W00003635,303,160,0,0,0,0,4,3,102,34
W00003636,244,152,0,0,0,0,0,0,71,21
