house..oa_id,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
E00037526,92,17,14,15,17,10,15,4
E00037527,126,20,13,77,8,0,6,2
E00037528,130,18,13,42,25,17,12,3
E00037529,113,7,15,38,23,19,6,5
E00037530,119,19,15,29,28,12,7,9
E00037531,119,18,21,32,24,15,5,4
E00037532,137,34,40,40,11,2,8,2
E00037533,145,21,33,37,24,20,5,5
E00037534,133,17,43,44,16,10,2,1
E00037535,149,18,31,41,28,16,12,3
E00037536,130,8,10,41,42,13,7,9
E00037537,110,29,23,23,15,8,9,3
E00037538,122,9,16,45,32,7,10,3
E00037539,119,18,31,22,15,20,11,2
E00037540,187,18,24,79,46,10,8,2
E00037541,132,17,25,50,18,15,6,1
E00037542,139,16,20,66,27,7,3,0
E00037543,174,16,38,47,47,13,9,4
E00037544,107,11,9,46,25,5,6,5
E00037545,133,12,19,43,31,13,9,6
E00037546,140,26,42,40,20,5,6,1
E00037547,114,24,5,39,25,11,8,2
E00037548,118,13,18,41,29,13,1,3
E00037549,140,26,46,41,12,5,9,1
E00037550,171,20,48,59,24,10,9,1
E00037551,134,23,9,58,27,4,7,6
E00037553,128,19,16,51,22,9,10,1
E00037554,103,12,13,35,25,10,5,3
E00037555,137,17,38,51,19,8,2,2
E00037556,111,22,8,26,34,13,8,0
E00037557,121,16,46,31,13,5,9,1
E00037558,117,13,20,40,24,7,7,6
E00037559,136,25,13,51,37,2,5,3
E00037560,143,20,45,34,17,17,8,2
E00037561,167,20,51,50,27,8,8,3
E00037562,128,9,49,26,15,18,11,0
E00037563,122,14,16,45,30,4,8,5
E00037564,66,6,8,26,14,3,5,4
E00037565,115,12,23,22,29,17,7,5
E00037566,131,17,35,23,24,24,8,0
E00037567,82,13,9,29,10,12,5,4
E00037568,95,11,28,19,12,15,6,4
E00037569,140,34,22,51,19,1,9,4
E00037573,124,17,22,35,27,9,11,3
E00037580,108,14,34,23,14,6,14,3
E00037581,116,9,32,30,11,25,8,1
E00037582,124,12,44,29,13,16,8,2
