rel..oa_id,rel..proportion_of_oa_within_co_m_boundary,rel..total_persons,rel..christian_church_of_scotland,rel..christian_roman_catholic,rel..christian_other_christian,rel..buddhist,rel..hindu,rel..jewish,rel..muslim,rel..sikh,rel..other_religion,rel..no_religion,rel..religion_not_stated
S00095058,0.99999999999869105,153,67,10,3,0,0,0,0,0,0,57,16
S00095059,1.0000000000020599,158,64,9,7,0,0,0,0,0,0,68,10
S00095060,1.00000000000084,82,28,2,10,0,0,0,0,0,0,33,9
S00095061,1.0000000000005,142,56,4,9,0,0,1,0,0,0,54,18
S00095062,1.00000000002195,108,50,6,8,0,0,0,0,0,0,38,6
S00095063,1.0000000000507101,88,11,6,3,0,0,0,0,0,0,53,15
S00095064,0.99999999999075495,146,82,10,4,0,0,0,0,0,0,42,8
S00095065,1.0000000000031599,148,42,8,7,0,0,0,1,0,0,86,4
S00095066,1.00000000000221,159,50,12,11,0,0,0,0,0,0,62,24
S00095067,0.99999999999582301,103,31,13,0,0,0,0,0,0,0,52,7
S00095068,1.00000000000115,101,36,5,6,0,0,0,0,0,0,46,8
S00095069,1.0000000000018801,145,85,12,6,4,0,0,0,0,0,35,3
S00095070,1.0000000000046101,102,37,10,2,0,0,0,0,0,0,48,5
S00095071,1.00000000001522,123,45,10,12,0,0,0,0,0,1,44,11
S00095072,1.0000000000028599,96,18,8,7,0,0,0,0,0,0,62,1
S00095073,0.99999999995060995,104,24,5,4,0,0,0,5,0,0,57,9
S00095074,0.99999999999894196,53,7,8,3,0,0,0,0,0,0,29,6
S00095075,0.99999999999069,95,31,4,10,0,0,0,0,0,0,44,6
S00095076,1.0000000000353499,61,30,5,4,0,0,0,0,0,0,19,3
S00095077,0.99999999999439504,116,17,23,11,0,0,0,0,0,0,60,5
S00095078,1.0000000000040601,126,42,7,4,0,0,0,0,0,0,56,17
S00095079,1.00000000000192,116,18,28,8,0,0,0,0,0,0,62,0
S00095080,0.99999999998748501,107,34,7,6,0,0,0,0,0,1,54,5
S00095081,0.99999999999865996,132,26,12,2,0,0,0,0,0,0,66,26
S00095082,1.0000000000060201,97,56,4,4,0,0,0,0,0,2,29,2
S00095083,0.99999999999627198,148,33,10,5,1,0,0,0,0,4,92,3
S00095084,1.00000000000034,98,33,15,9,0,0,0,0,0,0,36,5
S00095085,1.0000000000048099,121,24,6,11,0,0,0,0,0,1,64,15
