house..oa_id,house..proportion_of_oa_within_co_m_boundary,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
S00095214,0.99999999999213196,57,5,15,17,13,5,0,2
S00095215,1.0000000000065099,43,3,3,16,9,4,0,8
S00095216,0.99999999999563804,50,6,6,20,13,3,0,2
S00095217,1.00000000025894,59,3,10,24,14,2,0,6
S00095218,1.0000000000001401,45,6,8,22,5,1,0,3
S00095219,1.0000000000007201,65,8,3,32,11,7,0,4
S00095220,0.99999999999404598,32,3,12,13,4,0,0,0
S00095221,1.00000000000107,34,3,7,14,8,1,0,1
S00095222,1.00000000015952,46,5,17,13,11,0,0,0
S00095223,0.99999999998033295,44,5,14,12,8,1,0,4
S00095224,0.99999999994531297,44,4,5,29,5,1,0,0
S00095225,1.0000000000743601,39,4,8,15,8,2,0,2
S00095226,1.0000000000039,56,4,14,26,10,1,0,1
S00095227,1.0000000000020299,38,5,13,14,2,0,1,3
S00095228,0.99999999998944999,42,1,20,8,8,1,2,2
S00095229,0.999999999725246,34,3,8,10,6,3,1,3
S00095230,0.99999999999077305,46,3,25,9,5,1,0,3
S00095231,0.99999999993470401,32,3,7,14,7,1,0,0
S00095232,0.99999999998056299,31,10,12,3,4,2,0,0
S00095233,0.99999999999974098,47,4,5,18,15,3,2,0
S00095234,0.99999999999948697,65,4,37,7,9,7,0,1
S00095235,0.999999999975557,46,3,7,12,14,4,1,5
S00095236,0.999999999999856,54,7,18,8,11,7,1,2
S00095237,1.0000000000009499,47,7,8,10,9,7,1,5
S00095238,1.0000000000006,40,2,6,4,9,12,1,6
S00095271,1.0000000000940901,49,11,16,7,5,7,0,3
S00095272,0.99999999999642997,45,8,12,12,6,5,1,1
S00095273,1.00000000000084,52,8,5,24,4,5,1,5
S00095274,1.0000000000426199,44,0,7,18,11,4,0,4
S00095275,0.99999999999982203,58,1,7,22,17,8,0,3
S00095276,1.0000000000007301,60,10,8,18,12,1,3,8
S00095277,1.0000000001073499,52,10,4,20,8,1,2,7
S00095278,1.0000000000006699,47,7,6,20,9,1,0,4
S00095279,0.999999999998327,49,5,16,8,11,4,1,4
S00095280,0.999999999975696,42,9,15,14,3,1,0,0
S00095281,1.0000000000165301,67,22,8,24,4,1,1,7
S00095282,0.99999999998620304,53,6,5,22,16,2,0,2
S00095283,1.0000000001379199,76,12,32,13,7,5,0,7
S00095284,0.99999999997858302,67,10,35,10,6,1,0,5
S00095285,0.99999999999467204,46,3,26,12,2,2,0,1
S00095286,1.00000000018777,67,2,38,5,7,0,1,14
S00095287,0.999999999996249,51,6,21,11,6,0,0,7
S00095288,0.99999999999859801,69,6,31,11,6,4,1,10
S00095289,0.99999999999119304,69,5,27,17,5,2,1,12
S00095290,0.99999999994713196,49,5,24,14,4,0,0,2
S00095291,1.0000000000023901,67,5,20,11,5,18,0,8
S00095292,0.99999999991991295,73,12,30,8,9,6,1,7
S00095293,1.0000000000076299,40,4,18,10,3,2,0,3
S00095294,0.99999999999398903,37,3,24,6,2,1,0,1
S00095295,0.99999999999923395,58,2,27,14,7,4,1,3
S00095296,1.00000000000418,56,8,21,19,6,0,0,2
S00095297,1.00000000003281,37,3,22,7,2,2,0,1
S00095298,0.99999999999426603,41,8,8,16,4,0,1,4
S00095299,1.0000000000042799,70,31,13,20,5,0,0,1
S00095300,0.99999999998515399,44,7,16,11,5,1,0,4
S00095301,1.00000000000061,62,6,4,31,17,0,1,3
S00095302,0.99999999991441002,69,6,22,24,14,1,1,1
S00095303,1.00000000000556,40,4,15,14,3,3,0,1
S00095304,0.99999999999823797,45,1,27,11,2,1,0,3
S00095305,1.000000000005,63,6,19,19,13,2,0,4
S00095306,1.0000000000174201,55,4,36,5,7,2,0,1
S00095307,0.99999999999733702,45,2,9,18,11,2,0,3
S00095308,0.999999999994447,51,4,4,28,7,6,0,2
S00095309,0.99999999995209099,57,7,13,16,12,6,0,3
S00095310,1.00000002519958,51,4,23,12,8,1,1,2
S00095311,1.0000000000040401,59,6,21,17,7,3,1,4
S00095312,0.99999999996014899,77,6,34,20,5,7,1,4
S00095313,1.0000000001895999,74,9,27,13,6,11,2,6
S00095314,1.0000000000034199,63,5,16,20,9,6,0,7
S00095315,0.99999999993484201,46,3,6,26,8,0,0,3
S00095316,0.99999999995667999,62,5,9,32,12,0,0,4
S00095317,0.99999999999820799,65,10,22,26,5,0,0,2
S00095318,0.99999999999545897,42,9,1,22,7,0,1,2
S00095319,0.99999999999054301,26,2,1,18,3,0,0,2
S00095320,0.99999999999776501,43,4,8,18,9,3,0,1
S00095321,0.99999999995395095,40,1,5,24,8,0,1,1
S00095322,0.99999999999921796,64,4,45,6,3,2,0,4
S00095323,0.99999999999455602,49,7,11,15,9,5,0,2
S00095324,1.0000000000034499,55,7,10,22,9,2,0,5
S00095325,1.00000000000633,49,10,7,19,3,4,0,6
S00095326,0.99999999999968503,57,14,13,11,7,6,0,6
S00095327,0.999999999964019,54,17,13,9,6,4,1,4
S00095328,0.99999999999533296,41,1,17,5,9,7,0,2
S00095329,0.99999999998845102,54,12,9,15,5,8,0,5
S00095330,0.99999999999058098,80,7,31,21,12,5,1,3
S00095331,1.0000000000642599,75,12,19,18,16,5,0,5
S00095332,0.999999999999165,50,3,14,7,5,12,1,8
S00095333,0.99999999999367395,44,5,6,15,10,2,0,6
S00095334,0.99999999999646005,60,10,7,23,12,3,0,5
S00095335,1.00000000001502,82,14,40,11,7,4,2,4
S00095336,0.99999999999921896,46,2,4,28,8,0,0,4
S00095337,0.99999999999147604,74,6,13,25,8,6,0,16
S00095338,0.99999999999995104,49,3,9,17,12,6,1,1
S00095339,0.99999999999848799,34,0,4,15,10,2,0,3
S00095340,0.999999999508424,54,4,14,18,3,7,1,7
S00095341,0.99999999996881095,76,5,20,14,18,11,3,5
S00095342,1.0000000000006599,37,0,4,6,11,10,2,4
S00095343,0.99999999985152799,42,6,7,7,14,7,0,1
S00095344,0.99999999997819,43,2,19,11,5,2,0,4
S00095345,1.00000000001028,73,37,12,10,12,1,0,1
S00095346,0.99999999992863797,51,6,9,25,7,2,1,1
S00095347,0.99999999999538203,55,5,27,5,4,8,1,5
S00095348,0.99999999998163303,41,4,3,23,10,0,0,1
S00095349,1.0000000000010101,56,15,13,10,10,6,0,2
S00095350,1.0000000000013101,56,28,11,14,1,1,0,1
S00095351,1.00000000000333,49,1,13,17,13,0,1,4
S00095352,1.0000000000013001,67,7,7,20,24,3,3,3
S00095353,0.99999999994675903,69,10,30,10,9,2,0,8
S00095354,1.0000000000129901,40,2,17,10,4,4,1,2
S00095355,1.0000000000079401,81,13,25,17,8,9,2,7
S00095356,1.00000000000117,61,8,20,17,9,2,1,4
S00095357,1.00000000000108,42,10,14,9,3,3,0,3
S00095358,1.0000000000082501,43,7,5,16,8,1,0,6
S00095359,1.0000000000014999,48,16,3,19,4,3,0,3
S00095360,0.99999999999687195,39,11,12,10,2,1,0,3
S00095361,0.99999999999377498,52,17,8,15,7,3,0,2
S00095362,0.99999999999573896,46,6,0,18,16,3,1,2
S00095363,1.00000000000115,49,5,6,19,11,4,0,4
S00095364,0.64389083450480999,61,4,21,18,9,4,2,3
S00095365,0.99999996633578103,40,6,7,16,7,2,0,2
S00095366,0.44549204604532999,56,5,3,26,10,5,1,6
S00095367,0.28262474388560999,46,3,5,14,20,4,0,0
S00095368,0.99999999997200295,46,9,9,21,5,1,1,0
