ethn..geo_code,ethn..proportion_of_sa_within_co_m_boundary,ethn..total_persons,ethn..white_or_white_irish,ethn..black_or_black_irish,ethn..asian_or_asian_irish,ethn..mixed_other_ethnicity,ethn..not_stated
207071002,0.999999999997228,228,206,0,15,1,6
207071003,1.00000000000023,337,285,11,33,5,3
207071004/207071026,1.00000000000284,204,197,0,3,0,4
207071005,0.99999999999997602,222,222,0,0,0,0
207071006,1.00000000000002,124,122,0,0,2,0
207071007,1.0000000000001501,191,184,5,0,1,1
207071008,0.99999999999978095,143,141,0,0,1,1
207071009,0.99999999999835398,155,150,0,1,1,3
207071010,0.99999999999988698,223,222,0,0,1,0
207071011,0.999999999998749,135,124,0,1,6,4
207071012,1.0000000000002101,174,161,1,5,4,3
207071013,0.99999999999933797,196,193,0,3,0,0
207071014,1,198,194,0,1,3,0
207071015,1.00000000000029,257,245,1,3,2,6
207071016,0.99999999999720102,244,234,0,3,2,5
207071017,1.0000000000018401,444,429,4,2,1,8
207071018,1.0000000000000899,175,168,0,0,1,6
207071019,1.00000000000033,238,228,2,5,1,2
207071020,1.0000000000006799,222,221,0,1,0,0
207071021,1.0000000000020099,329,328,0,0,0,1
207071022,0.99999999999673705,185,183,0,0,1,1
207071023,1.00000000000107,409,381,6,15,2,5
207071024,0.99999999999935696,268,262,0,1,2,3
207071025,0.99999999999943101,162,153,1,1,2,5
207071027,1,235,227,0,2,0,6
207071028,0.99999999999897005,196,192,1,0,1,2
207071029,1.00000000000005,182,181,0,0,0,1
207071030,1.0000000000000799,177,177,0,0,0,0
207071031,0.99999999999025302,223,216,0,0,0,7
207071032,1.0000000000006699,164,150,0,0,0,14
207071033,0.99999999999842903,357,334,0,17,2,4
207071034,0.99999999999886902,219,209,5,0,0,5
207081001,1.00000000000024,254,246,0,1,2,5
207081002,0.99999999999962996,191,191,0,0,0,0
207081003,1.00000000000386,240,240,0,0,0,0
207081004,0.99999999999923594,122,117,1,0,4,0
207081005,1.00000000000027,159,157,0,0,0,2
207081006,1.00000000000002,203,198,0,4,0,1
207081007,0.99999999999956701,283,272,0,0,1,10
207081008,0.99999999999456402,193,157,4,23,6,3
207081009,0.99999999999967804,157,122,13,6,8,8
207081010,0.99999999999886802,210,182,6,5,13,4
207081011/207081020,0.99999999999874201,185,179,0,2,2,2
207081012,0.99999999999976796,253,226,0,19,0,8
207081013,0.99126727484594201,138,129,0,5,1,3
207081014,0.99999999999905498,215,206,0,1,4,4
207081015,0.99999999999869904,144,105,14,17,1,7
207081016,1,221,213,0,0,2,6
207081017,0.99999999999994005,194,177,6,5,6,0
207081018,0.99999999999823996,193,180,4,1,0,8
207081019,0.99999999999886702,308,282,1,18,1,6
207081021,1.00000000000002,227,212,0,2,1,12
207081022,0.99999999999982203,248,219,0,18,7,4
207081023,0.99999999999884703,159,151,0,0,0,8
207081024,1.0000000000007201,308,295,3,0,1,9
207081025,0.99999999999978295,174,172,0,0,0,2
207082001,1.0000000000004901,115,87,1,15,5,7
207082002,0.99999999999979605,146,99,10,17,9,11
207082003,0.99999999999838196,311,291,12,0,1,7
207082004,0.99999999999963096,257,196,6,44,1,10
207082005/207082006,1.0000000000065901,196,157,8,25,5,1
207082007,1.0000000000003699,100,88,0,0,1,11
207082008,0.99999999999796996,242,223,3,5,6,5
207082009,0.99999999999987998,252,244,0,1,5,2
207082010,1.00000000000025,223,214,0,0,6,3
207082011,0.99999999999855804,142,114,7,18,3,0
207082012,1.0000000000101399,260,229,7,11,4,9
207082013,1.0000000000084099,334,254,12,57,8,3
207082014,0.99999999999205802,285,256,0,17,7,5
207082015,0.99999999984012999,265,251,0,6,1,7
207082016,0.999999999997783,264,261,0,0,0,3
207082017,0.999999999998754,344,344,0,0,0,0
207082018,1.0000000000004301,304,298,0,0,2,4
207082019,1.0000000000003799,226,214,0,0,0,12
207082020,1.0000000000001801,247,242,0,0,2,3
207082021,1.00000000000135,263,253,8,0,1,1
207082022,0.99999999999976197,226,226,0,0,0,0
207082023,1.00000000000003,223,184,20,6,11,2
