house..oa_id,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
E00002211,138,15,11,52,33,13,8,6
E00002212,119,29,23,24,16,6,20,1
E00002213,123,5,11,43,36,7,13,8
E00002214,110,8,14,27,37,10,8,6
E00002215,103,17,5,35,27,9,7,3
E00002216,120,15,2,46,38,6,9,4
E00002217,119,14,10,28,43,8,8,8
E00002218,128,11,10,49,40,9,7,2
E00002219,125,11,9,40,41,10,9,5
E00002220,122,11,7,48,32,5,14,5
E00002221,114,4,7,40,48,6,5,4
E00002222,148,16,15,58,32,7,14,6
E00002223,113,11,7,45,33,2,8,7
E00002225,117,17,18,27,25,10,12,8
E00002226,131,16,25,29,31,11,9,10
E00002228,129,7,12,34,41,9,16,10
E00002229,122,10,11,35,41,13,8,4
E00002230,133,14,14,51,36,7,7,4
E00002231,121,14,13,43,26,9,14,2
E00002232,127,8,14,43,35,14,9,4
E00002233,118,6,10,36,37,12,11,6
E00002234,118,16,10,41,34,4,9,4
E00002235,148,15,13,48,53,12,6,1
E00002236,118,33,31,25,15,4,8,2
E00002237,129,9,14,48,33,7,8,10
E00002238,130,14,8,48,35,6,11,8
E00002239,139,18,12,60,28,2,15,4
E00002275,127,7,7,36,27,20,13,17
E00002276,60,2,19,9,8,10,9,3
E00002277,120,4,30,12,22,31,11,10
E00002279,144,6,25,38,30,18,16,11
E00002280,122,3,10,28,29,18,25,9
E00002281,167,6,26,33,36,30,25,11
E00002282,90,2,15,17,23,20,5,8
E00002283,106,10,23,17,22,14,12,8
E00002284,126,3,17,26,39,12,22,7
E00002285,127,4,31,17,42,11,8,14
E00002286,114,0,24,21,39,20,6,4
E00002287,133,6,40,25,35,10,9,8
E00002288,144,11,19,28,33,22,15,16
E00002289,136,8,30,30,32,18,10,8
E00002290,118,5,30,27,25,14,10,7
E00002291,134,2,31,26,34,23,10,8
E00002292,128,17,44,25,14,11,12,5
E00002293,136,5,25,23,40,12,17,14
E00002294,119,3,28,23,25,23,11,6
E00002295,134,17,59,8,11,27,9,3
E00002296,128,6,17,30,30,16,13,16
E00002297,126,4,42,18,28,20,9,5
E00002298,154,8,53,24,12,32,11,14
