health..oa_id,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
E00003822,280,99,116,38,24,3
E00003823,292,140,98,38,13,3
E00003824,319,170,103,26,17,3
E00003825,265,98,90,49,16,12
E00003826,283,120,108,43,10,2
E00003827,318,135,124,46,11,2
E00003828,275,111,109,37,15,3
E00003829,308,175,88,29,12,4
E00003830,337,147,122,43,18,7
E00003831,347,157,117,49,18,6
E00003832,274,119,90,44,14,7
E00003833,274,103,91,55,21,4
E00003834,306,178,99,23,5,1
E00003835,223,109,89,21,2,2
E00003836,298,133,107,47,7,4
E00003837,273,109,92,53,17,2
E00003838,233,82,91,42,15,3
E00003839,233,125,73,26,5,4
E00003895,327,180,100,36,6,5
E00003899,260,146,76,18,15,5
E00003947,223,124,69,18,11,1
E00004006,278,132,111,31,4,0
E00004067,283,165,86,26,5,1
E00004075,342,185,114,38,2,3
E00004076,331,148,125,47,8,3
E00004077,418,232,142,34,10,0
E00004078,428,233,140,39,13,3
E00004079,288,157,93,27,9,2
E00004080,373,194,121,49,8,1
E00004081,352,166,130,43,7,6
E00004082,280,135,104,30,8,3
E00004083,428,224,112,62,19,11
E00004084,209,81,71,44,10,3
E00004085,328,174,118,31,4,1
E00004086,305,147,120,30,5,3
E00004087,267,123,97,33,10,4
E00004088,406,235,126,39,5,1
E00004089,375,191,130,46,5,3
E00004090,270,130,111,23,6,0
E00004091,466,248,169,40,5,4
E00004092,317,130,113,49,19,6
E00004093,314,171,99,30,11,3
E00004094,253,103,99,31,14,6
E00004095,314,150,114,45,4,1
E00004096,366,214,124,22,4,2
E00004097,154,8,55,63,22,6
E00004098,386,186,125,57,14,4
E00004099,341,188,115,34,2,2
E00004100,315,142,135,31,5,2
E00004101,380,200,130,40,10,0
E00004102,309,147,129,30,3,0
E00004103,301,147,109,34,9,2
E00004104,361,211,124,22,3,1
E00004105,363,210,116,33,1,3
E00004106,325,192,93,34,4,2
E00004107,320,199,91,22,6,2
E00004108,353,169,147,33,3,1
E00004109,229,86,84,44,11,4
E00004110,294,170,97,23,3,1
E00004111,343,197,107,32,7,0
E00004112,301,165,92,32,9,3
E00004113,333,190,122,15,5,1
E00004114,338,212,94,30,2,0
E00004115,277,99,109,45,20,4
E00004116,360,202,122,27,9,0
E00004117,375,194,136,38,7,0
E00004118,351,197,114,32,5,3
E00004119,345,157,145,36,6,1
E00004854,284,127,114,30,9,4
E00004855,286,136,115,20,13,2
E00004856,276,128,105,30,9,4
E00004857,401,191,126,44,29,11
E00004858,296,113,102,50,21,10
E00004859,464,203,166,55,30,10
E00004860,151,69,55,19,5,3
E00004861,296,116,138,32,9,1
E00004862,292,148,103,27,10,4
E00004863,305,155,106,39,4,1
E00004864,304,142,100,48,7,7
E00004865,301,119,137,32,11,2
E00004866,294,142,106,32,9,5
E00004867,240,108,88,34,6,4
E00004868,218,110,78,18,10,2
E00004869,242,113,96,26,7,0
E00004870,254,111,101,26,11,5
E00004871,321,150,135,29,6,1
E00004872,279,153,78,33,13,2
E00004873,340,167,120,34,13,6
E00004874,311,129,121,36,20,5
E00004875,267,157,89,16,5,0
E00004876,274,152,78,28,12,4
E00004877,273,131,108,24,10,0
E00004878,328,149,119,45,8,7
E00004879,238,130,79,23,1,5
E00004880,238,95,94,37,11,1
E00004881,144,40,53,36,14,1
E00004882,330,143,144,31,10,2
E00004883,312,143,130,37,2,0
E00004884,466,237,154,61,12,2
E00004885,322,166,114,28,11,3
E00004886,261,117,90,36,15,3
E00004887,225,96,62,42,19,6
E00004888,193,81,87,17,6,2
E00004889,297,158,108,22,8,1
E00004890,189,89,67,19,13,1
E00004891,237,106,76,38,14,3
E00004892,324,172,105,34,8,5
E00004893,195,47,73,45,17,13
E00004894,270,141,89,31,8,1
E00004895,234,108,92,22,9,3
E00004896,297,150,103,30,11,3
E00004897,286,139,117,23,7,0
E00004898,287,146,103,27,9,2
E00004899,265,115,88,41,17,4
E00004900,302,176,88,19,16,3
E00004901,297,132,115,37,11,2
E00004902,306,145,113,38,6,4
E00004903,130,60,52,15,1,2
E00004904,262,119,90,43,8,2
E00004905,306,174,88,36,6,2
E00004906,241,109,100,28,4,0
