pop..soa_code,pop..total_persons,pop..males,pop..females,pop..x0_15_years,pop..x16_39_years,pop..x40_64_years,pop..x65_years
95HH14W1,1495,686,809,262,428,451,354
95HH15W1,2434,1130,1303,384,672,910,468
95HH16W1,2046,1011,1034,328,470,731,517
95HH17W1,2349,1201,1147,388,621,896,444
95JJ02W1,2380,1173,1207,392,570,842,576
95JJ03S1,1450,696,754,422,429,408,191
95JJ03S2,1130,557,573,294,340,372,124
95JJ05W1,2564,1147,1417,272,1232,609,451
95JJ07W1,2926,1346,1580,717,939,843,427
95JJ08S1,1417,694,722,201,302,513,401
95JJ08S2,1881,893,988,325,675,581,300
95JJ09W1,2001,1003,997,293,414,699,595
95JJ11S1,1752,860,893,309,418,670,355
95JJ11S2,1884,935,949,330,436,715,403
95JJ13S1,2190,1066,1124,493,625,804,268
95JJ13S2,1611,804,807,251,397,548,415
95JJ15W1,2021,1020,1000,303,533,593,592
95JJ16W1,1716,855,861,235,466,550,465
95JJ18W1,1854,891,963,259,415,679,501
95JJ19S1,1654,791,862,224,504,436,490
95JJ19S2,1492,693,798,211,755,298,228
95JJ21W1,2580,1230,1349,378,980,752,470
95QQ01W1,1441,705,735,317,401,401,322
95QQ02W1,2853,1404,1449,613,798,936,506
95QQ03W1,1049,503,547,250,312,302,185
95QQ04W1,1539,727,813,319,428,497,295
95QQ05W1,2829,1382,1446,434,625,1108,662
95QQ06W1,2062,1022,1040,389,576,700,397
95QQ07W1,1876,993,883,236,508,667,465
95QQ08W1,1382,655,727,214,346,489,333
95QQ09W1,1857,866,991,258,398,566,635
95QQ10W1,1790,874,917,339,441,652,358
95QQ11W1,2002,1003,1000,350,506,761,385
95QQ12W1,1859,897,962,301,455,618,485
95QQ13W1,2535,1242,1293,438,610,948,539
95QQ14S1,4440,2172,2268,1086,1588,1439,327
95QQ14S2,1709,870,838,301,413,618,377
95QQ15W1,1443,715,727,209,397,500,337
95SS01S1,2355,1393,961,360,638,908,449
95SS01S2,2953,1494,1459,643,829,1101,380
95SS02S1,2259,1082,1177,493,595,639,532
95SS02S2,2326,1140,1186,446,606,856,418
95SS04S1,2482,1163,1320,564,757,896,265
95SS04S2,2607,1262,1343,697,957,692,261
95SS04S3,4786,2365,2421,1181,1758,1444,403
95SS05S1,1651,809,843,276,522,499,354
95SS05S2,2029,1021,1007,347,560,723,399
95SS06S1,1621,761,861,454,573,478,116
95SS06S2,2258,1009,1249,740,812,588,118
95SS06S3,1831,815,1016,542,642,482,165
95SS07S1,4947,2349,2598,1512,1962,1335,138
95SS07S2,1620,829,791,390,602,552,76
95SS07S3,4456,2164,2291,945,1331,1425,755
95SS10S1,2180,1068,1111,393,726,703,358
95SS10S2,2061,1046,1015,286,682,791,302
95SS11S1,3395,1686,1709,860,1028,1143,364
95SS11S2,2857,1446,1410,639,836,963,419
95SS12W1,2938,1436,1502,488,726,950,774
95SS13S1,1635,821,813,291,521,533,290
95SS13S2,1340,645,694,249,451,417,223
95SS14S1,1500,711,791,316,446,455,283
95SS14S2,1902,908,992,451,550,574,327
95SS16S1,1541,771,770,251,450,498,342
95SS16S2,1599,775,824,342,486,501,270
95SS17S1,3306,1614,1694,770,1073,985,478
95SS17S2,1582,760,823,318,482,498,284
95SS18S1,1438,690,748,341,460,408,229
95SS18S2,1688,778,909,305,426,473,484
95SS19S1,1449,692,757,274,470,477,228
95SS19S2,1671,798,873,427,565,480,199
95SS20W1,2538,1224,1314,341,576,804,817
95SS22S1,1553,788,765,376,572,397,208
95SS22S2,2481,1141,1339,502,744,697,538
95SS23S2,1691,828,864,349,469,611,262
95SS25W1,2771,1290,1480,745,926,771,329
95SS26S1,2011,913,1098,645,660,496,210
95SS26S2,1712,819,893,390,529,510,283
95SS27W1,2572,1288,1286,465,677,878,552
95SS28W1,2518,1196,1322,508,788,798,424
95SS29S1,1217,589,628,325,413,312,167
95SS29S2,1392,645,747,365,438,359,230
95SS30S1,1479,995,483,172,781,313,213
95SS30S2,2178,1004,1174,399,496,688,595
95UU06W1,1475,711,764,276,375,469,355
95UU09W1,1596,844,752,320,435,563,278
95UU14W1,1978,941,1036,451,579,623,325
95UU99C1,2120,1074,1047,444,596,740,340
95UU99C2,1787,871,916,334,439,578,436
95UU99C3,1873,970,903,328,420,619,506
95UU99C4,1850,969,881,335,466,669,380
95UU99C5,2353,1214,1139,394,598,787,574
95UU99C6,2341,1159,1183,486,627,789,439
95WW01S1,1528,724,803,252,389,472,415
95WW01S2,1395,650,744,307,467,419,202
95WW02S1,1905,927,979,413,522,583,387
95WW02S2,2316,1104,1213,531,646,812,327
95WW03S1,1549,758,790,260,439,505,345
95WW03S2,2128,1051,1078,470,643,739,276
95WW04S1,1577,728,849,362,520,454,241
95WW04S2,1192,578,614,221,327,363,281
95WW05S1,1460,726,734,296,387,501,276
95WW05S2,1270,594,676,222,331,394,323
95WW06S1,1639,809,830,313,406,573,347
95WW06S2,1772,836,936,350,448,636,338
95WW07S1,2067,1019,1048,396,529,745,397
95WW07S2,2542,1232,1310,529,713,843,457
95WW08S1,1096,533,563,212,317,336,231
95WW08S2,1325,626,699,206,317,414,388
95WW09S1,1330,649,682,277,374,379,300
95WW09S2,1337,648,688,248,298,386,405
95WW10S1,1792,865,927,399,560,581,252
95WW10S2,1222,583,640,247,375,340,260
95WW11S1,1722,832,890,368,481,627,246
95WW11S2,1378,688,691,238,401,431,308
95WW12W1,2474,1138,1336,600,794,703,377
95WW13S1,1855,914,941,338,486,677,354
95WW13S2,1890,917,974,396,531,689,274
95WW14W1,2279,1110,1169,510,731,701,337
95WW15S1,1665,794,872,402,477,517,269
95WW15S2,1557,743,814,238,431,540,348
95WW16S1,1574,754,820,315,462,490,307
95WW16S2,1233,552,681,234,400,370,229
95WW17W1,2226,1049,1177,378,568,694,586
95WW18W1,2280,1114,1166,419,641,728,492
95WW19S1,1764,863,901,290,475,595,404
95WW19S2,2109,1070,1038,460,486,930,233
95WW19S3,2246,1115,1131,472,466,897,411
95WW20S1,1854,896,957,353,503,682,316
95WW20S2,6274,3155,3119,1781,2266,1919,308
95WW20S3,1884,922,960,381,528,694,281
95WW21S1,1468,663,805,293,425,471,279
95WW21S2,2106,1036,1070,507,726,697,176
95WW22S1,1281,626,655,238,394,426,223
95WW22S2,1661,774,887,400,498,504,259
95WW23S1,2321,1079,1242,387,671,749,514
95WW23S2,2370,1172,1199,232,1236,558,344
95WW24S1,1906,898,1009,410,555,581,360
95WW24S2,2013,966,1046,430,729,611,243
95WW25W1,2138,1037,1102,328,543,763,504
