rel..sa_id,rel..total_persons,rel..religion_catholic,rel..religion_presbyterian_church_in_ireland,rel..religion_church_of_ireland,rel..religion_methodist_church_in_ireland,rel..religion_other_christian_including_christian_related,rel..religion_other_religions,rel..religion_no_religion,rel..religion_religion_not_stated
N00000517,394,43,156,62,19,31,7,48,28
N00000518,311,34,146,38,5,26,0,44,18
N00000519,260,12,132,37,11,27,0,33,8
N00000520,612,12,321,137,5,51,1,61,24
N00000521,413,25,192,61,7,44,5,45,34
N00000522,451,22,218,106,2,40,0,46,17
N00000523,397,11,206,77,6,45,2,34,16
N00000524,488,26,263,67,13,58,0,51,10
N00000525,431,11,196,108,5,40,2,48,21
N00000526,260,90,33,30,3,28,3,39,34
N00000527,344,61,82,30,4,35,6,68,58
N00000528,247,65,57,23,2,35,2,26,37
N00000529,238,77,64,32,3,12,4,26,20
N00000530,292,104,78,26,5,17,1,28,33
N00000531,317,158,39,19,3,10,2,43,43
N00000532,214,111,33,28,0,10,0,13,19
N00000533,214,43,97,17,6,22,5,12,12
N00000534,490,24,304,34,11,45,8,37,27
N00000535,519,17,307,29,24,81,0,45,16
N00000536,392,36,211,30,9,37,6,39,24
N00000537,413,5,238,33,32,61,0,25,19
N00000538,395,22,248,27,4,45,3,30,16
N00000539,381,50,201,33,7,49,1,31,9
N00000540,291,4,166,23,25,37,6,21,9
N00000541,407,4,231,47,26,60,2,32,5
N00000542,265,3,135,17,36,43,6,17,8
N00000543,389,8,201,20,46,41,9,49,15
N00000544,273,16,116,27,21,38,4,20,31
N00000545,288,11,127,50,22,32,1,31,14
N00000546,280,11,151,30,28,22,1,28,9
N00000547,327,6,169,37,22,38,2,33,20
N00000548,285,16,110,54,24,25,3,36,17
N00000549,215,98,45,18,1,7,0,22,24
N00000550,429,191,86,36,7,15,6,50,38
N00000551,269,125,39,18,3,14,0,37,33
N00000552,254,147,29,19,4,11,1,18,25
N00000553,347,190,41,28,1,18,4,36,29
N00000554,250,143,27,11,0,13,0,12,44
N00000555,251,157,12,11,0,10,0,29,32
N00000556,348,174,51,23,0,11,0,33,56
N00000557,552,181,215,19,5,77,1,38,16
N00000558,466,17,214,50,57,67,0,46,15
N00000559,322,16,122,46,23,51,1,51,12
N00000560,413,5,239,32,29,67,4,13,24
N00000561,493,141,242,23,17,19,1,24,26
N00000562,364,13,198,22,8,62,6,29,26
N00000563,923,423,128,54,8,53,6,113,138
N00000564,323,185,45,8,0,27,5,17,36
N00000565,218,67,55,21,3,12,2,23,35
N00000566,320,203,55,6,2,4,0,30,20
N00000567,517,17,247,81,15,57,3,57,40
N00000568,369,3,187,69,20,37,4,39,10
N00000569,380,7,186,60,6,68,6,26,21
N00000570,337,16,113,25,20,95,5,47,16
N00000571,303,3,158,36,8,74,3,19,2
N00000572,572,53,284,64,13,69,5,64,20
N00000573,364,58,153,43,7,50,1,44,8
N00000574,435,40,191,55,9,64,11,40,25
N00000575,462,39,283,27,6,57,3,20,27
N00000576,344,312,3,4,0,1,1,12,11
N00000577,434,327,57,14,0,5,1,8,22
N00000578,718,633,14,7,3,14,4,21,22
N00000579,480,395,19,3,0,6,2,24,31
N00000580,474,37,282,50,4,44,2,27,28
N00000581,539,238,137,33,9,45,10,37,30
N00000582,401,13,247,37,2,54,1,32,15
N00000583,305,43,136,33,18,35,8,18,14
N00000584,493,52,251,42,2,71,9,45,21
N00000585,477,19,276,28,15,46,1,64,28
N00000586,446,98,217,45,5,27,0,31,23
N00000587,465,111,181,33,4,67,11,50,8
N00000588,394,13,195,59,8,73,3,20,23
N00000589,639,486,34,19,4,29,0,34,33
N00000590,416,6,267,18,12,58,4,32,19
N00000591,454,183,168,29,4,21,1,23,25
N00000592,480,58,222,57,1,67,2,50,23
N00000593,576,417,61,26,1,15,3,22,31
N00000594,371,26,253,10,2,46,3,23,8
N00000595,525,142,169,50,9,94,1,42,18
N00000596,293,18,148,33,6,37,6,28,17
N00000597,235,5,123,35,1,22,4,25,20
N00000598,287,40,94,27,5,37,2,45,37
N00000599,223,11,92,34,11,17,6,17,35
N00000600,350,18,179,33,8,40,7,24,41
N00000601,283,15,183,15,0,31,1,28,10
N00000602,214,5,143,7,5,28,1,16,9
N00000603,414,18,260,67,11,27,2,20,9
N00000604,340,10,170,90,3,26,1,29,11
N00000605,488,17,240,89,7,54,2,56,23
N00000606,352,15,169,71,12,26,1,50,8
N00000607,310,4,136,87,0,20,1,40,22
N00000608,365,31,197,48,2,26,1,36,24
N00000609,375,27,204,41,2,52,3,36,10
N00000610,419,23,234,40,10,36,8,57,11
N00000611,301,2,184,36,5,33,1,27,13
N00000612,543,29,224,100,18,56,0,57,59
N00000613,236,16,101,36,5,8,2,31,37
N00000614,217,8,100,47,4,11,0,27,20
N00000615,139,3,66,17,6,17,2,16,12
N00000616,301,17,140,49,10,37,4,30,14
N00000617,310,18,159,40,7,25,0,35,26
N00000618,621,143,176,70,11,39,4,91,87
N00000619,371,141,121,40,2,26,2,26,13
N00000620,372,122,117,35,10,17,5,46,20
N00000621,390,130,94,27,5,41,11,34,48
N00000622,385,127,99,31,12,31,1,64,20
N00000623,332,128,124,16,4,28,0,14,18
N00000624,469,21,291,41,6,69,5,12,24
N00000625,262,146,41,19,2,5,0,6,43
N00000626,492,218,166,29,1,39,1,19,19
N00000627,456,140,220,19,1,36,2,23,15
N00000628,415,104,212,25,0,46,1,21,6
N00000629,438,168,167,30,5,20,1,19,28
N00000630,272,117,88,26,1,5,1,16,18
N00000631,406,25,279,40,1,30,1,22,8
N00000632,474,52,231,41,2,57,4,68,19
N00000633,325,26,155,35,1,49,5,33,21
N00000634,495,9,302,27,2,60,1,63,31
N00000635,410,110,199,12,1,34,0,34,20
N00000636,399,44,249,22,3,41,4,25,11
N00000637,832,440,159,63,10,44,1,87,28
N00000638,398,223,66,28,8,25,2,34,12
N00000639,408,317,35,6,1,11,0,18,20
N00000640,343,248,13,4,3,8,1,29,37
N00000641,341,256,30,7,1,10,3,28,6
N00000642,389,230,56,17,5,24,1,24,32
N00000643,477,434,12,5,0,0,0,6,20
N00000644,548,503,7,3,3,9,0,10,13
N00000645,451,384,23,1,0,12,0,10,21
N00000646,419,347,27,7,0,2,0,18,18
N00000647,723,28,260,303,2,47,0,45,38
N00000648,381,28,175,71,1,43,0,35,28
N00000649,389,14,197,56,3,60,4,32,23
N00000650,602,17,301,110,9,57,5,81,22
N00000651,278,44,111,37,3,17,1,42,23
N00000652,533,75,217,94,13,56,5,37,36
N00000653,309,44,123,42,7,40,2,36,15
N00000654,269,34,110,55,5,26,0,26,13
N00000655,368,60,138,63,3,37,1,44,22
N00000656,242,35,91,50,4,26,0,20,16
N00000657,851,267,281,111,11,77,1,73,30
N00000658,364,220,85,4,3,20,0,17,15
N00000659,391,137,126,36,1,22,3,41,25
N00000660,387,117,116,61,0,33,1,29,30
N00000661,384,50,181,68,2,36,2,29,16
N00000662,352,27,171,66,0,21,4,41,22
N00000663,395,41,220,43,8,30,4,37,12
N00000664,378,25,181,74,3,43,1,26,25
N00000665,485,412,26,2,0,6,0,12,27
N00000666,439,152,190,15,0,32,2,30,18
N00000667,538,490,10,0,0,7,2,10,19
N00000668,323,298,2,2,0,1,0,3,17
N00000669,493,454,8,5,0,1,0,12,13
N00000670,292,41,140,33,3,41,1,25,8
N00000671,239,17,115,33,3,34,4,15,18
N00000672,324,101,129,28,0,31,6,12,17
N00000673,943,113,387,177,7,94,6,121,38
N00000674,316,60,126,61,3,19,4,27,16
N00000675,387,39,183,35,2,53,3,53,19
N00000676,721,91,321,117,8,72,9,68,35
N00000677,295,55,118,51,3,13,5,27,23
N00000678,531,191,189,28,3,39,3,43,35
N00000679,561,84,272,58,2,75,5,41,24
N00000680,413,287,49,13,2,24,1,15,22
N00000681,385,40,187,47,0,41,1,46,23
N00000682,485,293,109,11,0,22,0,23,27
N00000683,391,95,200,23,4,42,3,12,12
N00000684,595,401,61,18,1,38,6,27,43
N00000685,326,222,56,7,0,15,0,13,13
N00000686,499,191,185,38,1,36,3,33,12
N00000687,379,39,177,67,1,47,3,30,15
N00000688,407,243,80,20,0,17,0,27,20
N00000689,392,88,179,33,3,42,3,28,16
N00000690,282,46,88,55,0,27,1,51,14
N00000691,303,12,150,62,0,20,0,32,27
N00000692,244,16,109,63,2,11,1,30,12
N00000693,287,31,132,73,0,11,1,24,15
