ethn..geo_code,ethn..total_persons,ethn..ethnic_group_e_s_w_white_english_welsh_scottish_northern_irish_british_unit_persons,ethn..ethnic_group_e_s_w_white_irish_unit_persons,ethn..ethnic_group_e_s_w_white_gypsy_or_irish_traveller_unit_persons,ethn..ethnic_group_e_s_w_white_other_white_unit_persons,ethn..ethnic_group_e_s_w_mixed_multiple_ethnic_group_white_and_black_caribbean_unit_persons,ethn..ethnic_group_e_s_w_mixed_multiple_ethnic_group_white_and_black_african_unit_persons,ethn..ethnic_group_e_s_w_mixed_multiple_ethnic_group_white_and_asian_unit_persons,ethn..ethnic_group_e_s_w_mixed_multiple_ethnic_group_other_mixed_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_indian_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_pakistani_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_bangladeshi_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_chinese_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_other_asian_unit_persons,ethn..ethnic_group_e_s_w_black_african_caribbean_black_british_african_unit_persons,ethn..ethnic_group_e_s_w_black_african_caribbean_black_british_caribbean_unit_persons,ethn..ethnic_group_e_s_w_black_african_caribbean_black_british_other_black_unit_persons,ethn..ethnic_group_e_s_w_other_ethnic_group_arab_unit_persons,ethn..ethnic_group_e_s_w_other_ethnic_group_any_other_ethnic_group_unit_persons,ethn..white_or_white_british,ethn..black_or_black_british,ethn..asian_or_asian_british,ethn..mixed_multiple_ethnicity,ethn..other_ethnicity
W00008549,306,264,2,1,8,12,2,0,3,0,4,1,0,4,2,1,2,0,0,275,5,9,17,0
W00008550,364,324,3,0,13,6,0,2,1,1,2,0,0,0,2,9,0,0,1,340,11,3,9,1
W00008551,322,292,2,0,10,1,0,1,0,3,1,0,0,1,8,0,0,3,0,304,8,5,2,3
W00008552,343,318,2,0,2,5,4,0,0,0,0,0,0,0,5,1,5,0,1,322,11,0,9,1
W00008553,389,368,1,0,5,8,0,0,0,5,0,0,0,0,0,0,1,0,1,374,1,5,8,1
W00008554,273,233,3,0,14,6,1,3,0,3,0,0,0,0,0,0,5,3,2,250,5,3,10,5
W00008555,311,284,1,0,10,2,0,1,0,0,13,0,0,0,0,0,0,0,0,295,0,13,3,0
W00008556,571,477,1,0,41,3,0,2,3,5,13,5,9,3,0,0,0,8,1,519,0,35,8,9
W00008557,351,318,1,1,1,10,0,2,0,0,0,0,2,3,4,9,0,0,0,321,13,5,12,0
W00008558,284,273,2,0,2,0,0,0,0,0,6,0,0,0,0,0,0,1,0,277,0,6,0,1
W00008559,202,195,2,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,198,0,0,3,1
W00008560,288,268,0,0,4,4,0,0,1,0,1,0,2,5,1,1,0,1,0,272,2,8,5,1
W00008561,315,310,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,310,1,1,3,0
W00008562,285,273,1,0,3,0,0,1,1,4,0,0,0,0,0,0,0,0,2,277,0,4,2,2
W00008563,315,307,0,0,0,3,0,1,0,0,0,0,3,0,0,1,0,0,0,307,1,3,4,0
W00008564,161,148,2,0,7,0,0,0,0,2,0,0,1,0,0,0,1,0,0,157,1,3,0,0
W00008565,306,297,0,0,4,0,3,0,1,0,0,0,0,0,0,1,0,0,0,301,1,0,4,0
W00008566,265,261,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,264,0,0,1,0
W00008567,329,312,1,0,3,0,0,4,1,2,0,0,4,2,0,0,0,0,0,316,0,8,5,0
W00008568,289,285,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,288,0,0,1,0
W00008569,206,205,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,0,0,0,0
W00008570,315,305,1,0,3,0,0,0,1,0,0,0,1,0,0,0,4,0,0,309,4,1,1,0
W00008571,316,298,2,0,9,2,0,0,1,3,0,1,0,0,0,0,0,0,0,309,0,4,3,0
W00008572,302,279,5,0,2,3,1,0,0,1,3,0,0,1,6,0,1,0,0,286,7,5,4,0
W00008573,302,293,3,0,0,0,1,1,0,2,0,0,0,0,0,0,1,0,1,296,1,2,2,1
W00008574,378,335,0,0,27,0,1,3,3,0,2,0,2,0,2,0,0,0,3,362,2,4,7,3
W00008575,296,283,2,0,5,1,1,0,1,0,0,0,1,0,0,0,0,0,2,290,0,1,3,2
W00008576,346,326,3,0,7,4,1,0,0,3,0,0,0,1,1,0,0,0,0,336,1,4,5,0
W00008577,286,269,1,0,8,0,1,0,2,0,0,0,5,0,0,0,0,0,0,278,0,5,3,0
W00008578,395,379,1,0,1,5,0,0,0,0,0,0,1,0,6,1,0,1,0,381,7,1,5,1
W00008579,353,327,0,0,9,6,0,3,0,2,0,4,1,0,0,0,1,0,0,336,1,7,9,0
W00008580,299,273,2,0,12,0,3,2,0,2,0,0,0,1,0,0,0,0,4,287,0,3,5,4
W00008581,324,302,3,0,2,0,0,0,0,0,4,0,0,5,1,0,0,6,1,307,1,9,0,7
W00008582,307,298,0,0,1,1,2,2,1,0,0,0,0,0,1,0,0,0,1,299,1,0,6,1
W00008583,287,283,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,285,0,1,1,0
W00008584,222,193,1,0,8,3,2,2,1,0,1,4,0,1,2,2,2,0,0,202,6,6,8,0
W00008585,323,320,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,320,0,1,1,1
W00008586,323,309,2,0,1,2,0,0,0,3,0,4,1,0,0,0,0,0,1,312,0,8,2,1
W00008587,275,262,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,0,263,0,4,0,8
W00008588,291,285,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,290,0,1,0,0
W00008589,317,299,11,0,1,2,0,0,0,0,0,0,1,0,0,0,0,3,0,311,0,1,2,3
W00008590,374,346,3,1,3,8,1,0,0,0,8,0,2,1,0,1,0,0,0,353,1,11,9,0
W00008591,181,157,1,0,10,4,0,0,1,0,1,1,1,0,1,0,0,0,4,168,1,3,5,4
W00008592,290,285,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,288,0,1,0,1
