rel..oa_id,rel..total_persons,rel..christian,rel..buddhist,rel..hindu,rel..jewish,rel..muslim,rel..sikh,rel..other_religion,rel..no_religion,rel..religion_not_stated
W00007024,428,242,0,0,1,0,0,1,162,22
W00007025,307,204,0,0,1,1,0,0,74,27
W00007026,418,266,0,0,2,0,0,0,129,21
W00007027,310,172,0,0,1,0,0,0,118,19
W00007028,398,212,0,0,0,2,0,0,141,43
W00007029,283,187,0,0,0,1,0,2,79,14
W00007030,330,156,2,0,0,0,0,0,138,34
W00007031,324,180,0,0,0,0,1,0,108,35
W00007032,341,209,0,0,0,0,0,0,121,11
W00007033,269,148,0,0,0,0,0,2,96,23
W00007034,260,147,0,0,0,0,0,2,91,20
W00007035,336,211,1,0,0,3,0,1,101,19
W00007036,314,192,0,0,0,0,0,0,94,28
W00007037,367,163,0,0,0,0,0,3,163,38
W00007038,292,172,1,0,4,1,0,3,80,31
W00007039,298,153,1,0,0,0,0,2,112,30
W00007040,275,147,0,0,0,0,0,0,109,19
W00007041,318,79,0,0,0,0,1,2,216,20
W00007042,284,153,0,0,1,0,0,1,98,31
W00007043,285,147,0,4,0,0,0,0,111,23
W00007044,258,153,2,0,0,0,0,1,85,17
W00007045,322,157,0,0,0,0,1,0,128,36
W00007046,326,183,0,1,0,0,0,1,117,24
W00007047,325,99,1,0,2,0,0,2,200,21
W00007048,300,178,1,0,0,1,0,2,99,19
W00007049,348,167,0,0,1,0,1,5,145,29
W00007050,306,82,0,0,0,0,0,0,213,11
W00007051,305,82,1,0,0,0,1,2,198,21
W00007052,235,132,0,0,0,1,0,0,75,27
W00007053,360,171,0,0,1,0,0,0,152,36
W00007054,252,112,0,0,0,0,0,1,114,25
W00007055,403,276,1,0,0,0,0,0,116,10
W00007056,370,145,0,4,0,0,0,0,199,22
W00007057,345,158,0,0,0,0,0,1,156,30
W00007058,302,156,0,0,0,2,0,0,124,20
W00007059,291,128,0,0,0,0,0,0,136,27
W00007060,500,221,1,0,0,0,0,1,250,27
W00007061,289,140,0,0,0,0,2,3,120,24
W00007062,356,177,0,0,0,3,0,5,152,19
W00007063,300,150,0,0,0,0,0,3,135,12
W00007064,294,150,0,0,0,0,0,1,122,21
W00007065,292,139,0,0,0,1,0,3,126,23
W00007066,290,176,0,0,0,0,0,1,98,15
W00007067,574,343,3,0,0,3,7,0,186,32
W00007068,371,158,0,0,0,0,6,0,180,27
W00007069,325,206,0,0,0,3,4,1,89,22
W00007070,297,201,0,3,0,2,3,1,71,16
W00007071,224,129,1,2,0,0,0,1,71,20
W00007072,296,163,1,0,0,3,0,0,101,28
W00007073,311,189,0,0,0,0,0,2,96,24
W00007074,270,165,2,0,0,5,0,2,85,11
W00007075,349,188,0,0,0,0,0,2,134,25
W00007076,297,134,1,0,0,0,0,0,139,23
W00007077,268,166,0,0,0,1,0,2,79,20
W00007078,277,142,0,0,0,0,0,3,114,18
W00007079,303,173,1,0,0,0,0,5,110,14
W00007080,302,130,0,0,0,0,0,0,146,26
W00007081,275,175,0,0,0,0,0,0,76,24
W00007082,288,156,0,0,0,0,0,0,112,20
W00007083,365,137,2,0,0,0,0,3,194,29
W00007084,298,122,0,0,0,0,0,0,158,18
W00007085,293,135,0,4,0,0,0,0,129,25
W00007086,278,115,0,0,0,0,0,0,134,29
W00007087,271,137,0,0,0,2,0,0,99,33
W00007088,287,142,0,4,0,0,0,0,108,33
W00007089,324,124,2,0,1,0,3,1,152,41
W00007090,266,132,0,0,0,0,0,0,118,16
W00007091,312,147,2,0,0,0,0,0,153,10
W00007092,183,106,1,0,0,0,0,1,61,14
W00007093,336,186,1,0,0,1,0,0,128,20
W00007094,302,151,0,0,0,0,0,4,127,20
W00007095,314,160,0,0,0,0,0,0,132,22
W00007096,270,166,0,0,0,0,0,0,91,13
W00007097,283,154,0,0,0,0,0,1,113,15
W00007098,320,179,1,1,0,0,0,0,124,15
W00007099,159,123,0,0,0,0,0,0,22,14
W00007100,333,167,0,0,0,0,0,2,134,30
W00007101,374,186,0,0,0,0,1,3,136,48
W00007102,320,144,2,0,1,0,0,0,142,31
W00007103,254,152,1,0,0,0,0,4,83,14
W00007104,324,133,0,0,0,1,0,1,158,31
W00007105,293,138,0,0,0,0,0,2,124,29
W00007106,299,151,0,0,0,0,0,0,130,18
W00007107,535,251,0,0,0,5,0,4,246,29
W00007108,286,136,0,2,0,0,0,1,101,46
W00007109,316,176,0,0,0,0,0,2,117,21
W00007110,291,164,4,0,0,0,0,2,96,25
W00007111,331,149,0,0,0,0,0,0,152,30
W00007112,356,172,0,0,0,1,0,0,159,24
W00007113,339,178,1,0,0,0,0,3,136,21
W00007114,334,153,0,0,0,0,0,1,162,18
W00007115,293,153,0,0,0,1,0,0,124,15
W00007116,252,143,0,0,0,0,0,1,89,19
W00007117,317,160,0,0,0,8,0,0,124,25
W00007118,297,198,0,0,0,0,0,0,72,27
W00007119,165,89,0,0,0,1,0,0,64,11
W00007120,355,140,0,0,0,0,0,3,195,17
W00007121,238,102,1,0,0,0,0,0,121,14
W00007122,326,120,0,0,0,0,0,3,186,17
W00007168,440,233,0,0,0,0,0,0,172,35
W00007169,261,145,0,0,0,1,0,4,94,17
W00007170,393,255,2,0,0,0,0,0,120,16
W00007171,264,158,0,0,0,2,0,1,93,10
W00007172,313,160,0,0,0,0,0,3,127,23
W00007173,260,155,0,0,0,0,0,0,84,21
W00007174,311,172,0,0,0,0,0,0,116,23
W00007197,388,158,0,0,0,0,0,1,198,31
W00007198,242,134,4,0,0,0,2,0,86,16
W00007199,319,165,0,0,0,5,0,1,113,35
W00007200,240,135,0,0,0,1,0,0,80,24
W00007201,225,157,0,0,0,0,0,0,57,11
W00007202,278,111,0,0,0,1,0,2,136,28
W00007203,264,141,0,0,0,0,0,1,104,18
W00007204,270,121,0,0,0,5,0,0,126,18
W00007205,256,115,1,0,0,0,0,1,119,20
W00007206,334,185,0,0,0,4,0,0,119,26
W00007207,298,124,0,0,0,0,0,0,133,41
W00007208,347,145,0,0,0,0,0,0,187,15
W00007209,266,116,0,0,0,0,0,1,134,15
W00007210,272,121,1,0,0,0,0,1,125,24
W00007211,352,214,0,0,0,0,0,0,107,31
W00007212,116,63,1,0,0,1,0,0,43,8
W00007229,262,149,3,0,0,0,0,0,88,22
W00007230,270,149,2,0,0,5,0,2,95,17
W00007231,557,273,0,0,0,1,0,0,243,40
W00007232,324,184,0,1,0,0,0,0,117,22
W00007233,345,95,0,0,0,0,0,2,230,18
W00007234,280,109,0,0,0,0,0,2,143,26
W00007235,337,143,0,7,0,1,0,0,150,36
W00007236,294,165,0,0,0,6,0,0,101,22
W00007237,324,147,0,2,0,0,0,3,135,37
W00007238,288,205,1,0,0,0,0,2,71,9
W00007239,249,109,0,0,0,1,0,1,107,31
W00007240,346,172,0,0,0,0,0,1,151,22
W00007241,339,181,0,0,0,0,0,0,126,32
W00007242,367,183,0,0,0,9,0,3,148,24
W00007243,311,140,0,0,0,0,0,3,140,28
W00007244,417,209,1,0,0,0,0,0,180,27
W00007245,287,136,0,0,0,0,0,0,127,24
W00007246,265,130,0,0,0,1,0,0,110,24
W00007247,341,158,0,1,0,0,0,0,159,23
W00007248,306,175,0,0,0,0,0,1,112,18
W00007249,396,170,0,0,0,0,0,1,196,29
W00007250,342,157,1,0,0,0,0,0,157,27
W00007251,315,200,0,0,0,1,0,0,99,15
W00007252,364,127,0,0,0,0,0,4,201,32
W00007256,312,174,1,0,0,0,0,0,119,18
W00007257,167,98,1,0,0,0,0,0,49,19
W00007258,309,137,3,0,0,0,0,0,143,26
W00007261,284,145,1,0,2,0,0,0,114,22
W00007262,279,79,0,0,0,0,4,3,176,17
W00007264,327,153,1,0,0,0,0,0,143,30
W00007265,333,87,0,0,0,0,4,2,214,26
W00007266,370,195,1,2,1,0,0,2,121,48
W00007267,310,172,0,0,0,0,0,6,110,22
W00007268,370,131,0,4,0,2,0,0,219,14
W00007269,399,178,0,0,0,0,0,0,187,34
W00007270,454,166,2,0,0,0,0,0,254,32
W00007271,324,162,0,0,0,1,0,1,121,39
W00007272,393,203,0,0,0,0,0,5,154,31
W00007273,309,119,0,0,0,0,5,6,147,32
W00007274,322,129,1,0,0,0,0,10,166,16
W00007275,344,178,0,0,1,1,0,4,134,26
W00007276,312,141,4,4,0,2,0,0,139,22
W00007277,395,222,0,0,0,0,0,0,135,38
W00007278,299,179,1,1,2,0,0,3,91,22
W00007279,399,224,0,0,0,0,5,1,144,25
W00007280,414,212,0,0,0,0,1,1,157,43
W00007281,339,159,0,0,0,0,0,0,152,28
W00007282,332,151,0,0,0,4,0,1,159,17
W00007284,311,147,5,0,0,0,0,4,132,23
W00007285,274,173,0,0,1,0,0,0,82,18
W00007286,374,215,1,0,0,0,0,0,131,27
W00007287,322,187,0,0,0,0,0,2,114,19
W00007288,330,136,0,0,0,0,0,0,161,33
W00007289,344,173,0,0,1,1,0,3,136,30
W00007290,504,245,0,0,1,0,0,2,213,43
W00007291,293,192,0,1,0,0,0,0,79,21
W00007328,378,242,0,0,0,4,0,1,121,10
W00007329,322,133,0,0,0,2,0,1,158,28
W00007330,306,191,0,0,0,0,0,0,88,27
W00007331,310,203,0,0,0,0,0,1,91,15
W00007332,291,171,2,0,1,0,0,0,90,27
W00007333,278,179,2,0,0,3,0,3,73,18
W00007334,333,145,0,0,0,2,0,5,162,19
W00007335,473,178,0,0,0,0,4,5,254,32
W00007336,420,227,0,0,0,0,0,2,147,44
W00007337,354,166,1,0,0,3,0,0,166,18
W00007338,303,143,2,0,0,1,0,2,141,14
W00007339,284,111,0,0,0,0,0,1,148,24
W00007340,321,144,3,0,3,0,0,2,137,32
W00007341,234,100,0,3,0,0,0,1,112,18
W00007342,368,126,0,0,0,0,0,0,216,26
W00007343,309,131,0,0,1,0,0,2,143,32
W00007344,318,176,1,0,0,5,0,1,116,19
W00007345,279,122,0,0,0,0,0,1,137,19
W00007346,273,149,0,0,0,1,0,0,101,22
W00007347,416,231,0,0,0,1,0,0,146,38
W00007348,297,163,2,1,0,0,0,0,113,18
W00007349,260,132,0,0,0,0,0,0,107,21
W00007350,253,154,0,1,0,0,0,4,75,19
W00007351,343,184,0,0,0,0,0,1,127,31
W00007352,306,106,1,0,0,0,0,3,178,18
W00007353,221,95,1,0,0,0,0,2,99,24
W00007354,302,136,0,0,1,0,0,0,130,35
W00007361,244,104,1,0,0,0,0,0,122,17
W00007362,359,145,0,0,0,0,0,0,196,18
W00007363,307,191,3,0,0,0,0,0,90,23
W00007364,316,182,2,0,0,1,0,1,102,28
W00007365,304,178,0,0,0,0,1,1,103,21
W00007366,332,178,0,0,2,0,0,0,125,27
W00007367,264,148,2,0,0,0,0,2,86,26
W00007368,286,177,1,0,0,0,0,1,77,30
W00007369,293,171,0,0,0,0,1,0,102,19
W00007370,489,259,0,0,0,1,0,1,199,29
W00007371,351,116,0,0,0,0,0,1,216,18
W00007372,316,162,0,0,0,0,0,0,129,25
W00007373,265,153,0,0,0,0,0,3,96,13
W00007374,260,125,1,0,0,0,0,2,108,24
W00007375,338,175,0,0,0,1,0,0,145,17
W00007376,276,173,0,0,0,0,0,3,89,11
W00007377,229,122,0,0,0,1,0,0,84,22
W00007378,286,158,1,0,0,0,0,2,107,18
W00007379,347,172,0,0,0,1,0,3,157,14
W00007380,279,152,0,0,0,0,0,1,100,26
W00007381,323,165,0,0,0,4,0,0,131,23
W00007382,313,166,0,0,0,1,0,4,120,22
W00007383,283,172,1,0,0,5,0,0,80,25
W00007384,270,161,0,0,0,0,1,0,87,21
W00007385,286,126,1,0,0,1,0,1,131,26
W00007386,211,95,0,0,0,3,0,2,94,17
W00007387,299,157,0,0,0,0,0,2,106,34
W00007388,250,136,0,0,0,4,0,0,89,21
W00007389,271,160,0,0,0,2,0,1,99,9
W00007390,322,169,0,0,0,0,0,2,137,14
W00007391,295,159,1,0,0,1,0,1,99,34
W00007392,332,193,1,0,0,0,0,1,102,35
W00007393,329,190,1,0,0,2,0,0,111,25
W00007394,296,155,0,0,0,0,0,0,130,11
W00007395,322,207,0,0,0,0,0,0,91,24
W00007396,304,174,1,0,0,0,0,1,101,27
W00007397,220,99,0,0,0,0,1,0,104,16
W00007398,284,165,3,0,0,1,2,0,89,24
W00007399,342,199,1,0,0,0,0,1,114,27
W00007424,303,162,2,0,0,0,0,4,91,44
W00007425,425,276,0,2,0,6,0,0,114,27
W00007426,325,187,1,0,1,0,0,5,112,19
W00007468,331,149,0,0,0,0,3,0,160,19
W00007469,270,94,2,0,0,0,0,0,151,23
W00007471,283,164,0,0,0,0,0,1,100,18
W00007472,287,156,0,0,0,0,4,0,112,15
W00007473,308,180,2,0,0,0,0,1,105,20
W00007474,399,172,0,0,0,0,0,1,200,26
W00007475,297,120,0,0,0,0,0,1,151,25
W00007476,297,148,0,0,0,0,0,1,135,13
W00007477,299,157,0,0,0,0,0,2,127,13
W00007478,380,168,0,0,0,2,0,2,177,31
W00007479,363,198,1,0,0,2,0,0,148,14
W00007480,273,142,0,0,0,0,0,0,110,21
W00007481,429,208,3,0,0,0,0,1,197,20
W00007482,244,121,1,0,0,5,0,0,103,14
W00007483,373,154,1,0,0,0,0,0,189,29
W00007484,287,133,1,0,0,0,0,1,128,24
W00007485,336,143,0,0,0,0,0,4,169,20
W00007486,334,179,0,0,0,0,0,0,140,15
W00007487,333,158,0,0,0,0,0,0,149,26
W00007502,344,177,0,0,0,0,0,1,141,25
W00007503,259,120,0,0,0,0,0,1,103,35
W00007504,279,125,1,0,0,0,0,0,130,23
W00007505,217,105,3,2,0,3,0,2,91,11
W00007506,341,130,1,0,0,0,0,1,179,30
W00007507,317,145,1,0,0,0,0,10,136,25
W00007508,261,142,0,0,0,0,0,1,96,22
W00007509,320,135,0,0,0,1,0,1,157,26
W00007510,320,159,0,0,0,0,0,1,135,25
W00007511,274,115,0,0,0,0,0,3,129,27
W00007512,308,149,0,0,0,0,0,1,129,29
W00007513,288,111,4,0,0,0,1,2,153,17
W00007514,348,162,1,0,0,0,0,0,157,28
W00007515,259,118,0,0,0,5,0,0,123,13
W00007516,281,115,0,2,0,0,0,2,143,19
W00007517,242,134,1,0,0,0,0,0,87,20
W00007518,324,165,0,0,0,0,0,1,140,18
W00007519,374,213,0,0,0,0,0,0,134,27
W00007520,217,135,0,0,0,0,0,1,72,9
W00007521,431,253,0,2,0,0,5,0,148,23
W00007522,280,162,0,0,1,0,0,2,97,18
W00007523,292,154,0,0,0,0,0,2,112,24
W00007524,317,184,0,0,0,0,0,0,113,20
W00007525,333,184,1,1,0,6,0,0,110,31
W00007526,300,148,0,0,0,0,0,0,121,31
W00007527,340,181,0,0,0,3,0,2,135,19
W00007528,299,98,0,0,0,0,0,3,172,26
W00007530,315,178,0,0,0,0,0,2,107,28
W00007531,216,93,0,0,0,0,0,3,100,20
W00007533,289,130,0,1,0,0,0,0,126,32
W00007534,340,161,0,0,1,0,0,1,154,23
W00007536,320,147,0,0,0,0,0,1,158,14
W00007537,269,140,0,0,0,0,0,0,105,24
W00007538,306,211,0,0,0,0,0,2,79,14
W00007539,280,164,1,0,0,0,0,1,93,21
W00007540,283,156,2,0,0,0,0,2,106,17
W00007541,258,139,2,0,0,1,0,0,98,18
W00007542,278,124,0,0,0,0,0,1,132,21
W00007543,267,101,1,0,0,0,0,3,146,16
W00007544,242,112,0,0,0,0,0,0,105,25
W00007545,147,70,0,2,0,2,0,3,56,14
W00007546,276,113,0,0,0,0,0,1,146,16
W00007547,517,261,3,0,1,0,0,1,218,33
W00007548,321,173,0,0,0,0,0,2,126,20
W00007549,285,129,0,0,0,4,0,4,130,18
W00007550,366,168,0,0,0,0,0,1,167,30
W00007551,317,165,0,4,0,0,0,0,124,24
W00007552,297,124,0,0,0,0,0,2,149,22
W00007553,284,135,1,0,0,0,0,0,129,19
W00007554,323,158,3,0,0,0,0,4,128,30
W00007555,347,178,0,0,0,0,0,2,149,18
W00007561,268,171,0,0,0,0,0,0,86,11
W00007576,296,166,0,0,0,0,0,1,94,35
W00007577,318,155,0,0,0,12,0,0,123,28
W00007578,303,161,0,0,0,4,0,1,106,31
W00007579,274,133,0,0,0,0,0,2,113,26
W00007580,298,128,0,0,0,0,0,0,131,39
W00007581,300,159,0,0,0,0,0,1,122,18
W00007582,273,132,0,0,0,0,0,1,116,24
W00007583,306,152,1,0,0,4,0,1,123,25
W00007584,336,209,2,0,0,5,0,0,96,24
W00007585,341,164,0,0,0,4,0,2,158,13
W00007586,258,131,0,0,0,0,0,5,101,21
W00007587,351,184,0,0,0,0,0,2,126,39
W00007588,335,217,0,0,0,0,0,4,90,24
W00007589,306,168,0,0,0,0,0,0,116,22
W00007590,362,180,2,0,0,0,0,2,143,35
W00007591,238,138,0,0,0,0,0,2,82,16
W00007592,257,108,0,0,0,0,0,4,118,27
W00007593,314,127,1,0,0,1,0,1,155,29
W00007594,348,174,0,2,0,0,0,2,129,41
W00007595,349,191,1,0,0,0,0,2,130,25
W00007596,349,193,1,0,0,0,0,0,134,21
W00007597,230,137,0,0,0,3,0,0,76,14
W00007598,377,124,0,0,0,1,0,5,224,23
W00007599,254,146,1,0,0,0,0,0,89,18
W00007600,285,136,1,0,0,0,0,0,126,22
W00007601,277,82,1,0,0,1,0,0,159,34
W00007602,252,103,0,0,0,4,0,0,122,23
W00007603,272,126,0,0,0,0,0,3,115,28
W00007604,251,123,1,0,0,0,0,1,103,23
W00007605,288,118,0,2,0,0,0,0,130,38
W00007606,278,96,0,0,0,0,0,1,150,31
W00007607,359,212,0,0,0,0,0,3,117,27
W00007608,309,171,1,0,0,0,0,0,110,27
W00007609,288,138,0,0,0,1,0,1,126,22
W00007610,257,133,2,0,0,2,0,0,98,22
W00007611,292,164,0,0,0,0,0,2,104,22
W00007612,296,143,0,0,0,0,0,1,127,25
W00007613,316,153,0,0,0,0,0,0,143,20
W00007614,315,142,0,0,0,0,0,1,143,29
W00007615,308,153,1,0,0,0,0,1,117,36
W00007616,233,123,0,0,0,0,0,0,95,15
W00007617,156,76,0,0,0,0,0,1,69,10
W00007618,296,170,0,0,0,0,0,2,100,24
W00007619,317,126,1,0,0,0,0,1,150,39
W00007620,202,105,1,0,0,0,0,0,78,18
W00007621,339,105,0,0,0,0,0,0,195,39
W00007622,338,158,0,0,0,0,0,1,136,43
W00007623,484,271,1,2,0,2,0,2,163,43
W00007624,176,106,0,0,0,9,0,0,49,12
W00007625,330,165,1,0,0,0,3,1,145,15
W00007626,320,144,0,0,0,1,0,4,153,18
W00007627,234,139,0,0,0,0,0,1,74,20
W00007628,270,134,0,0,0,0,0,0,123,13
W00007629,357,128,0,0,0,0,0,2,188,39
W00007630,282,120,1,0,0,0,0,0,132,29
W00007631,320,181,0,2,0,0,0,0,122,15
W00007632,239,116,2,0,0,2,1,0,107,11
W00007633,324,151,1,0,0,4,0,1,140,27
W00007634,466,219,3,0,0,0,0,0,210,34
W00007635,134,55,0,0,0,0,0,0,67,12
W00007636,312,189,0,0,0,0,0,0,105,18
W00007637,237,113,0,0,0,0,0,2,107,15
W00007638,261,124,0,0,0,1,0,0,121,15
W00007639,203,140,0,0,0,4,0,1,37,21
W00007640,384,184,0,0,0,0,0,0,178,22
W00007641,306,161,0,0,0,0,0,3,124,18
W00007642,322,174,0,0,0,0,0,1,123,24
W00007643,263,132,0,0,0,2,0,0,106,23
W00007644,257,126,1,0,0,0,0,1,111,18
W00007645,246,150,0,0,0,0,0,0,79,17
W00007646,286,152,1,0,0,0,4,1,111,17
W00007647,333,148,0,0,0,1,0,0,152,32
W00007648,252,128,0,0,0,0,0,5,100,19
W00007649,315,153,0,0,0,0,0,1,135,26
W00007650,285,118,0,0,0,0,0,5,137,25
W00007651,266,106,1,0,0,0,0,2,129,28
W00007652,275,108,0,0,0,0,0,0,145,22
W00007653,406,173,1,0,0,2,0,1,199,30
W00007654,274,99,1,0,0,1,0,0,150,23
W00007655,323,117,0,0,0,0,0,4,185,17
W00007656,263,107,0,0,0,1,0,2,132,21
W00007657,249,136,2,0,0,0,0,1,88,22
W00007658,281,118,0,0,0,0,0,0,144,19
W00007659,250,123,0,0,0,0,1,0,105,21
W00007660,257,158,1,0,0,0,0,0,82,16
W00007661,323,165,1,0,0,0,0,0,129,28
W00007662,270,110,1,0,0,0,0,4,138,17
W00007663,253,105,0,0,0,0,0,2,128,18
W00007664,255,104,1,0,0,0,0,3,117,30
W00007665,308,190,0,0,0,0,0,2,90,26
W00007666,352,182,0,1,0,0,0,0,150,19
W00007667,331,154,0,0,0,0,0,0,150,27
W00007668,351,192,0,0,0,3,0,2,123,31
W00007669,298,106,0,0,0,1,0,3,153,35
W00007670,331,102,0,0,0,0,0,2,195,32
W00007672,201,102,2,0,0,1,1,0,68,27
W00007673,287,142,0,0,0,0,0,0,112,33
W00007674,279,174,0,0,0,0,0,0,83,22
W00007675,288,134,0,0,0,0,0,0,111,43
W00007676,263,134,2,0,0,0,0,0,93,34
W00007677,259,127,0,0,0,0,0,0,99,33
W00007678,289,137,0,0,0,0,0,0,130,22
W00007679,303,164,0,5,0,0,0,0,116,18
W00007680,286,196,1,0,0,1,0,0,73,15
W00007681,319,195,1,0,0,0,0,0,99,24
W00007682,427,121,0,3,0,0,1,0,281,21
W00007683,278,109,0,0,0,0,0,2,133,34
W00007684,271,148,1,0,0,1,0,1,99,21
W00007685,278,128,0,0,0,0,0,2,125,23
W00007686,303,160,0,0,0,3,0,0,117,23
W00007687,271,94,0,1,0,0,0,0,151,25
W00007688,292,104,0,0,0,0,0,0,153,35
W00007689,206,124,1,0,0,0,0,1,62,18
W00007690,414,275,1,0,0,0,0,0,106,32
W00007691,106,58,2,0,1,0,0,0,34,11
W00007692,292,182,0,0,0,3,3,0,92,12
W00007693,403,215,1,0,0,0,0,0,148,39
W00007694,278,125,0,4,0,0,0,0,126,23
W00007695,239,63,0,0,0,2,0,2,146,26
W00007696,199,122,0,0,1,0,0,0,65,11
W00007697,328,140,1,0,0,0,0,0,154,33
W00007698,279,171,1,0,0,0,0,0,78,29
W00007699,231,97,0,2,0,0,0,0,108,24
W00007700,321,134,0,0,0,1,0,1,159,26
W00007701,268,128,0,0,0,0,0,2,119,19
W00007702,241,149,1,0,0,0,0,2,69,20
W00007703,311,160,3,0,0,0,0,0,116,32
W00007704,253,110,1,4,0,1,0,3,109,25
W00007705,319,139,0,0,0,0,0,1,148,31
W00007706,271,153,0,0,0,0,2,0,103,13
W00007707,232,73,0,0,0,0,0,0,136,23
W00007708,276,172,0,3,0,0,0,0,84,17
W00007709,369,197,0,0,0,1,0,0,146,25
W00007710,278,99,1,0,0,0,0,0,154,24
W00007711,233,101,0,0,0,0,0,1,108,23
W00007712,229,85,1,0,0,0,0,0,125,18
W00007713,299,140,1,0,1,0,5,0,128,24
W00007714,257,126,0,0,0,0,0,0,113,18
W00007715,299,108,0,0,0,0,4,4,166,17
W00007716,288,139,1,0,0,0,1,0,124,23
W00007717,312,146,1,0,0,0,6,2,133,24
W00007718,287,154,1,0,0,0,0,0,115,17
W00007719,297,161,0,0,0,0,0,1,114,21
W00007720,334,175,1,0,0,5,0,2,117,34
W00007721,177,83,0,0,2,0,0,0,80,12
W00007722,267,169,0,0,0,0,0,0,81,17
W00007723,276,117,0,0,0,0,0,0,128,31
W00007724,174,99,1,0,0,0,0,0,60,14
W00007725,270,176,0,0,0,0,0,2,77,15
W00007726,255,111,5,4,0,20,0,1,93,21
W00007727,340,189,0,0,0,2,1,0,132,16
W00007728,260,147,0,0,0,0,0,0,86,27
W00007729,232,118,0,0,0,0,0,1,102,11
W00007730,303,113,0,0,0,6,0,1,165,18
W00007731,254,162,1,0,0,0,0,2,73,16
W00007732,190,86,0,4,0,0,0,0,83,17
W00007733,253,125,0,0,0,0,0,0,117,11
W00007734,142,72,0,0,0,0,0,7,54,9
W00007735,285,165,0,0,0,3,0,1,95,21
W00007736,311,187,2,0,0,0,0,2,87,33
W00007737,294,112,1,0,0,0,0,1,162,18
W00007738,378,153,0,0,0,2,0,1,188,34
W00007739,239,110,0,0,0,1,0,1,105,22
W00007740,215,128,2,0,0,0,0,2,46,37
W00007741,317,180,0,0,0,0,0,1,88,48
W00007742,376,182,1,1,0,1,0,1,156,34
W00007743,332,149,0,0,0,0,0,3,156,24
W00007744,397,211,0,0,0,0,0,0,137,49
W00007745,270,143,0,0,1,0,0,1,112,13
W00007746,318,216,1,0,0,0,0,0,83,18
W00007747,341,164,2,0,0,2,0,2,127,44
W00007748,308,185,0,0,0,3,0,3,94,23
W00007749,238,145,0,0,0,0,0,2,72,19
W00007750,236,123,0,0,0,0,0,2,87,24
W00007751,443,266,0,0,0,0,0,2,139,36
W00007752,322,173,0,0,0,0,2,1,113,33
W00007753,289,156,1,0,0,0,0,0,116,16
W00007754,268,123,1,0,0,0,0,2,124,18
W00007755,325,144,1,0,0,3,0,0,149,28
W00007756,257,129,0,0,0,0,0,1,103,24
W00007757,299,134,0,0,1,4,0,1,124,35
W00007758,339,177,3,0,0,0,0,1,137,21
W00007759,318,144,0,0,0,0,0,0,149,25
W00007760,347,148,1,0,0,1,0,0,174,23
W00007761,364,148,0,0,0,3,0,4,189,20
W00007762,361,192,0,0,0,0,0,0,123,46
W00007763,316,185,0,0,0,0,0,0,99,32
W00007764,258,121,0,0,0,1,0,0,121,15
W00007765,184,90,0,0,0,0,0,1,79,14
W00007766,394,210,1,0,0,0,0,0,160,23
W00007767,360,234,2,1,0,0,0,1,103,19
W00007768,246,134,2,0,0,0,0,0,94,16
W00007769,268,149,3,1,0,0,0,3,82,30
W00007770,372,202,0,0,0,0,0,1,140,29
W00007771,308,180,0,0,0,0,0,0,110,18
W00007772,278,171,0,0,0,0,0,0,85,22
W00007773,253,160,0,0,0,0,0,0,84,9
