pop..dz_code,pop..total_persons,pop..males,pop..females,pop..x0_4_years,pop..x5_11_years,pop..x12_17_years,pop..x18_29_years,pop..x30_39_years,pop..x40_59_years,pop..x60_74_years,pop..x75_years
S01009309,731,397,334,24,41,37,119,118,243,100,49
S01009310,904,409,495,15,49,50,80,64,259,228,159
S01009311,737,366,371,40,102,91,104,84,194,91,31
S01009312,705,337,368,34,61,16,116,155,180,95,48
S01009313,584,300,284,21,59,42,72,87,175,76,52
S01009314,640,312,328,37,51,42,76,73,181,129,51
S01009315,640,314,326,34,28,32,116,62,190,108,70
S01009316,745,368,377,31,38,40,97,83,228,159,69
S01009317,794,387,407,36,46,44,98,78,222,192,78
S01009318,556,250,306,18,30,46,58,41,170,154,39
S01009319,905,408,497,31,60,65,92,71,249,191,146
S01009320,664,292,372,22,41,35,56,65,175,153,117
S01009321,645,300,345,9,27,43,54,35,170,200,107
S01009322,739,357,382,21,46,38,76,73,187,194,104
S01009323,620,288,332,21,31,28,62,60,160,153,105
S01009324,536,277,259,30,48,38,53,73,127,115,52
S01009325,780,347,433,45,55,55,76,80,237,121,111
S01009326,565,256,309,20,59,70,95,54,196,53,18
S01009327,712,323,389,43,58,48,92,64,161,154,92
S01009328,939,515,424,58,165,93,73,180,290,67,13
S01009329,1623,799,824,174,183,107,230,458,356,88,27
S01009330,583,277,306,39,82,49,82,72,193,56,10
S01009331,1950,894,1056,189,272,165,244,414,556,97,13
S01009332,1059,507,552,54,86,81,121,125,316,186,90
S01009333,790,397,393,32,61,71,127,106,231,107,55
S01009334,602,304,298,46,50,44,98,75,151,89,49
S01009335,918,455,463,46,106,87,118,141,220,148,52
S01009336,582,311,271,37,51,27,91,102,154,70,50
S01009337,684,326,358,44,73,47,120,97,169,98,36
S01009338,962,483,479,67,93,45,148,135,251,163,60
S01009339,902,445,457,56,91,80,144,154,223,107,47
S01009340,668,318,350,50,64,47,96,118,163,89,41
S01009341,625,312,313,48,46,48,85,85,184,88,41
S01009342,708,341,367,38,70,53,95,97,194,101,60
S01009343,541,252,289,22,49,45,74,67,155,92,37
S01009344,665,310,355,39,65,39,68,116,189,91,58
S01009345,906,419,487,53,79,80,148,127,221,146,52
S01009346,777,385,392,57,129,84,68,102,283,39,15
S01009347,684,373,311,22,68,98,84,40,280,74,18
S01009348,555,274,281,30,62,67,65,64,198,60,9
