house..sa_id,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
S00095882,71,4,18,31,11,5,1,1
S00095883,60,9,17,13,12,6,1,2
S00095884,68,12,14,19,11,7,1,4
S00095885,68,19,10,18,10,5,1,5
S00095886,71,15,16,19,7,8,0,6
S00095887,77,11,13,22,15,7,0,9
S00095888,46,11,9,14,6,5,0,1
S00095889,41,10,10,11,5,3,1,1
S00095890,49,12,3,28,4,0,0,2
S00095891,53,5,11,26,9,1,1,0
S00095892,41,5,4,18,10,1,0,3
S00095893,42,4,5,16,11,3,1,2
S00095894,55,9,7,21,11,3,3,1
S00095895,76,6,7,23,17,11,2,10
S00095896,65,38,0,11,9,0,0,7
S00095897,64,10,13,16,5,12,1,7
S00095898,47,6,13,18,8,1,1,0
S00095899,43,6,20,10,3,1,0,3
S00095900,40,3,20,7,3,2,1,4
S00095901,53,7,17,16,2,5,0,6
S00095902,53,6,20,11,6,6,0,4
S00095903,48,6,24,5,4,6,0,3
S00095904,52,11,19,18,4,0,0,0
S00095905,58,10,20,23,4,0,0,1
S00095906,57,4,16,17,12,5,0,3
S00095907,75,9,9,30,18,5,1,3
S00095908,47,17,11,10,1,2,0,6
S00095909,58,31,8,8,1,6,0,4
S00095910,32,9,6,11,5,0,0,1
S00095911,64,6,21,22,11,3,0,1
S00095912,68,4,12,27,18,3,1,3
S00095913,63,4,39,9,1,8,0,2
S00095914,37,3,8,13,8,3,0,2
S00095915,45,10,9,16,6,3,0,1
S00095916,59,5,3,35,8,3,0,5
S00095917,48,6,5,18,9,9,0,1
S00095918,61,3,15,17,9,12,2,3
S00095919,28,5,1,13,6,2,1,0
S00095920,62,15,7,17,13,4,1,5
S00095921,41,14,5,11,5,1,1,4
S00095922,39,9,6,16,4,3,1,0
S00095923,65,4,12,31,11,4,0,3
S00095924,65,14,8,25,10,2,3,3
S00095925,63,5,23,21,7,2,0,5
S00095926,53,8,6,27,9,1,1,1
S00095927,61,7,13,21,13,4,0,3
S00095928,63,9,5,30,14,2,0,3
S00095929,58,7,3,28,12,5,0,3
S00095930,52,8,1,24,17,0,0,2
S00095931,54,5,7,20,6,8,2,6
S00095932,52,8,18,12,6,4,0,4
S00095933,72,7,25,13,8,9,2,8
S00095934,53,3,24,17,4,3,1,1
S00095935,58,12,28,7,5,3,0,3
S00095936,63,1,13,15,6,22,1,5
S00095937,61,6,12,16,12,8,2,5
S00095938,74,11,11,29,11,3,1,8
S00095939,76,9,20,24,4,9,0,10
S00095940,60,3,13,15,13,13,0,3
S00095941,62,2,14,15,14,10,1,6
S00095942,50,4,10,15,8,9,1,3
S00095943,66,11,14,15,6,11,2,7
S00095944,25,0,5,10,5,2,1,2
S00095945,54,7,4,25,10,1,0,7
S00095946,45,3,2,14,12,4,1,9
S00095947,61,2,2,26,16,8,3,4
S00095948,20,1,4,4,5,1,2,3
S00095949,58,7,13,14,11,7,1,5
S00095950,61,4,9,12,14,12,7,3
S00095951,67,7,23,8,15,8,1,5
S00095952,56,9,13,13,10,6,0,5
S00095953,41,3,12,6,5,14,0,1
S00095954,29,0,16,6,4,1,0,2
S00095955,56,9,7,15,13,6,2,4
S00095956,83,5,36,20,4,13,0,5
S00095957,67,13,17,20,6,6,0,5
S00095958,76,9,24,25,9,6,0,3
S00095959,59,2,12,24,12,6,0,3
S00095960,42,6,12,13,5,3,1,2
S00095961,49,8,3,18,7,6,1,6
S00095962,43,8,11,9,5,4,0,6
S00095963,39,4,2,18,11,1,1,2
S00095964,46,0,9,18,10,3,1,5
S00095965,75,7,29,11,7,17,0,4
S00095966,51,23,7,3,3,10,1,4
S00095967,44,6,6,11,7,7,3,4
S00095968,71,6,12,18,14,11,3,7
S00095969,60,11,6,23,5,9,0,6
S00095970,62,8,13,23,8,6,2,2
S00095971,40,8,9,6,10,4,0,3
S00095972,40,1,7,3,11,14,0,4
S00095973,45,4,11,12,9,6,0,3
S00095974,53,10,11,14,9,1,0,8
S00095975,73,24,14,17,9,5,1,3
S00095976,56,3,6,23,10,8,1,5
S00095977,31,5,3,11,4,4,1,3
S00095978,40,0,6,15,10,3,1,5
S00095979,70,2,13,13,16,15,3,8
S00095980,65,6,8,18,14,10,4,5
S00095981,76,8,16,25,7,11,1,8
S00095982,37,2,10,14,6,3,0,2
S00095983,49,2,10,14,8,9,0,6
S00095984,69,3,9,37,16,0,1,3
S00095985,62,9,12,20,9,7,0,5
S00095986,52,5,8,13,9,8,1,8
S00095987,48,6,5,23,7,5,1,1
S00095988,46,3,11,15,3,7,3,4
S00095989,56,7,13,21,7,1,2,5
S00095990,42,1,7,16,9,5,1,3
S00095991,55,21,6,11,1,9,1,6
S00095992,42,0,6,14,12,6,1,3
S00095993,61,4,6,12,13,17,6,3
S00095994,41,4,12,8,5,10,1,1
S00095995,69,0,10,20,16,15,1,7
S00095996,51,2,9,12,10,14,0,4
S00095997,76,12,8,37,11,4,0,4
S00095998,46,0,4,35,3,1,0,3
S00095999,50,5,7,17,11,1,2,7
S00096000,44,8,4,10,16,1,0,5
S00096001,74,7,8,20,14,10,6,9
S00096002,56,13,8,17,8,7,2,1
S00096003,61,4,13,23,11,5,1,4
S00096004,61,3,18,18,9,5,1,7
S00096005,64,21,8,21,7,3,0,4
S00096006,69,19,11,20,13,3,0,3
S00096007,47,5,13,13,6,5,0,5
S00096008,45,6,9,13,16,0,0,1
S00096009,62,1,9,33,13,3,1,2
S00096010,75,10,15,20,12,11,3,4
S00096011,53,8,10,14,10,6,0,5
S00096012,44,8,10,11,4,7,1,3
S00096013,43,5,11,12,8,5,0,2
S00096014,51,5,12,19,5,6,0,4
S00096015,58,3,24,16,6,6,0,3
S00096016,65,6,5,36,11,4,2,1
S00096017,46,5,11,11,9,7,1,2
S00096018,54,4,8,29,10,1,0,2
S00096019,52,2,9,26,10,2,0,3
S00096020,37,6,1,25,3,0,1,1
S00096021,57,7,7,26,10,3,1,3
S00096022,48,9,8,15,7,1,2,6
S00096023,47,12,12,8,6,6,2,1
S00096024,33,3,14,9,1,3,0,3
S00096025,51,11,9,23,3,1,1,3
S00096026,52,3,15,10,11,8,0,5
S00096027,36,8,8,10,3,5,0,2
S00096028,54,4,21,11,5,6,3,4
S00096029,31,1,5,15,8,2,0,0
S00096030,67,3,12,24,11,11,0,6
S00096031,76,9,12,11,11,22,1,10
S00096032,62,7,24,10,10,6,0,5
S00096033,55,5,19,19,6,0,1,5
S00096034,49,11,11,18,6,2,0,1
S00096035,43,7,19,10,4,1,0,2
S00096036,70,15,15,21,8,6,1,4
S00096037,67,9,19,25,7,4,1,2
S00096038,80,16,13,29,12,4,2,4
S00096039,57,5,22,12,5,10,1,2
S00096040,48,3,16,18,8,2,0,1
S00096041,53,9,8,19,11,3,2,1
S00096042,46,6,10,15,9,2,0,4
S00096043,60,3,8,23,12,8,2,4
S00096044,46,7,2,25,3,3,0,6
S00096045,50,5,5,19,12,5,0,4
S00096046,40,4,4,14,12,3,0,3
S00096047,43,11,5,16,5,4,1,1
S00096048,67,26,18,13,6,1,0,3
S00096049,53,8,4,33,7,1,0,0
S00096050,45,6,5,14,12,3,0,5
S00096051,40,3,9,15,12,0,0,1
S00096052,48,0,8,27,9,1,0,3
S00096053,51,1,4,28,13,5,0,0
S00096054,64,3,4,34,18,3,0,2
S00096055,44,4,7,27,5,0,0,1
S00096056,57,10,13,25,7,0,0,2
S00096057,72,30,21,12,5,1,0,3
S00096058,66,5,8,21,14,14,2,2
S00096059,63,7,23,13,11,3,0,6
S00096060,43,3,5,21,8,2,2,2
S00096061,68,7,8,36,9,3,0,5
S00096062,54,6,5,24,17,2,0,0
S00096063,48,14,20,4,3,5,0,2
S00096064,59,1,15,16,8,10,1,8
S00096065,68,11,11,28,8,2,1,7
S00096066,46,9,8,15,5,5,1,3
S00096067,38,7,4,19,6,1,1,0
S00096068,59,9,19,17,5,5,2,2
S00096069,42,5,4,15,10,4,1,3
S00096070,39,3,3,25,7,1,0,0
S00096071,51,13,15,10,7,4,1,1
S00096072,72,8,12,24,10,12,1,5
S00096073,61,11,19,15,12,2,0,2
S00096074,48,8,21,11,3,1,1,3
S00096075,43,10,15,11,3,3,0,1
S00096076,41,7,11,10,4,4,2,3
S00096077,74,10,13,30,10,7,0,4
S00096078,75,12,18,22,14,5,0,4
S00096079,58,7,24,8,6,9,1,3
S00096080,35,4,4,21,5,0,1,0
S00096081,51,21,3,18,8,0,1,0
S00096082,48,7,10,21,4,3,2,1
S00096083,62,5,9,34,7,1,1,5
S00096084,40,5,5,11,14,1,1,3
S00096085,46,9,2,13,7,10,2,3
S00096086,39,4,20,11,2,1,0,1
S00096087,47,6,13,7,10,4,0,7
S00096088,45,11,11,14,6,1,0,2
S00096089,62,2,4,27,20,4,0,5
S00096090,55,10,15,18,5,3,0,4
S00096091,73,6,18,26,13,5,1,4
S00096092,47,7,11,17,5,2,1,4
S00096093,36,5,4,13,8,2,0,4
S00096094,63,12,18,18,7,4,0,4
S00096095,43,8,5,15,6,5,0,4
S00096096,41,4,4,23,8,1,1,0
S00096097,47,6,2,24,8,2,0,5
S00096098,56,8,2,34,6,1,1,4
S00096099,52,6,13,18,7,4,0,4
S00096100,45,7,3,25,8,0,1,1
S00096101,72,19,6,27,11,4,0,5
S00096102,25,7,1,8,7,1,0,1
S00096103,65,10,11,33,7,2,0,2
S00096104,41,5,3,15,15,1,0,2
S00096105,64,9,2,33,18,1,0,1
S00096106,47,15,4,14,10,0,1,3
S00096107,41,5,3,22,6,2,0,3
S00096108,39,12,5,18,3,0,0,1
S00096109,65,15,22,18,7,2,1,0
S00096110,45,8,4,13,13,6,1,0
S00096111,57,10,8,26,9,3,1,0
S00096112,68,0,4,31,22,3,2,6
S00096113,52,12,9,22,4,2,1,2
S00096114,64,9,8,31,9,4,0,3
S00096115,65,5,8,27,21,3,0,1
S00096116,32,8,5,9,7,1,1,1
S00096117,51,8,8,17,13,3,0,2
S00096118,69,8,3,38,16,1,1,2
S00096119,46,8,7,12,10,3,1,5
S00096120,44,0,3,30,9,1,0,1
S00096121,43,5,7,18,10,2,0,1
S00096122,62,11,3,21,14,9,0,4
S00096123,45,8,11,17,4,2,0,3
S00096124,48,9,12,16,7,3,0,1
S00096125,63,10,16,17,9,4,1,6
S00096126,51,19,14,9,5,1,1,2
S00096127,58,6,16,14,4,11,1,6
S00096128,59,5,15,19,8,5,0,7
S00096129,51,2,3,29,15,2,0,0
S00096130,35,0,6,22,3,2,0,2
S00096131,37,5,7,11,7,3,1,3
S00096132,54,6,1,31,12,3,0,1
S00096133,25,1,3,16,4,0,0,1
S00096134,58,22,11,12,7,4,0,2
S00096135,21,2,0,9,9,1,0,0
S00096136,31,5,9,10,6,1,0,0
S00096137,24,1,3,6,3,5,1,5
S00096138,53,4,21,23,4,0,0,1
S00096139,47,4,2,21,14,2,0,4
S00096140,33,4,2,16,8,1,0,2
S00096141,38,3,2,14,18,0,0,1
S00096142,61,2,4,25,26,2,0,2
S00096143,38,1,4,15,15,1,1,1
S00096144,75,0,8,28,35,2,0,2
S00096145,58,0,6,22,23,5,1,1
S00096146,46,6,6,18,9,5,0,2
S00096147,24,6,1,11,5,0,0,1
S00096148,26,3,1,20,1,0,0,1
S00096149,34,9,10,9,5,0,0,1
