health..sa_id,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
S00095990,99,47,30,15,7,0
S00095991,92,27,23,30,11,1
S00095992,109,45,47,10,5,2
S00095993,175,92,53,17,10,3
S00095994,91,43,26,14,5,3
S00095995,182,85,65,22,10,0
S00095996,129,56,39,24,9,1
S00095997,162,71,48,28,10,5
S00095998,105,49,41,13,1,1
S00095999,115,56,41,15,1,2
S00096000,115,56,41,14,3,1
S00096001,213,107,80,17,7,2
S00096002,124,50,46,12,14,2
S00096003,131,52,52,19,5,3
S00096004,129,51,41,20,13,4
S00096005,118,48,36,21,10,3
S00096006,142,57,42,28,12,3
S00096007,101,44,33,13,9,2
S00096008,101,58,21,18,3,1
S00096009,161,100,40,14,7,0
S00096010,182,88,46,31,12,5
S00096011,128,65,37,20,6,0
S00096012,92,39,31,13,7,2
S00096013,86,36,30,14,4,2
S00096014,106,56,36,13,0,1
S00096015,106,59,28,11,3,5
S00096016,165,90,52,22,1,0
S00096017,93,36,37,14,6,0
S00096018,121,62,34,20,2,3
S00096019,126,76,38,8,3,1
S00096020,82,34,38,9,1,0
S00096021,132,47,37,33,12,3
S00096022,107,45,30,25,5,2
S00096023,92,47,24,12,7,2
S00096024,55,15,22,15,3,0
S00096025,93,31,33,17,9,3
S00096026,114,63,38,10,1,2
S00096027,71,37,18,9,5,2
S00096028,107,50,33,17,5,2
S00096029,77,40,22,9,6,0
S00096030,149,77,37,26,7,2
S00096031,173,79,53,23,13,5
S00096032,109,59,28,13,8,1
S00096033,116,36,60,18,2,0
S00096034,89,42,28,14,4,1
S00096035,71,26,25,14,4,2
S00096036,141,76,44,16,5,0
S00096037,129,62,47,13,5,2
S00096038,161,66,64,26,4,1
S00096039,107,43,45,16,3,0
S00096040,100,47,35,12,3,3
S00096041,117,45,43,26,2,1
S00096042,103,54,31,14,3,1
S00096043,158,84,51,11,7,5
S00096044,107,58,34,10,5,0
S00096045,116,44,49,11,7,5
S00096046,106,63,31,7,4,1
S00096047,88,38,34,11,5,0
S00096048,102,36,36,23,6,1
S00096049,118,58,43,14,3,0
S00096050,106,49,47,9,1,0
S00096051,89,58,20,10,1,0
S00096052,117,63,41,7,4,2
S00096053,121,66,43,11,1,0
S00096054,162,87,64,9,2,0
S00096055,93,43,29,12,6,3
S00096056,118,66,36,11,3,2
S00096057,104,46,25,25,4,4
S00096058,161,82,44,27,7,1
S00096059,121,54,41,18,5,3
S00096060,107,60,35,10,1,1
S00096061,149,77,53,17,1,1
S00096062,145,81,50,12,1,1
S00096063,75,31,30,9,4,1
S00096064,126,62,37,17,8,2
S00096065,139,63,42,20,14,0
S00096066,89,34,27,27,1,0
S00096067,87,34,29,16,7,1
S00096068,109,45,44,13,5,2
S00096069,110,68,37,5,0,0
S00096070,92,37,42,8,1,4
S00096071,93,49,32,11,1,0
S00096072,151,58,59,21,12,1
S00096073,117,58,41,13,4,1
S00096074,78,34,28,10,5,1
S00096075,74,41,16,9,6,2
S00096076,82,46,21,11,3,1
S00096077,155,88,43,18,6,0
S00096078,154,75,43,25,9,2
S00096079,109,52,41,10,4,2
S00096080,84,48,25,11,0,0
S00096081,109,49,31,22,6,1
S00096082,98,35,46,14,3,0
S00096083,139,79,48,8,3,1
S00096084,112,59,38,11,3,1
S00096085,117,72,21,14,7,3
S00096086,62,29,21,10,1,1
S00096087,100,54,30,10,5,1
