rel..sa_id,rel..total_persons,rel..christian_church_of_scotland,rel..christian_roman_catholic,rel..christian_other_christian,rel..buddhist,rel..hindu,rel..jewish,rel..muslim,rel..sikh,rel..other_religion,rel..no_religion,rel..religion_not_stated
S00127100,51,22,0,9,0,0,0,0,0,0,14,6
S00127101,65,21,2,3,0,0,0,0,0,1,30,8
S00127102,83,42,3,10,0,0,0,0,0,0,21,7
S00127103,85,26,7,9,0,0,0,0,0,0,31,12
S00127104,103,51,7,5,0,0,0,0,0,0,32,8
S00127105,147,55,20,18,0,0,0,0,0,0,45,9
S00127106,74,34,9,3,0,0,0,0,0,0,25,3
S00127107,182,65,9,29,0,0,0,0,0,1,71,7
S00127108,121,43,11,5,0,1,0,0,0,0,56,5
S00127109,71,31,6,6,0,3,0,1,0,0,20,4
S00127110,74,15,6,5,2,0,0,6,0,0,31,9
S00127111,65,7,3,1,0,0,0,0,0,0,49,5
S00127112,76,38,8,2,0,0,0,0,0,0,27,1
S00127113,127,61,6,7,0,4,0,0,0,0,41,8
S00127114,147,20,15,11,0,0,0,0,0,0,96,5
S00127115,115,23,14,7,0,0,0,0,0,0,49,22
S00127116,198,61,29,7,1,0,0,4,0,0,78,18
S00127117,128,47,7,15,0,0,0,0,0,1,58,0
S00127118,170,65,22,8,1,0,0,0,0,0,70,4
S00127119,91,34,14,5,0,0,0,0,0,0,29,9
S00127120,53,20,4,0,0,0,0,0,0,1,23,5
S00127121,94,14,8,0,6,4,0,4,0,1,49,8
S00127122,103,13,23,4,0,1,0,5,0,0,51,6
S00127123,66,10,14,3,0,0,0,1,0,1,34,3
S00127124,75,15,6,11,1,3,0,1,0,0,36,2
S00127125,124,41,27,14,0,2,0,0,0,0,34,6
S00127126,123,53,5,11,0,0,0,0,0,0,48,6
S00127127,92,31,3,5,0,0,0,0,0,0,44,9
S00127128,103,36,4,9,0,0,0,0,0,1,40,13
S00127129,132,47,9,0,0,0,0,0,0,0,68,8
S00127130,94,36,2,8,1,0,0,0,0,2,37,8
S00127131,82,25,5,6,0,0,0,0,0,1,44,1
S00127132,99,59,3,7,0,0,0,0,0,0,23,7
S00127133,149,61,15,8,0,0,0,0,0,0,52,13
S00127134,91,25,6,9,0,0,0,0,0,0,47,4
S00127135,55,38,3,4,0,0,0,0,0,0,4,6
S00127136,95,43,3,6,0,0,0,0,0,1,37,5
S00127138,139,32,26,12,0,0,0,1,0,0,59,9
S00127139,116,33,22,10,0,0,0,0,0,2,43,6
S00127140,82,36,9,2,0,0,0,0,0,0,26,9
S00127141,125,53,10,3,1,0,0,0,0,0,57,1
S00127142,105,27,11,10,0,0,0,0,0,0,48,9
S00127143,70,7,14,1,0,0,0,0,0,0,43,5
S00127144,85,27,5,4,0,0,0,0,0,0,39,10
S00127147,104,38,5,7,0,0,0,0,0,1,43,10
S00127148,62,34,0,2,1,0,0,0,0,0,23,2
S00127149,196,72,15,18,0,0,0,0,2,1,80,8
S00127150,120,61,16,5,0,0,0,0,0,0,32,6
S00127153,147,51,14,20,0,0,0,0,0,0,48,14
S00127154,113,50,4,3,0,0,0,0,0,0,55,1
S00127155,134,72,5,11,5,0,0,0,0,0,33,8
S00127156,180,65,15,13,1,0,0,0,0,0,70,16
S00127157,227,87,5,15,0,0,0,0,0,2,81,37
S00127158,147,55,11,15,1,0,0,0,0,0,49,16
S00127159,141,56,11,11,0,0,0,0,0,2,58,3
S00127160,91,43,1,10,0,0,0,0,0,0,34,3
S00127161,133,41,11,18,1,0,0,0,0,0,54,8
S00127162,132,52,6,9,0,0,0,0,0,0,48,17
S00127163,154,74,9,7,0,0,0,0,0,0,59,5
S00127164,168,68,14,11,0,0,0,0,0,0,61,14
S00127165,206,120,12,9,0,0,0,0,0,0,54,11
S00127166,193,82,17,8,0,0,0,1,0,0,75,10
S00127167,104,56,7,5,0,0,0,0,0,0,27,9
S00127168,124,59,7,18,0,0,0,1,0,0,31,8
S00127169,106,40,11,9,0,0,0,0,0,2,41,3
S00127170,58,18,4,0,0,0,0,0,0,0,32,4
S00127171,121,38,5,7,0,0,0,0,0,0,55,16
S00127172,65,26,5,7,1,0,0,0,0,1,23,2
S00127173,99,50,10,5,0,0,0,0,0,0,26,8
S00127174,85,40,2,5,0,0,0,0,0,0,36,2
S00127175,118,44,1,18,0,0,0,0,0,0,39,16
S00127176,174,58,18,19,0,0,0,0,0,0,66,13
S00127177,178,69,13,14,0,0,1,0,0,0,70,11
S00127178,131,43,5,13,0,0,0,0,0,0,63,7
S00127179,62,43,3,4,0,0,0,0,0,0,8,4
S00127180,142,58,6,8,0,0,0,0,0,0,59,11
S00127181,56,24,3,4,0,0,0,0,0,0,18,7
S00127182,125,53,8,9,0,0,0,1,0,0,45,9
S00127183,177,57,7,8,0,1,0,1,0,2,76,25
S00127184,138,60,5,5,3,0,0,0,0,0,55,10
S00127185,188,83,5,19,2,0,0,0,0,0,59,20
S00127186,108,45,7,16,0,0,0,0,0,1,29,10
S00127187,74,30,8,4,0,0,0,0,0,0,26,6
S00127188,75,33,1,14,0,0,0,0,0,0,23,4
S00127189,103,47,1,19,0,0,0,0,0,0,29,7
S00127190,102,46,5,11,0,0,0,0,0,0,35,5
S00127191,120,47,5,12,0,0,0,0,0,1,41,14
S00127192,118,66,5,6,0,0,0,0,0,1,34,6
S00127193,130,63,2,7,0,0,0,0,0,1,52,5
S00127194,141,49,9,11,1,0,0,0,0,1,64,6
S00127195,108,47,1,7,1,0,0,0,0,0,47,5
S00127196,92,28,15,7,1,0,0,0,0,1,34,6
S00127197,126,58,4,5,0,0,0,0,0,0,49,10
S00127198,130,45,5,17,0,0,0,0,0,1,48,14
S00127199,116,44,9,14,1,0,0,0,0,0,43,5
S00127200,136,55,1,12,1,0,0,0,0,1,53,13
S00127201,91,27,6,9,0,0,0,0,0,0,42,7
S00127202,132,57,12,7,0,3,0,0,0,0,48,5
S00127203,91,43,2,9,0,3,0,0,0,0,28,6
S00127204,57,27,1,5,0,0,0,0,0,2,21,1
S00127205,102,46,8,11,0,0,0,0,0,0,28,9
S00127206,98,47,7,7,0,0,0,0,0,0,33,4
S00127207,192,82,18,8,0,0,0,0,0,0,77,7
S00127208,96,47,6,5,0,0,0,0,0,0,28,10
S00127209,126,37,7,10,0,0,0,0,0,1,64,7
S00127210,150,58,12,14,0,0,0,0,0,0,59,7
S00127211,62,32,2,4,0,0,0,0,0,0,20,4
S00127212,114,41,6,5,1,0,0,0,0,0,52,9
S00127213,71,48,5,0,1,0,0,0,0,0,15,2
S00127214,145,49,20,5,0,0,0,0,0,0,58,13
S00127215,158,39,15,11,0,0,0,1,0,0,81,11
S00127216,156,78,18,15,0,0,0,0,0,0,40,5
S00127217,65,33,6,0,0,0,0,0,0,0,15,11
S00127218,127,37,24,8,0,0,1,0,0,0,46,11
S00127219,107,41,1,19,1,4,0,0,0,0,33,8
S00127220,64,31,2,5,0,0,0,0,0,0,23,3
S00127221,159,65,12,10,0,0,0,0,0,0,58,14
S00127222,90,48,2,2,0,0,0,0,0,0,32,6
S00127223,68,34,7,10,0,0,0,0,0,0,17,0
S00127224,143,66,11,5,0,0,0,0,0,1,52,8
S00127225,79,33,5,5,0,0,0,0,0,0,31,5
S00127226,140,58,10,5,0,0,0,0,0,1,64,2
S00127227,82,35,14,10,0,0,0,0,0,0,19,4
S00127228,57,30,7,0,0,0,0,0,0,0,16,4
S00127229,106,46,7,8,2,0,0,0,0,0,33,10
S00127230,163,61,14,18,1,0,0,5,0,0,49,15
S00127231,86,38,7,12,0,0,0,6,0,0,20,3
S00127232,110,44,1,12,1,0,0,0,0,0,45,7
S00127233,71,21,9,6,1,0,0,0,0,0,27,7
S00127234,83,19,12,10,0,0,0,0,0,0,38,4
S00127235,53,21,9,1,0,0,0,0,0,0,22,0
S00127236,76,36,4,4,0,0,0,0,0,1,22,9
S00127237,119,31,10,3,0,0,0,4,0,0,63,8
S00127238,142,66,23,8,0,0,0,0,0,0,40,5
S00127239,204,101,20,24,0,0,0,0,0,0,47,12
S00127240,171,67,15,8,2,0,0,3,0,1,66,9
S00127241,97,47,6,14,0,0,0,0,0,0,26,4
S00127242,101,59,7,5,0,0,0,0,0,0,30,0
S00127243,150,64,21,17,0,0,0,0,0,0,38,10
S00127244,105,43,12,13,0,4,0,0,0,0,24,9
S00127245,137,50,13,16,0,0,0,0,0,0,54,4
S00127246,96,24,6,3,0,0,0,0,0,0,55,8
S00127247,128,54,12,16,2,0,0,0,0,0,40,4
S00127248,64,34,2,5,0,0,0,0,0,1,20,2
S00127249,168,71,18,9,0,0,0,3,0,0,61,6
S00127250,143,57,20,10,0,0,0,0,0,0,47,9
S00127251,168,49,17,10,4,4,0,0,0,0,75,9
S00127252,61,36,2,1,0,0,0,0,0,1,17,4
S00127253,103,32,9,7,1,0,0,0,0,0,43,11
S00127254,119,18,19,0,0,3,0,0,0,1,74,4
S00127255,54,14,4,12,0,0,0,0,0,0,21,3
S00127256,215,70,18,4,0,0,0,0,0,2,103,18
S00127257,169,54,10,9,0,0,0,6,0,0,75,15
S00127258,136,40,18,5,0,0,0,1,0,0,65,7
S00127259,197,58,11,7,0,0,0,1,0,0,115,5
S00127260,115,39,22,8,3,0,0,0,0,0,39,4
S00127261,140,45,12,8,0,0,0,0,0,1,72,2
S00127262,64,11,14,0,0,0,0,0,0,0,30,9
