rel..oa_id,rel..total_persons,rel..christian,rel..buddhist,rel..hindu,rel..jewish,rel..muslim,rel..sikh,rel..other_religion,rel..no_religion,rel..religion_not_stated
W00001329,376,265,0,0,0,0,0,0,84,27
W00001330,286,188,1,3,0,4,0,0,78,12
W00001331,327,207,0,0,1,0,1,3,84,31
W00001332,378,239,1,0,0,2,0,1,105,30
W00001333,339,222,0,1,0,3,0,1,99,13
W00001334,364,255,2,1,0,0,0,2,73,31
W00001335,241,162,0,0,0,0,0,0,54,25
W00001336,299,190,0,0,1,0,0,1,87,20
W00001337,324,217,0,0,0,0,0,1,83,23
W00001338,348,222,2,0,0,0,0,3,93,28
W00001339,288,216,0,0,0,0,0,0,41,31
W00001340,351,240,0,0,0,0,0,1,70,40
W00001341,267,188,0,0,0,0,0,1,58,20
W00001342,322,222,0,0,0,0,0,0,74,26
W00001343,343,221,0,1,0,0,0,0,88,33
W00001344,294,204,1,0,0,1,0,0,69,19
W00001345,314,231,0,1,0,0,0,1,52,29
W00001346,253,190,0,0,0,3,0,0,47,13
W00001347,297,215,0,0,2,3,0,0,59,18
W00001348,256,186,0,0,0,0,0,0,43,27
W00001349,297,172,1,2,0,0,0,0,105,17
W00001350,316,228,0,0,0,0,0,0,72,16
W00001351,313,176,0,0,0,0,1,0,113,23
W00001352,246,145,0,1,0,0,0,1,82,17
W00001353,252,197,0,2,1,5,0,0,33,14
W00001354,255,172,0,3,0,0,0,3,48,29
W00001355,318,247,0,2,0,4,0,0,45,20
W00001356,451,334,0,0,1,1,0,0,94,21
W00001357,313,175,6,0,0,0,0,1,109,22
W00001358,324,217,0,0,0,0,0,0,71,36
W00001359,234,149,0,0,0,0,0,1,77,7
W00001360,365,252,0,0,0,1,0,0,84,28
W00001361,254,197,1,0,1,0,0,0,40,15
W00001362,388,253,0,0,0,2,0,1,108,24
W00001363,303,189,0,0,0,0,0,0,95,19
W00001364,285,169,0,0,0,0,0,1,78,37
W00001365,290,189,1,0,0,0,0,0,64,36
W00001366,306,198,1,0,0,0,1,2,77,27
W00001367,292,179,0,0,0,1,0,1,91,20
W00001368,360,191,0,0,0,0,0,0,143,26
W00001369,282,160,0,0,0,6,0,3,96,17
W00001370,296,193,0,0,0,2,0,4,78,19
W00001371,273,178,0,0,0,0,0,2,77,16
W00001372,309,205,1,0,0,0,0,0,85,18
W00001373,503,337,0,6,0,0,0,1,142,17
W00001374,285,198,1,4,0,0,0,0,57,25
W00001375,344,254,0,0,3,0,0,0,65,22
W00001376,350,228,1,0,1,12,0,1,92,15
W00001377,347,184,3,0,0,1,0,1,126,32
W00001378,289,175,0,0,0,0,0,0,92,22
W00001379,318,201,4,3,2,0,0,2,79,27
W00001380,328,210,1,0,1,0,0,0,98,18
W00001381,271,145,0,4,0,0,0,0,102,20
W00001382,278,206,0,0,0,0,0,0,59,13
W00001383,305,187,0,0,0,1,0,0,100,17
W00001384,264,188,1,1,0,0,0,5,51,18
W00001385,323,211,1,0,0,0,0,1,81,29
W00001386,283,185,0,0,0,0,0,2,74,22
W00001387,326,201,0,0,0,4,0,0,99,22
W00001388,358,259,0,0,1,0,0,2,72,24
W00001389,367,260,1,1,0,0,0,0,70,35
W00001390,334,218,0,0,1,0,0,0,84,31
W00001391,437,309,0,1,1,4,0,0,97,25
W00001392,285,174,0,0,0,0,0,0,91,20
W00001393,145,91,0,0,1,0,0,2,31,20
W00001394,227,162,0,0,0,0,0,2,51,12
W00001395,324,196,1,0,0,0,0,0,96,31
W00001396,261,194,0,0,1,0,0,0,43,23
W00001397,295,199,0,0,0,0,0,0,79,17
W00001398,221,177,1,0,0,2,0,0,31,10
W00001399,290,215,0,0,0,0,0,0,49,26
W00001400,272,168,2,0,0,0,0,0,83,19
W00001401,350,222,3,0,0,0,0,1,105,19
W00001402,313,180,0,0,2,0,0,0,104,27
W00001403,281,166,0,0,0,0,0,0,82,33
W00001404,213,166,0,0,0,0,0,1,36,10
W00001405,296,217,0,0,0,3,0,2,55,19
W00001406,329,223,0,0,0,0,0,0,84,22
W00001407,257,158,0,0,0,0,0,0,83,16
W00001408,391,259,0,0,0,0,0,1,103,28
W00001409,324,173,0,0,0,0,0,1,116,34
W00001410,326,233,0,3,0,6,0,0,65,19
W00001411,158,99,0,0,0,0,0,0,43,16
W00001412,248,133,0,0,0,2,0,1,103,9
W00001413,371,235,0,0,0,0,0,1,107,28
W00001414,325,167,1,0,0,0,0,1,122,34
W00001415,260,158,0,0,0,0,0,0,84,18
W00001416,355,214,0,0,0,1,0,1,109,30
W00001417,364,223,0,0,0,8,0,1,107,25
W00001418,296,167,1,0,0,0,0,3,96,29
W00001419,327,231,0,0,0,0,0,1,72,23
W00001420,282,197,0,0,0,0,0,1,64,20
W00001421,243,181,1,0,0,6,0,0,41,14
W00001422,255,192,0,0,0,0,0,0,38,25
W00001423,537,364,4,1,0,2,0,2,127,37
W00001424,279,190,0,0,0,0,0,1,67,21
W00001425,218,164,0,0,0,0,0,0,47,7
W00001426,321,202,1,3,0,0,0,1,92,22
W00001427,422,265,0,0,0,1,0,2,110,44
W00001428,282,189,0,0,0,0,0,0,73,20
W00001429,463,264,0,0,0,0,0,1,146,52
W00001430,236,159,0,0,0,0,0,0,65,12
W00001431,281,198,0,0,0,0,0,0,49,34
W00001432,281,202,0,1,0,0,0,0,49,29
W00001433,269,176,0,0,0,0,0,2,60,31
W00001434,265,181,0,0,0,0,0,0,66,18
W00001435,317,203,0,0,1,4,0,0,92,17
W00001436,439,318,0,0,0,1,0,0,97,23
W00001437,215,148,0,0,0,0,0,0,55,12
W00001438,479,330,0,0,0,0,0,1,125,23
W00001439,279,205,0,0,0,0,0,1,47,26
W00001440,387,297,2,0,0,1,0,0,74,13
W00001441,334,214,0,0,0,1,0,3,90,26
W00001442,404,248,1,0,0,9,0,0,116,30
W00001443,443,310,1,0,0,1,0,1,103,27
W00001444,287,211,0,0,0,0,0,0,59,17
W00001445,281,178,5,0,0,0,0,0,74,24
W00001446,300,168,6,0,0,0,0,2,98,26
W00001447,239,137,1,0,1,0,0,2,79,19
W00001448,259,168,0,0,0,0,0,0,66,25
W00001449,231,145,0,0,0,0,0,0,51,35
W00001450,309,233,0,0,0,0,0,0,54,22
W00001451,203,128,2,0,0,0,0,0,53,20
W00001452,252,187,2,0,0,0,0,0,46,17
W00001453,274,170,2,3,0,0,0,0,71,28
W00001454,130,83,0,0,0,0,0,2,24,21
W00001455,168,100,1,1,0,0,0,1,48,17
W00001456,256,157,2,0,0,0,0,0,63,34
W00001457,346,227,1,0,0,0,0,1,88,29
W00001458,330,217,2,0,0,0,0,1,82,28
W00001459,337,255,0,0,2,0,0,0,58,22
W00001460,273,192,0,0,1,0,0,0,58,22
W00001461,311,192,1,0,0,7,0,0,91,20
W00001462,418,278,1,0,0,0,0,2,92,45
W00001463,423,296,0,0,0,4,0,5,95,23
W00001464,226,149,1,0,0,0,0,1,49,26
W00001465,269,203,0,0,0,0,0,0,50,16
W00001466,227,175,0,0,0,0,0,2,42,8
W00001467,301,150,1,0,0,0,0,1,124,25
W00001468,301,210,0,0,0,0,0,1,71,19
W00001469,250,158,0,0,0,0,0,1,67,24
W00001470,336,201,0,3,0,1,1,3,87,40
W00001471,257,171,0,3,0,0,0,0,69,14
W00001472,263,163,0,0,1,0,0,1,78,20
W00001473,315,207,0,0,0,0,0,0,84,24
