health..oa_id,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
W00001035,268,143,75,40,6,4
W00001036,290,174,72,33,11,0
W00001037,248,131,76,25,11,5
W00001038,352,178,80,45,38,11
W00001039,389,183,136,50,15,5
W00001040,316,158,106,33,16,3
W00001041,347,210,104,29,4,0
W00001042,278,160,88,19,8,3
W00001043,355,167,103,39,10,36
W00001044,357,204,107,33,11,2
W00001045,305,153,108,21,17,6
W00001046,447,269,147,29,1,1
W00001047,284,143,82,40,15,4
W00001048,378,222,94,43,16,3
W00001049,328,154,99,56,17,2
W00001050,387,206,116,50,12,3
W00001051,314,197,79,27,10,1
W00001052,263,118,96,35,10,4
W00001053,246,113,81,37,12,3
W00001054,272,135,91,34,9,3
W00001055,312,158,91,44,13,6
W00001056,241,76,82,58,19,6
W00001057,331,161,105,50,12,3
W00001058,347,162,103,54,22,6
W00001059,287,108,107,40,25,7
W00001060,194,112,58,18,6,0
W00001061,334,160,100,51,20,3
W00001062,257,88,86,62,13,8
W00001063,263,131,84,35,12,1
W00001064,306,134,108,45,16,3
W00001065,293,137,102,37,13,4
W00001066,273,127,82,46,9,9
W00001067,289,137,94,41,16,1
W00001068,330,166,107,37,13,7
W00001069,234,77,72,59,20,6
W00001070,311,155,107,38,9,2
W00001071,339,209,78,36,10,6
W00001072,303,136,121,37,8,1
W00001074,351,196,100,45,8,2
W00001075,254,163,67,19,3,2
W00001076,426,247,128,43,7,1
W00001077,355,217,101,25,8,4
W00001078,300,168,84,39,9,0
W00001079,315,152,109,36,14,4
W00001080,388,191,137,40,15,5
W00001081,233,102,82,39,9,1
W00001082,126,67,36,16,6,1
W00001083,292,160,93,24,12,3
W00001084,275,127,103,32,12,1
W00001085,441,244,139,40,13,5
W00001086,386,212,113,42,18,1
W00001087,306,180,88,29,7,2
W00001088,280,142,96,31,9,2
W00001089,201,84,80,29,8,0
W00001090,289,149,103,31,4,2
W00001091,345,183,106,33,15,8
W00001092,271,149,66,39,14,3
W00001093,271,135,81,40,9,6
W00001094,311,155,99,46,9,2
W00001095,269,138,85,32,10,4
W00001096,298,133,90,60,14,1
W00001097,349,221,94,27,6,1
W00001098,395,178,138,62,13,4
W00001099,352,172,107,63,9,1
W00001100,430,263,119,36,7,5
W00001101,332,205,81,37,4,5
W00001102,369,190,111,50,16,2
W00001103,227,103,84,28,10,2
W00001104,273,147,80,33,13,0
W00001105,305,153,107,27,16,2
W00001106,358,178,123,46,8,3
W00001107,323,149,110,50,12,2
W00001108,372,208,108,49,5,2
W00001109,300,124,102,55,19,0
W00001110,271,145,76,37,12,1
W00001111,346,149,134,51,9,3
W00001112,311,145,108,41,11,6
W00001113,264,135,79,44,6,0
W00001114,224,97,90,26,9,2
W00001115,331,161,102,43,20,5
W00001116,192,75,63,33,19,2
W00001117,241,101,90,38,9,3
W00001118,310,155,108,36,9,2
W00001119,355,128,136,68,20,3
W00001120,284,96,115,56,13,4
W00001121,229,112,74,27,13,3
W00001122,421,216,116,66,20,3
W00001123,495,259,159,56,17,4
W00001124,308,181,81,34,9,3
W00001125,211,81,66,46,13,5
W00001126,296,173,73,38,8,4
W00001127,223,118,60,40,5,0
W00001128,323,170,102,39,9,3
W00001129,317,144,115,41,10,7
W00001130,296,134,90,47,23,2
W00001131,275,151,84,27,10,3
W00001132,314,135,103,44,25,7
W00001133,393,195,116,54,24,4
W00001134,275,109,94,38,26,8
W00001135,203,78,65,38,18,4
W00001136,294,137,87,43,20,7
W00001137,242,76,82,53,22,9
W00001138,329,139,118,42,22,8
W00001139,312,187,79,38,8,0
W00001140,282,110,93,54,21,4
W00001141,327,156,93,43,25,10
W00001142,263,139,71,41,10,2
W00001143,295,143,93,48,10,1
W00001144,282,143,94,36,6,3
W00001145,230,69,75,54,25,7
W00001146,260,120,80,41,14,5
W00001147,285,114,100,52,12,7
W00001148,326,167,86,49,22,2
W00001149,273,146,78,36,12,1
W00001150,289,152,75,45,13,4
W00001151,284,121,113,33,12,5
W00001152,325,141,114,36,25,9
W00001153,220,89,69,28,26,8
W00001154,356,176,116,42,16,6
W00001155,276,142,82,39,9,4
W00001156,341,148,112,53,24,4
W00001157,280,122,101,40,15,2
W00001158,243,116,73,26,26,2
