ethn..geo_code,ethn..total_persons,ethn..ethnic_group_white,ethn..ethnic_group_chinese,ethn..ethnic_group_irish_traveller,ethn..ethnic_group_indian,ethn..ethnic_group_pakistani,ethn..ethnic_group_bangladeshi,ethn..ethnic_group_other_asian,ethn..ethnic_group_black_caribbean,ethn..ethnic_group_black_african,ethn..ethnic_group_black_other,ethn..ethnic_group_mixed,ethn..ethnic_group_other,ethn..white_or_white_british_or_white_irish,ethn..black_or_black_british_or_black_irish,ethn..asian_or_asian_british_or_asian_irish,ethn..mixed_multiple_ethnicity,ethn..other_ethnicity
N00001682,324,323,0,0,0,0,0,0,0,0,0,0,1,323,0,0,0,1
N00001683,388,382,0,0,0,0,0,2,0,0,0,4,0,382,0,2,4,0
N00001684,930,912,1,0,4,6,0,1,0,0,0,6,0,912,0,12,6,0
N00001685,337,337,0,0,0,0,0,0,0,0,0,0,0,337,0,0,0,0
N00001686,279,269,0,0,0,0,0,4,0,0,3,3,0,269,3,4,3,0
N00001687,308,303,0,0,1,0,0,1,0,0,0,3,0,303,0,2,3,0
N00001688,361,358,0,0,3,0,0,0,0,0,0,0,0,358,0,3,0,0
N00001689,246,244,0,1,0,0,0,0,0,0,1,0,0,245,1,0,0,0
N00001690,352,345,0,0,0,0,0,0,0,3,0,1,3,345,3,0,1,3
N00001691,280,276,0,0,1,1,0,0,0,0,0,2,0,276,0,2,2,0
N00001692,254,250,0,0,1,0,0,0,0,0,0,3,0,250,0,1,3,0
N00001693,311,311,0,0,0,0,0,0,0,0,0,0,0,311,0,0,0,0
N00001694,293,289,4,0,0,0,0,0,0,0,0,0,0,289,0,4,0,0
N00001695,414,407,3,0,0,0,0,0,0,1,0,3,0,407,1,3,3,0
N00001696,379,371,1,0,0,0,0,0,0,1,0,6,0,371,1,1,6,0
N00001697,298,292,4,0,0,1,0,1,0,0,0,0,0,292,0,6,0,0
N00001698,269,264,3,0,0,1,0,1,0,0,0,0,0,264,0,5,0,0
N00001699,395,385,3,0,1,0,0,3,0,0,0,3,0,385,0,7,3,0
N00001700,260,259,1,0,0,0,0,0,0,0,0,0,0,259,0,1,0,0
N00001701,198,195,2,0,0,0,0,0,0,0,0,0,1,195,0,2,0,1
N00001702,338,330,1,0,0,0,4,0,0,0,0,3,0,330,0,5,3,0
N00001703,1033,1007,15,0,3,0,0,0,1,0,0,2,5,1007,1,18,2,5
N00001704,829,799,3,0,6,0,0,5,0,8,0,7,1,799,8,14,7,1
N00001705,222,209,4,0,4,0,0,0,0,0,0,4,1,209,0,8,4,1
N00001706,465,464,0,0,0,0,0,1,0,0,0,0,0,464,0,1,0,0
N00001707,395,387,0,0,0,0,0,0,0,0,3,5,0,387,3,0,5,0
N00001708,674,668,0,0,0,0,0,2,0,1,1,2,0,668,2,2,2,0
N00001709,252,252,0,0,0,0,0,0,0,0,0,0,0,252,0,0,0,0
N00001710,341,341,0,0,0,0,0,0,0,0,0,0,0,341,0,0,0,0
N00001711,362,357,0,0,0,0,0,5,0,0,0,0,0,357,0,5,0,0
N00001712,387,386,0,0,0,0,0,1,0,0,0,0,0,386,0,1,0,0
