house..sa_id,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
N00000225,90,39,11,26,6,2,6,0
N00000226,111,18,10,53,13,5,11,1
N00000227,121,31,41,28,9,7,4,1
N00000228,127,21,6,59,23,5,11,2
N00000229,150,23,25,48,33,10,9,2
N00000230,116,12,13,33,18,22,15,3
N00000231,122,8,25,14,20,34,10,11
N00000232,136,13,31,42,23,16,10,1
N00000233,128,24,29,37,17,9,12,0
N00000234,124,16,29,41,14,9,15,0
N00000235,128,15,9,51,21,14,11,7
N00000236,108,12,16,21,35,15,6,3
N00000237,147,13,9,54,54,5,8,4
N00000238,121,12,5,72,24,3,5,0
N00000239,118,11,25,35,14,24,8,1
N00000240,132,1,28,19,29,41,10,4
N00000241,138,5,10,54,64,2,2,1
N00000242,120,4,4,52,51,5,4,0
N00000243,110,14,11,44,17,11,8,5
N00000244,118,11,23,33,15,19,13,4
N00000245,126,6,17,60,27,7,8,1
N00000246,127,17,24,41,16,18,7,4
N00000247,122,10,9,61,29,4,7,2
N00000248,124,11,6,67,30,2,5,3
N00000249,131,4,12,49,47,11,5,3
N00000250,166,11,24,63,39,16,11,2
N00000251,155,5,20,36,70,16,7,1
N00000252,132,13,19,44,37,8,7,4
N00000253,175,14,16,78,45,3,13,6
N00000254,117,14,7,54,29,1,7,5
N00000255,127,9,5,70,29,4,8,2
N00000256,308,41,32,130,74,9,19,3
N00000257,173,25,36,41,38,18,12,3
N00000258,140,15,13,59,42,5,5,1
N00000259,161,12,13,61,45,6,15,9
N00000260,210,23,27,64,61,16,14,5
N00000261,179,14,9,69,62,6,15,4
N00000262,156,20,16,48,45,7,18,2
N00000263,110,15,24,28,14,15,11,3
N00000264,196,14,28,50,55,28,19,2
N00000265,149,20,34,43,26,9,16,1
N00000266,126,10,22,34,41,10,8,1
N00000267,152,12,7,67,49,4,10,3
N00000268,142,13,13,64,36,4,10,2
N00000269,135,14,17,59,30,4,8,3
N00000270,133,15,7,59,30,2,14,6
N00000271,142,14,14,56,47,1,9,1
N00000272,133,18,25,52,18,6,12,2
N00000273,163,10,16,68,55,5,4,5
N00000274,176,15,15,70,52,7,16,1
N00000275,126,18,22,46,25,6,7,2
N00000276,126,11,20,42,37,9,3,4
N00000277,117,3,17,39,36,12,6,4
N00000278,121,11,21,36,33,8,9,3
N00000279,83,3,20,25,18,11,6,0
N00000280,154,10,32,23,40,35,9,5
N00000281,117,10,7,57,25,2,11,5
N00000282,132,10,12,54,30,9,14,3
N00000283,142,16,17,57,32,8,9,3
N00000284,157,18,29,27,38,24,17,4
N00000285,124,5,23,24,30,28,10,4
N00000286,126,14,33,42,16,9,11,1
N00000287,137,23,29,33,16,19,15,2
N00000288,138,9,20,54,36,7,8,4
N00000289,197,16,25,67,51,19,15,4
N00000290,128,20,27,36,17,16,8,4
N00000291,204,14,32,88,49,8,11,2
N00000292,262,14,27,90,97,13,13,8
N00000293,162,6,10,44,83,5,9,5
N00000294,140,13,10,62,28,5,14,8
N00000295,144,17,13,60,35,12,5,2
N00000296,114,9,16,42,29,10,6,2
N00000297,128,11,14,64,28,2,7,2
N00000298,119,2,15,44,36,9,8,5
N00000299,147,22,25,43,25,14,16,2
N00000300,133,29,18,39,20,15,11,1
N00000301,124,3,17,36,61,2,4,1
N00000302,127,7,6,53,44,12,4,1
N00000303,110,6,7,43,38,7,5,4
N00000304,117,1,14,30,47,12,10,3
N00000305,121,0,4,53,48,3,9,4
N00000306,128,1,22,38,54,7,3,3
N00000307,122,7,10,45,40,9,7,4
N00000308,110,9,12,47,28,6,6,2
N00000309,124,9,5,44,46,10,6,4
N00000310,149,16,17,67,34,4,7,4
N00000311,160,31,38,38,22,10,20,1
N00000312,175,14,21,60,49,8,19,4
N00000313,193,9,24,53,83,14,5,5
N00000314,137,12,23,42,29,11,17,3
N00000315,133,20,25,35,30,9,10,4
N00000316,130,14,11,45,34,9,13,4
N00000317,213,42,52,45,26,20,23,5
N00000318,129,16,12,45,31,9,12,4
N00000319,310,35,36,108,83,25,11,12
N00000320,128,16,17,52,25,7,10,1
N00000321,211,19,42,61,53,18,13,5
N00000322,154,15,23,52,39,12,8,5
N00000323,163,19,11,60,52,8,10,3
N00000324,151,17,12,65,34,6,14,3
N00000325,198,24,25,56,64,12,12,5
N00000326,377,36,65,122,95,29,19,11
N00000327,130,3,30,36,32,20,7,2
N00000328,126,8,40,24,22,22,7,3
N00000329,137,8,18,38,29,26,13,5
N00000330,203,8,28,75,68,13,8,3
N00000331,233,23,38,51,63,33,22,3
N00000332,124,7,42,23,17,24,10,1
N00000333,125,8,32,20,17,33,11,4
N00000334,116,3,24,28,17,24,17,3
N00000335,136,13,20,60,22,8,9,4
N00000336,131,10,12,72,25,2,6,4
N00000337,120,19,10,53,24,3,11,0
N00000338,129,21,14,58,24,2,5,5
N00000339,122,16,15,56,22,6,5,2
N00000340,138,11,10,65,35,2,12,3
N00000341,130,11,12,64,32,3,6,2
N00000342,133,1,23,50,35,13,7,4
N00000343,122,4,14,41,42,10,8,3
N00000344,128,10,26,30,18,18,21,5
N00000345,163,15,21,43,20,24,31,9
N00000346,209,11,19,37,82,32,18,10
N00000347,130,20,40,31,14,8,16,1
